promotion_name,row_count,modal_raw_prediction,pct_at_modal,raw_std,raw_max
Allocation Report - OP07 1/2 PRICE FRIDAY,2,0.0528,1.0,0.0,0.0528
Allocation Report - New Line 26 WK49,129,0.0528,0.969,0.0025,0.0669
Allocation Report - OP06 LIPSTICK DAY SALE,383,0.0528,0.9634,0.0354,0.6099
Allocation Report - New Line 26 WK47,25,0.0528,0.96,0.0095,0.1004
Allocation Report - WK01-03 WOMEN'S HEALTH & SISTERHOOD,4393,0.0528,0.9008,0.1839,4.7471
Allocation Report - WK49&50 WINTER PART 2 MAJOR VITAMIN,3717,0.0528,0.8967,0.2614,9.8756
Allocation Report - WK47&48 WINTER PART 1,3597,0.0528,0.859,0.4209,14.0616
Allocation Report - WK51&52 EOFY CLEAR CAMP & HAIRCARE,4645,0.0528,0.8536,0.3151,11.7629
Allocation Report - SE01 SKINCARE SALES EVENT,3531,0.0528,0.8383,0.7929,28.9504
Allocation Report - New Line 26 WK48,245,0.0528,0.8327,0.0112,0.1913
Allocation Report - OP02 $10 MEMBER TUESDAY,38,0.0528,0.6579,0.2565,1.2558
