feature_column,flat_null_rate,flat_zero_rate,nonflat_null_rate,nonflat_zero_rate
feature_discount_depth_pct,0.0,0.0054,0.0,0.0
feature_price_gap_ex_gst,0.0,0.0054,0.0,0.0
feature_promo_price_ratio_vs_normal,0.0,0.0,0.0,0.0
feature_offer_strength_score,0.0,0.0,0.0,0.0
feature_low_ticket_flag,0.0,0.4166,0.0,0.387
feature_mid_ticket_flag,0.0,0.7618,0.0,0.8056
feature_high_ticket_flag,0.0,0.8216,0.0,0.8074
feature_offer_text_percent_flag,0.0,0.6385,0.0,0.4221
feature_offer_text_amount_flag,0.0,0.6399,0.0,0.4221
feature_offer_text_multi_buy_flag,0.0,0.9693,0.0,0.9632
feature_offer_text_bonus_flag,0.0,1.0,0.0,1.0
feature_effective_margin_compression_pct,0.0,0.1209,0.0,0.0473
feature_margin_dollars_at_risk,0.0,0.4257,0.0,0.0473
feature_expected_gm_change_dollars,0.0,0.4182,0.0,0.0403
feature_margin_delta_per_unit,0.0,0.0,0.0,0.0
feature_discount_to_margin_tradeoff,0.0,0.1264,0.0,0.0473
feature_rebate_adjusted_margin_pct,0.0,0.0,0.0,0.0
feature_rebate_dependency_score,0.0,0.2372,0.0,0.1068
feature_effective_cost_ratio,0.0,0.0,0.0,0.0
feature_unit_profit_after_fees,0.0,0.0,0.0,0.0
feature_unit_profitability_ratio,0.0,0.0,0.0,0.0
feature_margin_sacrifice_per_expected_unit,0.0,0.4257,0.0,0.0473
feature_fee_burden_ratio,0.0,0.0236,0.0,0.0
feature_fee_share_of_unit_margin,0.0,0.026,0.0,0.0053
feature_capital_at_risk,0.0,0.0375,0.0,0.0088
feature_inventory_carry_cost_burden,0.0,0.9372,0.0,0.4361
feature_profit_risk_asymmetry,0.0,0.4544,0.0,0.2119
feature_promo_capital_efficiency,0.0,0.4264,0.0,0.049
feature_gmroi_regime_score,0.0,0.4331,0.0,0.056
feature_allocation_vs_baseline_demand_ratio,0.0,0.4331,0.0,0.056
feature_allocation_vs_required_implied_demand_ratio,0.0,0.4264,0.0,0.049
feature_allocation_to_baseline_gap,0.0,0.0294,0.0,0.0
feature_required_vs_allocation_gap,0.0,0.0294,0.0,0.0
feature_total_stock_pressure_ratio,0.0,0.4264,0.0,0.049
feature_stock_sufficiency_gap_units,0.0,0.0294,0.0,0.0
feature_current_soh_ratio,0.0,0.0459,0.0,0.0263
feature_stock_strain,0.0,0.4348,0.0,0.0665
feature_stock_to_promo_days_ratio,0.0,0.0375,0.0,0.0088
feature_stock_exposure_vs_promo_days,0.0,0.4331,0.0,0.056
feature_sellthrough_pressure_index,0.0,0.4264,0.0,0.049
feature_commitment_pressure_ratio,0.0,0.9166,0.0,0.4133
feature_on_order_support_ratio,0.0,0.9831,0.0,0.9597
feature_inventory_congestion,0.0,0.9189,0.0,0.4256
feature_overhang_risk,0.0,0.1189,0.0,0.5867
feature_underallocation_risk,0.0,0.9105,0.0,0.4133
feature_overhang_capital_risk,0.0,0.1189,0.0,0.5867
feature_pre_promo_rolling_demand_units,0.0,0.425,0.0,0.0473
feature_pre_promo_baseline_daily_units,0.0,0.425,0.0,0.0473
feature_baseline_volatility_cv,0.0,1.0,0.0,1.0
feature_short_vs_long_baseline_acceleration,0.0,1.0,0.0,1.0
feature_recent_acceleration_ratio,0.0,1.0,0.0,1.0
feature_required_vs_baseline_demand_gap,0.0,1.0,0.0,1.0
feature_sales_velocity_ratio_short_to_long,0.0,1.0,0.0,1.0
feature_slow_seller_flag,0.0,0.0,0.0,0.0
feature_medium_seller_flag,0.0,1.0,0.0,1.0
feature_fast_seller_flag,0.0,1.0,0.0,1.0
feature_prior_promo_response_same_sku_store,0.0,0.1672,0.0,0.0053
feature_prior_markdown_dependence,0.0,0.4395,0.0,0.1156
feature_promo_recurrence_density,0.0,0.4676,0.0,0.4553
feature_history_regime_score,0.0,0.097,0.0,0.0035
feature_prior_promo_14d_flag,0.0,1.0,0.0,1.0
feature_prior_promo_28d_flag,0.0,1.0,0.0,1.0
feature_prior_promo_56d_flag,0.0,1.0,0.0,1.0
feature_prior_promo_units_14d,0.0,1.0,0.0,1.0
feature_prior_promo_units_28d,0.0,1.0,0.0,1.0
feature_prior_promo_units_56d,0.0,1.0,0.0,1.0
feature_prior_promo_days_since_last_promo,0.0,0.0,0.0,0.0
feature_prior_same_or_better_discount_14d_flag,0.0,1.0,0.0,1.0
feature_prior_same_or_better_discount_28d_flag,0.0,1.0,0.0,1.0
feature_prior_same_or_better_discount_56d_flag,0.0,1.0,0.0,1.0
feature_prior_same_or_better_discount_units_56d,0.0,1.0,0.0,1.0
feature_prior_same_discount_days_since_last_promo,0.0,0.0,0.0,0.0
feature_prior_better_discount_days_since_last_promo,0.0,0.0,0.0,0.0
feature_prior_promo_price_memory_score,0.0,0.9551,0.0,0.937
feature_prior_promo_discount_memory_score,0.0,0.5723,0.0,0.669
feature_prior_promo_cannibalisation_risk_score,0.0,0.0,0.0,0.0
feature_historical_promo_events_same_discount,0.0,0.2753,0.0,0.1313
