feature_column,flat_cohort_mean,flat_cohort_std,flat_cohort_nonzero_rate,nonflat_cohort_mean,nonflat_cohort_std,nonflat_cohort_nonzero_rate,flat_equals_nonflat_mean
feature_growth_curve_confidence_score,0.0,0.0,0.0,0.0,0.0,0.0,True
feature_days_since_last_sale,56.0,0.0,1.0,56.0,0.0,1.0,True
feature_days_with_sales_28d,0.0,0.0,0.0,0.0,0.0,0.0,True
feature_days_with_sales_56d,0.0,0.0,0.0,0.0,0.0,0.0,True
feature_average_units_per_selling_day_28d,0.0,0.0,0.0,0.0,0.0,0.0,True
feature_average_units_per_selling_day_56d,0.0,0.0,0.0,0.0,0.0,0.0,True
feature_intermittent_demand_flag,1.0,0.0,1.0,1.0,0.0,1.0,True
feature_sparse_repeat_purchase_flag,1.0,0.0,1.0,1.0,0.0,1.0,True
feature_sales_day_density_28d,0.0,0.0,0.0,0.0,0.0,0.0,True
feature_prior_same_or_better_discount_units_56d,0.0,0.0,0.0,0.0,0.0,0.0,True
feature_prior_same_or_better_discount_56d_flag,0.0,0.0,0.0,0.0,0.0,0.0,True
feature_sales_interval_days_cv_56d,0.0,0.0,0.0,0.0,0.0,0.0,True
feature_prior_same_or_better_discount_28d_flag,0.0,0.0,0.0,0.0,0.0,0.0,True
feature_prior_promo_units_56d,0.0,0.0,0.0,0.0,0.0,0.0,True
feature_prior_promo_units_28d,0.0,0.0,0.0,0.0,0.0,0.0,True
feature_prior_promo_units_14d,0.0,0.0,0.0,0.0,0.0,0.0,True
feature_prior_promo_56d_flag,0.0,0.0,0.0,0.0,0.0,0.0,True
feature_prior_promo_28d_flag,0.0,0.0,0.0,0.0,0.0,0.0,True
feature_prior_promo_14d_flag,0.0,0.0,0.0,0.0,0.0,0.0,True
feature_non_promo_stable_history_flag,0.0,0.0,0.0,0.0,0.0,0.0,True
feature_fast_seller_flag,0.0,0.0,0.0,0.0,0.0,0.0,True
feature_medium_seller_flag,0.0,0.0,0.0,0.0,0.0,0.0,True
feature_slow_seller_flag,1.0,0.0,1.0,1.0,0.0,1.0,True
feature_prior_same_or_better_discount_14d_flag,0.0,0.0,0.0,0.0,0.0,0.0,True
feature_sales_velocity_ratio_short_to_long,0.0,0.0,0.0,0.0,0.0,0.0,True
feature_sales_interval_days_mean_56d,56.0,0.0,1.0,56.0,0.0,1.0,True
feature_growth_curve_noise_penalty_score,0.0,0.0,0.0,0.0,0.0,0.0,True
feature_non_promo_days_with_sales_ratio_56d,0.0,0.0,0.0,0.0,0.0,0.0,True
feature_non_promo_days_with_sales_ratio_30d,0.0,0.0,0.0,0.0,0.0,0.0,True
feature_growth_curve_recent_slope_units_per_day,0.0,0.0,0.0,0.0,0.0,0.0,True
feature_growth_curve_long_slope_units_per_day,0.0,0.0,0.0,0.0,0.0,0.0,True
feature_non_promo_30d_std_daily_units,0.0,0.0,0.0,0.0,0.0,0.0,True
feature_growth_curve_second_derivative_proxy,0.0,0.0,0.0,0.0,0.0,0.0,True
feature_growth_curve_acceleration_score,0.0,0.0,0.0,0.0,0.0,0.0,True
