dimension,value,row_count,pct_raw_at_modal,pct_tiny_raw_lt_1,raw_mean,raw_std,raw_unique_rounded4
department,BABY CARE,7,1.0,1.0,0.0528,0.0,1
department,BATH TOILETRIES,59,0.9153,1.0,0.0587,0.0399,4
department,BEAUTY ACCESSORIES,64,0.7344,1.0,0.0561,0.006,4
department,COLOUR COSMETICS,1469,0.9156,0.9966,0.0592,0.0727,24
department,DEODORANTS,62,0.7419,1.0,0.0592,0.0221,6
department,FEMININE CARE,36,0.5278,1.0,0.0735,0.046,8
department,FOOTCARE,2,1.0,1.0,0.0528,0.0,1
department,FRAGRANCE,130,0.9923,1.0,0.0528,0.0008,2
department,GIFTING,9,0.7778,1.0,0.0557,0.0062,3
department,HAIR ACC BRUSHES,17,0.4706,1.0,0.0773,0.0379,7
department,HAIRCARE,266,0.9474,1.0,0.0533,0.0022,3
department,INCONTINENCE,18,0.9444,1.0,0.0533,0.002,2
department,MENS GROOMING,11,1.0,1.0,0.0528,0.0,1
department,ORAL HEALTH,79,0.7215,1.0,0.0599,0.0255,6
department,PAPER COTTON,4,0.0,1.0,0.2453,0.0791,3
department,SKINCARE,1141,0.7379,0.9535,0.1897,1.1513,108
department,SUNCARE,98,0.6735,0.9388,0.4205,2.6418,15
department,TANNING,59,0.8644,1.0,0.0575,0.0221,5
category,ACNE,63,0.6984,1.0,0.0751,0.094,10
category,AFTERSUN,7,1.0,1.0,0.0528,0.0,1
category,AT HOME WHITENING,8,1.0,1.0,0.0528,0.0,1
category,BABY NEEDS,7,1.0,1.0,0.0528,0.0,1
category,BATH ACCESSORIES,10,0.8,1.0,0.0554,0.0059,3
category,BATH BODY SEASONAL,1,1.0,1.0,0.0528,,1
category,BEAUTY TOOLS,41,0.6829,1.0,0.0568,0.0065,4
category,CATRICE,199,0.995,1.0,0.0528,0.0006,2
category,COLOR COS MNR BRND,26,0.9615,1.0,0.056,0.0162,2
category,COLOURANTS,87,0.9885,1.0,0.0529,0.0009,2
category,COS BAGS SEASONAL,3,1.0,1.0,0.0528,0.0,1
category,COSMECEUTICAL,278,0.8885,0.9964,0.0615,0.0943,11
category,COTTON PRODUCTS,4,0.0,1.0,0.2453,0.0791,3
category,DENTAL CARE,5,0.4,1.0,0.0633,0.0096,2
category,DERMA COS,152,0.4803,0.8882,0.44,1.8308,49
category,DRY SHAMPOO,24,0.8333,1.0,0.0543,0.0034,2
category,ESSENCE,224,0.8884,0.9955,0.055,0.0104,10
category,ESSIE,72,1.0,1.0,0.0528,0.0,1
category,EVERYDAY SKIN,294,0.7449,0.9796,0.0995,0.231,29
category,FASHION ACCESS,13,0.8462,1.0,0.0541,0.0033,3
category,FEMININE HYGIENE,36,0.5278,1.0,0.0735,0.046,8
category,FOOTCARE AID,2,1.0,1.0,0.0528,0.0,1
category,HAIR ACCESSORIES,17,0.4706,1.0,0.0773,0.0379,7
category,HAIR STYLING,31,0.9677,1.0,0.0531,0.0016,2
category,HOME FRAGRANCE,5,0.6,1.0,0.0581,0.0078,3
category,INCONTINENCE MEN,4,1.0,1.0,0.0528,0.0,1
category,INCONTINENCE UNISE,2,1.0,1.0,0.0528,0.0,1
category,INCONTINENCE WOMAN,12,0.9167,1.0,0.0535,0.0025,2
category,LIP CARE,34,0.5,0.9706,0.1431,0.3739,9
category,LOTIONS AND POWDER,3,0.6667,1.0,0.0557,0.0051,2
category,MAX FACTOR,121,0.9917,1.0,0.0529,0.0008,2
category,MAYBELLINE,322,0.8571,0.9969,0.0643,0.0806,10
category,MENS DEODORANT,33,0.9091,1.0,0.0538,0.0036,3
category,MENS ELEC GROOMING,1,1.0,1.0,0.0528,,1
category,MENS HAIRCARE,6,1.0,1.0,0.0528,0.0,1
category,MENS SKINCARE,4,1.0,1.0,0.0528,0.0,1
category,MOUTH WASHES,5,0.8,1.0,0.0563,0.0078,2
category,NATURAL,161,0.913,1.0,0.0577,0.0313,6
category,NYX,229,0.7991,0.9869,0.0753,0.1558,11
category,ORAL ELECTRICAL,5,1.0,1.0,0.0528,0.0,1
category,PERSONAL WASH,56,0.9286,1.0,0.0589,0.041,4
category,RIMMEL,276,0.9855,1.0,0.0529,0.0011,2
category,SHAMPOO CONDITIONE,96,0.9375,1.0,0.0534,0.0026,3
category,SINGLES FEMALE,93,0.9892,1.0,0.0529,0.0009,2
category,SINGLES MALE,37,1.0,1.0,0.0528,0.0,1
category,SUN PROTECTION,91,0.6484,0.9341,0.4488,2.7406,15
category,TAN APPLICATOR,5,0.6,1.0,0.0862,0.07,3
category,TAN SET AND REMOVE,2,1.0,1.0,0.0528,0.0,1
category,TANNING SKIN,52,0.8846,1.0,0.0549,0.0092,4
category,THERAPEUTIC,159,0.5975,0.8239,0.5302,2.443,39
category,TOOTHBRUSHES,18,0.6667,1.0,0.072,0.0512,5
category,TOOTHPASTE,38,0.6842,1.0,0.0567,0.0063,4
category,TREATMENT,28,0.9286,1.0,0.0534,0.0023,2
category,WOMENS DEODORANT,29,0.5517,1.0,0.0652,0.0313,6
promo_type,sales event,3531,0.8383,0.9819,0.111,0.7929,132
supplier,0,3531,0.8383,0.9819,0.111,0.7929,132
