column_name,inference_schema_index,in_decision_surface,in_train_feature_list,in_model_input_after_prep,order_matches_train
sku_number_key,0,True,True,True,True
inferred_supplier_number,1,True,True,True,True
regular_price,2,True,True,True,True
promo_price,3,True,True,True,True
promo_gst_component,4,True,True,True,True
promo_price_ex_gst,5,True,True,True,True
discount_amount,6,True,True,True,True
discount_percent,7,True,True,True,True
scan_rebate_dollars,8,True,True,True,True
scan_rebate_pct_last_cost,9,True,True,True,True
last_received_cost,10,True,True,True,True
promo_cost_price,11,True,True,True,True
promo_effective_cost,12,True,True,True,True
gm_normal_pct,13,True,True,True,True
gm_promo_pct,14,True,True,True,True
promo_gm_unit,15,True,True,True,True
promo_gm_pct,16,True,True,True,True
gross_profit_normal,17,True,True,True,True
gross_profit_promo,18,True,True,True,True
gross_profit_promo_dollars,19,True,True,True,True
franchise_fees,20,True,True,True,True
pack_size,21,True,True,True,True
bar_units,22,True,True,True,True
current_soh,23,True,True,True,True
qty_on_order,24,True,True,True,True
pl_allocation_qty,25,True,True,True,True
store_adjusted_qty,26,True,True,True,True
total_units_commited,27,True,True,True,True
total_stock_available,28,True,True,True,True
avg_8_wk_unit_sales,29,True,True,True,True
avg_daily_units,30,True,True,True,True
avg_1_wk_units,31,True,True,True,True
promo_days,32,True,True,True,True
tot_days_cover,33,True,True,True,True
stock_turnover,34,True,True,True,True
pl_extended_cost,35,True,True,True,True
inventory_carrying_cost,36,True,True,True,True
coverage_ratio_8w,37,True,True,True,True
utilisation_ratio_8w,38,True,True,True,True
gmroi_8w,39,True,True,True,True
sales_promo_period_avg,40,True,True,True,True
has_baseline_demand,41,True,True,True,True
pl_allocations_implied_multiple,42,True,True,True,True
required_implied_multiple,43,True,True,True,True
implied_uplift_in_sales,44,True,True,True,True
live_promo_window_days,45,True,True,True,True
pre_56d_units,46,True,True,True,True
pre_28d_units,47,True,True,True,True
pre_7d_units,48,True,True,True,True
pre_56d_sales_ex_gst,49,True,True,True,True
pre_56d_days_with_sales,50,True,True,True,True
pre_56d_avg_daily_units,51,True,True,True,True
pre_28d_avg_daily_units,52,True,True,True,True
pre_7d_avg_daily_units,53,True,True,True,True
pre_prior_21d_avg_daily_units,54,True,True,True,True
pre_56d_std_daily_units,55,True,True,True,True
pre_28d_std_daily_units,56,True,True,True,True
model_promo_start_month,57,False,True,True,True
model_promo_start_week,58,False,True,True,True
model_promo_start_dayofweek,59,False,True,True,True
feature_discount_depth_pct,60,True,True,True,True
feature_price_gap_ex_gst,61,True,True,True,True
feature_promo_price_ratio_vs_normal,62,True,True,True,True
feature_offer_strength_score,63,True,True,True,True
feature_low_ticket_flag,64,True,True,True,True
feature_mid_ticket_flag,65,True,True,True,True
feature_high_ticket_flag,66,True,True,True,True
feature_offer_text_percent_flag,67,True,True,True,True
feature_offer_text_amount_flag,68,True,True,True,True
feature_offer_text_multi_buy_flag,69,True,True,True,True
feature_offer_text_bonus_flag,70,True,True,True,True
feature_effective_margin_compression_pct,71,True,True,True,True
feature_margin_dollars_at_risk,72,True,True,True,True
feature_expected_gm_change_dollars,73,True,True,True,True
feature_margin_delta_per_unit,74,True,True,True,True
feature_discount_to_margin_tradeoff,75,True,True,True,True
feature_rebate_adjusted_margin_pct,76,True,True,True,True
feature_rebate_dependency_score,77,True,True,True,True
feature_effective_cost_ratio,78,True,True,True,True
feature_unit_profit_after_fees,79,True,True,True,True
feature_unit_profitability_ratio,80,True,True,True,True
feature_margin_sacrifice_per_expected_unit,81,True,True,True,True
feature_fee_burden_ratio,82,True,True,True,True
feature_fee_share_of_unit_margin,83,True,True,True,True
feature_capital_at_risk,84,True,True,True,True
feature_inventory_carry_cost_burden,85,True,True,True,True
feature_profit_risk_asymmetry,86,True,True,True,True
feature_promo_capital_efficiency,87,True,True,True,True
feature_gmroi_regime_score,88,True,True,True,True
feature_allocation_vs_baseline_demand_ratio,89,True,True,True,True
feature_allocation_vs_required_implied_demand_ratio,90,True,True,True,True
feature_allocation_to_baseline_gap,91,True,True,True,True
feature_required_vs_allocation_gap,92,True,True,True,True
feature_total_stock_pressure_ratio,93,True,True,True,True
feature_stock_sufficiency_gap_units,94,True,True,True,True
feature_current_soh_ratio,95,True,True,True,True
feature_stock_strain,96,True,True,True,True
feature_stock_to_promo_days_ratio,97,True,True,True,True
feature_stock_exposure_vs_promo_days,98,True,True,True,True
feature_sellthrough_pressure_index,99,True,True,True,True
feature_commitment_pressure_ratio,100,True,True,True,True
feature_on_order_support_ratio,101,True,True,True,True
feature_inventory_congestion,102,True,True,True,True
feature_overhang_risk,103,True,True,True,True
feature_underallocation_risk,104,True,True,True,True
feature_overhang_capital_risk,105,True,True,True,True
feature_pre_promo_rolling_demand_units,106,True,True,True,True
feature_pre_promo_baseline_daily_units,107,True,True,True,True
feature_baseline_volatility_cv,108,True,True,True,True
feature_short_vs_long_baseline_acceleration,109,True,True,True,True
feature_recent_acceleration_ratio,110,True,True,True,True
feature_required_vs_baseline_demand_gap,111,True,True,True,True
feature_sales_velocity_ratio_short_to_long,112,True,True,True,True
feature_slow_seller_flag,113,True,True,True,True
feature_medium_seller_flag,114,True,True,True,True
feature_fast_seller_flag,115,True,True,True,True
feature_prior_promo_response_same_sku_store,116,True,True,True,True
feature_prior_markdown_dependence,117,True,True,True,True
feature_promo_recurrence_density,118,True,True,True,True
feature_history_regime_score,119,True,True,True,True
feature_prior_promo_14d_flag,120,True,True,True,True
feature_prior_promo_28d_flag,121,True,True,True,True
feature_prior_promo_56d_flag,122,True,True,True,True
feature_prior_promo_units_14d,123,True,True,True,True
feature_prior_promo_units_28d,124,True,True,True,True
feature_prior_promo_units_56d,125,True,True,True,True
feature_prior_promo_days_since_last_promo,126,True,True,True,True
feature_prior_same_or_better_discount_14d_flag,127,True,True,True,True
feature_prior_same_or_better_discount_28d_flag,128,True,True,True,True
feature_prior_same_or_better_discount_56d_flag,129,True,True,True,True
feature_prior_same_or_better_discount_units_56d,130,True,True,True,True
feature_prior_same_discount_days_since_last_promo,131,True,True,True,True
feature_prior_better_discount_days_since_last_promo,132,True,True,True,True
feature_prior_promo_price_memory_score,133,True,True,True,True
feature_prior_promo_discount_memory_score,134,True,True,True,True
feature_prior_promo_cannibalisation_risk_score,135,True,True,True,True
feature_historical_promo_events_same_discount,136,True,True,True,True
feature_historical_promo_events_same_or_better_discount,137,True,True,True,True
feature_historical_units_same_discount_avg,138,True,True,True,True
feature_historical_units_same_or_better_discount_avg,139,True,True,True,True
feature_historical_units_same_discount_median,140,True,True,True,True
feature_historical_units_same_or_better_discount_median,141,True,True,True,True
feature_historical_units_same_discount_std,142,True,True,True,True
feature_historical_discount_response_confidence,143,True,True,True,True
feature_discount_band_response_avg,144,True,True,True,True
feature_discount_band_response_median,145,True,True,True,True
feature_discount_band_event_count,146,True,True,True,True
feature_probability_zero_demand_same_or_better_discount,147,True,True,True,True
feature_probability_low_demand_vs_baseline_same_or_better_discount,148,True,True,True,True
feature_probability_demand_exceeds_allocation_same_or_better_discount,149,True,True,True,True
feature_probability_units_below_allocation_same_or_better_discount,150,True,True,True,True
feature_probability_stockout_vs_stock_basis_same_or_better_discount,151,True,True,True,True
feature_sparse_history_penalty,152,True,True,True,True
feature_order_evidence_quality_score,153,True,True,True,True
feature_overallocation_risk_score,154,True,True,True,True
feature_non_promo_units_28d,155,True,True,True,True
feature_non_promo_units_56d,156,True,True,True,True
feature_non_promo_avg_daily_units_28d,157,True,True,True,True
feature_non_promo_avg_daily_units_56d,158,True,True,True,True
feature_promo_avg_daily_units_28d,159,True,True,True,True
feature_promo_avg_daily_units_56d,160,True,True,True,True
feature_promo_to_nonpromo_demand_ratio_28d,161,True,True,True,True
feature_promo_to_nonpromo_demand_ratio_56d,162,True,True,True,True
feature_discount_elasticity_proxy,163,True,True,True,True
feature_realised_prior_promo_lift_proxy,164,True,True,True,True
feature_non_promo_30d_avg_daily_units,165,True,True,True,True
feature_non_promo_56d_avg_daily_units,166,True,True,True,True
feature_non_promo_84d_avg_daily_units,167,True,True,True,True
feature_non_promo_30d_std_daily_units,168,True,True,True,True
feature_non_promo_base_trend_30d_vs_56d,169,True,True,True,True
feature_non_promo_base_trend_30d_vs_84d,170,True,True,True,True
feature_non_promo_days_with_sales_ratio_30d,171,True,True,True,True
feature_non_promo_days_with_sales_ratio_56d,172,True,True,True,True
