promotion_row_key,sku_number,sku_description,promo_type,legacy_expected_demand,expected_promo_demand,final_order_units,legacy_order_units,stock_basis_units,demand_reference_units,realized_sales_units,target_quality_label,target_repair_basis,target_weight,buy_change,raw_stock_gap_units,pack_size,action_reason_short,over_stock_basis
772|97775|2026-03-24|2026-04-22|772-97775-20260324|Allocation Report - New Line 26 WK38,97775,Sch Ec 4In1 Rpr Mask 400Ml,newlines,88.71583002634459,53.41860480560158,55,91,2.0,165.78947368421052,19.0,STOCK_CONSTRAINED_REPAIRED,REPAIR_POST14_FOLLOWTHROUGH|CEILING_MIN_DEMAND_STOCK,0.2,unchanged,55,1.0,STOCK_GAP_ORDER|OVER_STOCK_BASIS|STOCKOUT_RISK|REPAIRED_TARGET_CONTEXT,1
772|23654|2026-02-08|2026-02-14|772-23654-20260208|Allocation Report - SE07 VALENTINES DAY FRAGRANCE,23654,Natio Pure Essen Oil Lav 10Ml,sales event,18.01983031942033,20.136650777928104,24,21,0.0,21.0,0.0,INSUFFICIENT_EVIDENCE,,0.0,unchanged,22,3.0,STOCK_GAP_ORDER|STOCKOUT_RISK,0
772|13296|2026-03-19|2026-03-25|772-13296-20260319|Allocation Report - SE08 MAKE UP CATEGORY SALES EVENT,13296,Kiss Sal Acr Nd Nails Brthtkng,sales event,1.639033620205771,23.363773907444653,24,0,6.0,35.0,0.0,STOCK_CONSTRAINED_REPAIRED,REPAIR_UNDERALLOCATION|CEILING_MIN_DEMAND_STOCK,0.2,shadow_added_buy,19,6.0,STOCK_GAP_ORDER|OVER_STOCK_BASIS|REPAIRED_TARGET_CONTEXT,1
772|195929|2026-02-08|2026-02-14|772-195929-20260208|Allocation Report - SE07 VALENTINES DAY FRAGRANCE,195929,Klorane Dry Sp Om & Cm 250Ml,sales event,2.6322003086700954,16.230923150867184,18,6,4.0,21.0,5.0,STOCK_CONSTRAINED_REPAIRED,REPAIR_SATURATED_SELLTHROUGH|CEILING_MIN_DEMAND_STOCK,0.2,unchanged,14,6.0,STOCK_GAP_ORDER|OVER_STOCK_BASIS|STOCKOUT_RISK|REPAIRED_TARGET_CONTEXT,1
772|185570|2026-03-26|2026-04-08|772-185570-20260326|Allocation Report - WK39&40 AUTUMN PART 3 MAJOR VITAMIN,185570,Libra Liner Extra Protect 50,normal catalogue,5.486288441013862,12.792612755120816,16,8,12.0,24.0002,2.0,STOCK_CONSTRAINED_REPAIRED,REPAIR_UNDERALLOCATION|CEILING_MIN_DEMAND_STOCK,0.2,unchanged,13,4.0,STOCK_GAP_ORDER|OVER_STOCK_BASIS|REPAIRED_TARGET_CONTEXT,1
772|190283|2026-02-19|2026-03-04|772-190283-20260219|Allocation Report - WK34&35 AUTUMN PART 1,190283,Pl Elastics Thin Blonde 20Pk,normal catalogue,2.1046884075553973,4.034943849386106,12,12,3.0,14.0,1.0,STOCK_CONSTRAINED_REPAIRED,REPAIR_UNDERALLOCATION|CEILING_MIN_DEMAND_STOCK,0.2,unchanged,3,12.0,STOCK_GAP_ORDER|OVER_STOCK_BASIS|REPAIRED_TARGET_CONTEXT,1
772|187278|2026-03-05|2026-03-18|772-187278-20260305|Allocation Report - OP21 FEMALE FOUNDERS,187278,Natio Invis Fluid Fac Spf50+,online promotion,0.8265598434810479,5.307428200192476,12,6,0.0,21.0,0.0,INSUFFICIENT_EVIDENCE,,0.0,unchanged,7,6.0,STOCK_GAP_ORDER|STOCKOUT_RISK,0
772|189728|2026-02-19|2026-03-04|772-189728-20260219|Allocation Report - WK34&35 AUTUMN PART 1,189728,Colg Tp Plaq Frag Mint 95G,normal catalogue,1.7797772491976427,4.078050477191088,12,0,5.0,14.0,2.0,STOCK_CONSTRAINED_REPAIRED,REPAIR_UNDERALLOCATION|CEILING_MIN_DEMAND_STOCK,0.2,shadow_added_buy,1,12.0,STOCK_GAP_ORDER|OVER_STOCK_BASIS|REPAIRED_TARGET_CONTEXT,1
772|187282|2026-03-05|2026-03-18|772-187282-20260305|Allocation Report - OP21 FEMALE FOUNDERS,187282,Natio Sensitiv S/Screen Spf50+,online promotion,0.03038354938581221,5.5468062470564305,12,6,6.0,14.0,0.0,STOCK_CONSTRAINED_REPAIRED,REPAIR_UNDERALLOCATION|CEILING_MIN_DEMAND_STOCK,0.2,unchanged,8,6.0,STOCK_GAP_ORDER|OVER_STOCK_BASIS|REPAIRED_TARGET_CONTEXT,1
772|190287|2026-02-19|2026-03-04|772-190287-20260219|Allocation Report - WK34&35 AUTUMN PART 1,190287,Pl Elastics Thick Black 30Pk,normal catalogue,2.4803211335390554,5.324045658360642,12,0,6.0,14.0,3.0,STOCK_CONSTRAINED_REPAIRED,REPAIR_UNDERALLOCATION|CEILING_MIN_DEMAND_STOCK,0.2,shadow_added_buy,1,12.0,STOCK_GAP_ORDER|OVER_STOCK_BASIS|REPAIRED_TARGET_CONTEXT,1
