promotion_row_key,sku_number,sku_description,store_action,expected_promo_demand,uncapped_order_units,order_units,stock_basis_units,demand_reference_units,action_cap_applied_flag,action_cap_basis,action_cap_units_removed,action_cap_review_flag,realized_exceeds_action_cap_flag,manager_action_summary
772|10045|2026-04-09|2026-04-22|772-10045-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,10045,Regaine Women Foam 5% 2X60G,BUY,2.0391116453954563,2,1,1.0,14.0,1,MIN_STOCK_BASIS_DEMAND_REFERENCE,1,1,1,BUY 1 units (demand 2.0) [CAP APPLIED]
772|101948|2026-04-09|2026-04-22|772-101948-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,101948,Rev N/E Clear,BUY,0.6354930740670958,2,2,2.0,14.0,0,MIN_STOCK_BASIS_DEMAND_REFERENCE,0,0,0,BUY 2 units (demand 0.6)
772|102054|2026-04-09|2026-04-22|772-102054-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,102054,Rev S/L L/S Softsilver Rose,HOLD,1.0303720816215625,0,0,3.0,14.0,0,MIN_STOCK_BASIS_DEMAND_REFERENCE,0,0,0,HOLD — stock covers demand 1.0
772|10425|2026-04-09|2026-04-22|772-10425-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,10425,Pref Loreal V/Lgt Brwn 6.21,HOLD,0.23102510348863184,0,0,2.0,0.0294,0,MIN_STOCK_BASIS_DEMAND_REFERENCE,0,0,0,HOLD — stock covers demand 0.2
772|10431|2026-04-09|2026-04-22|772-10431-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,10431,Lor Magic Ret Black 1,BUY,1.6133784267235571,2,2,2.0,0.0,0,,0,0,0,BUY 2 units (demand 1.6)
772|10432|2026-04-09|2026-04-22|772-10432-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,10432,Lor Magic Ret Dark Brown 2,BUY,3.0006351170904004,3,2,2.0,14.0,1,MIN_STOCK_BASIS_DEMAND_REFERENCE,1,1,0,BUY 2 units (demand 3.0) [CAP APPLIED]
772|10433|2026-04-09|2026-04-22|772-10433-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,10433,Lor Magic Ret Brown 3,HOLD,2.9341723201212933,0,0,6.0,14.0,0,MIN_STOCK_BASIS_DEMAND_REFERENCE,0,0,0,HOLD — stock covers demand 2.9
772|10434|2026-04-09|2026-04-22|772-10434-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,10434,Lor Magic Ret Brown,HOLD,3.589313519212242,0,0,6.0,14.0,0,MIN_STOCK_BASIS_DEMAND_REFERENCE,0,0,0,HOLD — stock covers demand 3.6
772|10435|2026-04-09|2026-04-22|772-10435-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,10435,Lor Magic Ret Blonde 9,HOLD,0.2624449074767441,0,0,2.0,0.0294,0,MIN_STOCK_BASIS_DEMAND_REFERENCE,0,0,0,HOLD — stock covers demand 0.3
772|105822|2026-04-09|2026-04-22|772-105822-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,105822,Cenovis Mega C 1000 Vp 60 Tab,BUY,2.9843288935022843,3,2,2.0,14.0,1,MIN_STOCK_BASIS_DEMAND_REFERENCE,1,1,0,BUY 2 units (demand 3.0) [CAP APPLIED]
772|105861|2026-04-09|2026-04-22|772-105861-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,105861,Rev S/L L Pink Velvet,HOLD,0.15457092852753077,0,0,2.0,0.0294,0,MIN_STOCK_BASIS_DEMAND_REFERENCE,0,0,0,HOLD — stock covers demand 0.2
772|107947|2026-04-09|2026-04-22|772-107947-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,107947,Sh Diamond Strength Nail Hardn,HOLD,1.5892318559893992,0,0,4.0,14.0,0,MIN_STOCK_BASIS_DEMAND_REFERENCE,0,0,0,HOLD — stock covers demand 1.6
772|10982|2026-04-09|2026-04-22|772-10982-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,10982,Brite Organix Bleach Kit,HOLD,1.507418651238247,4,0,3.0,0.060200000000000004,1,MIN_STOCK_BASIS_DEMAND_REFERENCE,4,1,1,HOLD — stock covers demand 1.5 [CAP APPLIED]
772|11005|2026-04-09|2026-04-22|772-11005-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,11005,Mustela Hydrabebe Blotion 300M,HOLD,0.10281838238008102,1,0,1.0,0.0294,1,MIN_STOCK_BASIS_DEMAND_REFERENCE,1,1,0,HOLD — stock covers demand 0.1 [CAP APPLIED]
772|11008|2026-04-09|2026-04-22|772-11008-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,11008,Ego Qv Face Moist Oil Free 75G,BUY,3.1823003568826134,2,2,3.0,14.0,0,MIN_STOCK_BASIS_DEMAND_REFERENCE,0,0,0,BUY 2 units (demand 3.2)
