promotion_row_key,store_action_legacy,order_units_legacy,store_action_shadow,order_units_shadow,manager_reason_short,manager_action_summary,change
772|11008|2026-04-09|2026-04-22|772-11008-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,HOLD,0,BUY,2,,BUY 2 units (demand 3.2),shadow_added_buy
772|115912|2026-04-09|2026-04-22|772-115912-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,HOLD,0,BUY,1,,BUY 1 units (demand 2.8),shadow_added_buy
772|11631|2026-04-09|2026-04-22|772-11631-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,HOLD,0,BUY,2,,BUY 2 units (demand 1.7),shadow_added_buy
772|116671|2026-04-09|2026-04-22|772-116671-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,HOLD,0,BUY,2,,BUY 2 units (demand 0.7),shadow_added_buy
772|116745|2026-04-09|2026-04-22|772-116745-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,HOLD,0,BUY,2,,BUY 2 units (demand 0.7),shadow_added_buy
772|11833|2026-04-09|2026-04-22|772-11833-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,HOLD,0,BUY,3,,BUY 3 units (demand 3.5),shadow_added_buy
772|12715|2026-04-09|2026-04-22|772-12715-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,HOLD,0,BUY,2,,BUY 2 units (demand 3.8),shadow_added_buy
772|12757|2026-04-09|2026-04-22|772-12757-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,HOLD,0,BUY,1,,BUY 1 units (demand 1.2),shadow_added_buy
772|13563|2026-04-09|2026-04-22|772-13563-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,HOLD,0,BUY,3,,BUY 3 units (demand 3.4),shadow_added_buy
772|16491|2026-04-09|2026-04-22|772-16491-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,DO_NOT_BUY,0,BUY,2,,BUY 2 units (demand 1.6),shadow_added_buy
772|16728|2026-04-09|2026-04-22|772-16728-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,HOLD,0,BUY,1,,BUY 1 units (demand 3.8),shadow_added_buy
772|17266|2026-04-09|2026-04-22|772-17266-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,HOLD,0,BUY,2,,BUY 2 units (demand 1.5),shadow_added_buy
772|18024|2026-04-09|2026-04-22|772-18024-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,HOLD,0,BUY,2,,BUY 2 units (demand 1.5),shadow_added_buy
772|184632|2026-04-09|2026-04-22|772-184632-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,HOLD,0,BUY,2,,BUY 2 units (demand 1.1) [CAP APPLIED],shadow_added_buy
772|184832|2026-04-09|2026-04-22|772-184832-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,HOLD,0,BUY,1,,BUY 1 units (demand 1.0),shadow_added_buy
772|184833|2026-04-09|2026-04-22|772-184833-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,HOLD,0,BUY,1,,BUY 1 units (demand 0.9),shadow_added_buy
772|185220|2026-04-09|2026-04-22|772-185220-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,HOLD,0,BUY,2,,BUY 2 units (demand 2.5),shadow_added_buy
772|185440|2026-04-09|2026-04-22|772-185440-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,DO_NOT_BUY,0,BUY,2,,BUY 2 units (demand 1.1) [CAP APPLIED],shadow_added_buy
772|185450|2026-04-09|2026-04-22|772-185450-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,HOLD,0,BUY,3,,BUY 3 units (demand 3.9),shadow_added_buy
772|185525|2026-04-09|2026-04-22|772-185525-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,HOLD,0,BUY,2,,BUY 2 units (demand 1.0) [CAP APPLIED],shadow_added_buy
