promotion_row_key,store_action_legacy,order_units_legacy,store_action_shadow,order_units_shadow,manager_reason_short,manager_action_summary,change
772|11005|2026-04-09|2026-04-22|772-11005-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,BUY,1,HOLD,0,,HOLD — stock covers demand 0.1 [CAP APPLIED],shadow_removed_buy
772|17553|2026-04-09|2026-04-22|772-17553-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,BUY,2,HOLD,0,,HOLD — stock covers demand 1.9 [CAP APPLIED],shadow_removed_buy
772|185068|2026-04-09|2026-04-22|772-185068-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,BUY,2,HOLD,0,,HOLD — stock covers demand 1.4 [CAP APPLIED],shadow_removed_buy
772|185074|2026-04-09|2026-04-22|772-185074-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,BUY,1,HOLD,0,,HOLD — stock covers demand 0.1 [CAP APPLIED],shadow_removed_buy
772|185107|2026-04-09|2026-04-22|772-185107-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,BUY,1,DO_NOT_BUY,0,,DO NOT BUY [CAP APPLIED],shadow_removed_buy
772|185110|2026-04-09|2026-04-22|772-185110-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,BUY,1,HOLD,0,,HOLD — stock covers demand 0.1 [CAP APPLIED],shadow_removed_buy
772|185113|2026-04-09|2026-04-22|772-185113-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,BUY,1,DO_NOT_BUY,0,,DO NOT BUY [CAP APPLIED],shadow_removed_buy
772|185117|2026-04-09|2026-04-22|772-185117-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,BUY,1,DO_NOT_BUY,0,,DO NOT BUY [CAP APPLIED],shadow_removed_buy
772|185120|2026-04-09|2026-04-22|772-185120-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,BUY,1,DO_NOT_BUY,0,,DO NOT BUY [CAP APPLIED],shadow_removed_buy
772|185125|2026-04-09|2026-04-22|772-185125-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,BUY,1,DO_NOT_BUY,0,,DO NOT BUY [CAP APPLIED],shadow_removed_buy
772|186525|2026-04-09|2026-04-22|772-186525-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,BUY,2,HOLD,0,,HOLD — stock covers demand 1.5 [CAP APPLIED],shadow_removed_buy
772|187064|2026-04-09|2026-04-22|772-187064-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,BUY,1,DO_NOT_BUY,0,,DO NOT BUY [CAP APPLIED],shadow_removed_buy
772|187071|2026-04-09|2026-04-22|772-187071-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,BUY,3,HOLD,0,,HOLD — stock covers demand 1.5 [CAP APPLIED],shadow_removed_buy
772|187223|2026-04-09|2026-04-22|772-187223-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,BUY,1,DO_NOT_BUY,0,,DO NOT BUY [CAP APPLIED],shadow_removed_buy
772|188105|2026-04-09|2026-04-22|772-188105-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,BUY,1,DO_NOT_BUY,0,,DO NOT BUY [CAP APPLIED],shadow_removed_buy
772|188118|2026-04-09|2026-04-22|772-188118-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,BUY,1,HOLD,0,,HOLD — stock covers demand 1.5 [CAP APPLIED],shadow_removed_buy
772|188359|2026-04-09|2026-04-22|772-188359-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,BUY,4,HOLD,0,,HOLD — stock covers demand 6.1,shadow_removed_buy
772|189360|2026-04-09|2026-04-22|772-189360-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,BUY,4,HOLD,0,,HOLD — stock covers demand 0.1 [CAP APPLIED],shadow_removed_buy
772|189393|2026-04-09|2026-04-22|772-189393-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,BUY,2,HOLD,0,,HOLD — stock covers demand 1.5 [CAP APPLIED],shadow_removed_buy
772|189556|2026-04-09|2026-04-22|772-189556-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,BUY,3,HOLD,0,,HOLD — stock covers demand 1.7 [CAP APPLIED],shadow_removed_buy
772|1341|2026-03-26|2026-04-08|772-1341-20260326|Allocation Report - WK39&40 AUTUMN PART 3 MAJOR VITAMIN,BUY,2,HOLD,0,,HOLD — stock covers demand 1.5 [CAP APPLIED],shadow_removed_buy
772|17649|2026-03-26|2026-04-08|772-17649-20260326|Allocation Report - WK39&40 AUTUMN PART 3 MAJOR VITAMIN,BUY,1,HOLD,0,,HOLD — stock covers demand 0.1 [CAP APPLIED],shadow_removed_buy
772|185142|2026-03-26|2026-04-08|772-185142-20260326|Allocation Report - WK39&40 AUTUMN PART 3 MAJOR VITAMIN,BUY,2,HOLD,0,,HOLD — stock covers demand 1.5 [CAP APPLIED],shadow_removed_buy
772|185534|2026-03-26|2026-04-08|772-185534-20260326|Allocation Report - WK39&40 AUTUMN PART 3 MAJOR VITAMIN,BUY,1,DO_NOT_BUY,0,,DO NOT BUY [CAP APPLIED],shadow_removed_buy
772|18581|2026-03-26|2026-04-08|772-18581-20260326|Allocation Report - WK39&40 AUTUMN PART 3 MAJOR VITAMIN,BUY,1,DO_NOT_BUY,0,,DO NOT BUY [CAP APPLIED],shadow_removed_buy
772|186417|2026-03-26|2026-04-08|772-186417-20260326|Allocation Report - WK39&40 AUTUMN PART 3 MAJOR VITAMIN,BUY,3,HOLD,0,,HOLD — stock covers demand 0.2 [CAP APPLIED],shadow_removed_buy
772|187748|2026-03-26|2026-04-08|772-187748-20260326|Allocation Report - WK39&40 AUTUMN PART 3 MAJOR VITAMIN,BUY,1,HOLD,0,,HOLD — stock covers demand 0.1 [CAP APPLIED],shadow_removed_buy
772|187756|2026-03-26|2026-04-08|772-187756-20260326|Allocation Report - WK39&40 AUTUMN PART 3 MAJOR VITAMIN,BUY,1,HOLD,0,,HOLD — stock covers demand 0.3 [CAP APPLIED],shadow_removed_buy
772|187779|2026-03-26|2026-04-08|772-187779-20260326|Allocation Report - WK39&40 AUTUMN PART 3 MAJOR VITAMIN,BUY,1,HOLD,0,,HOLD — stock covers demand 0.0 [CAP APPLIED],shadow_removed_buy
772|187782|2026-03-26|2026-04-08|772-187782-20260326|Allocation Report - WK39&40 AUTUMN PART 3 MAJOR VITAMIN,BUY,1,HOLD,0,,HOLD — stock covers demand 0.1 [CAP APPLIED],shadow_removed_buy
772|187996|2026-03-26|2026-04-08|772-187996-20260326|Allocation Report - WK39&40 AUTUMN PART 3 MAJOR VITAMIN,BUY,2,HOLD,0,,HOLD — stock covers demand 1.5 [CAP APPLIED],shadow_removed_buy
772|187997|2026-03-26|2026-04-08|772-187997-20260326|Allocation Report - WK39&40 AUTUMN PART 3 MAJOR VITAMIN,BUY,1,HOLD,0,,HOLD — stock covers demand 1.5 [CAP APPLIED],shadow_removed_buy
772|188131|2026-03-26|2026-04-08|772-188131-20260326|Allocation Report - WK39&40 AUTUMN PART 3 MAJOR VITAMIN,BUY,2,HOLD,0,,HOLD — stock covers demand 1.5 [CAP APPLIED],shadow_removed_buy
772|188296|2026-03-26|2026-04-08|772-188296-20260326|Allocation Report - WK39&40 AUTUMN PART 3 MAJOR VITAMIN,BUY,2,HOLD,0,,HOLD — stock covers demand 1.2 [CAP APPLIED],shadow_removed_buy
772|188297|2026-03-26|2026-04-08|772-188297-20260326|Allocation Report - WK39&40 AUTUMN PART 3 MAJOR VITAMIN,BUY,1,HOLD,0,,HOLD — stock covers demand 0.1 [CAP APPLIED],shadow_removed_buy
772|188402|2026-03-26|2026-04-08|772-188402-20260326|Allocation Report - WK39&40 AUTUMN PART 3 MAJOR VITAMIN,BUY,6,HOLD,0,,HOLD — stock covers demand 0.1 [CAP APPLIED],shadow_removed_buy
772|188636|2026-03-26|2026-04-08|772-188636-20260326|Allocation Report - WK39&40 AUTUMN PART 3 MAJOR VITAMIN,BUY,4,HOLD,0,,HOLD — stock covers demand 1.9 [CAP APPLIED],shadow_removed_buy
772|1227|2026-03-19|2026-03-25|772-1227-20260319|Allocation Report - SE08 MAKE UP CATEGORY SALES EVENT,BUY,2,HOLD,0,,HOLD — stock covers demand 1.8 [CAP APPLIED],shadow_removed_buy
772|1341|2026-03-19|2026-03-25|772-1341-20260319|Allocation Report - SE08 MAKE UP CATEGORY SALES EVENT,BUY,2,HOLD,0,,HOLD — stock covers demand 0.2 [CAP APPLIED],shadow_removed_buy
772|15009|2026-03-19|2026-03-25|772-15009-20260319|Allocation Report - SE08 MAKE UP CATEGORY SALES EVENT,BUY,3,HOLD,0,,HOLD — stock covers demand 1.7 [CAP APPLIED],shadow_removed_buy
772|16491|2026-03-19|2026-03-25|772-16491-20260319|Allocation Report - SE08 MAKE UP CATEGORY SALES EVENT,BUY,2,HOLD,0,,HOLD — stock covers demand 1.7 [CAP APPLIED],shadow_removed_buy
772|184834|2026-03-19|2026-03-25|772-184834-20260319|Allocation Report - SE08 MAKE UP CATEGORY SALES EVENT,BUY,2,HOLD,0,,HOLD — stock covers demand 1.6 [CAP APPLIED],shadow_removed_buy
772|184837|2026-03-19|2026-03-25|772-184837-20260319|Allocation Report - SE08 MAKE UP CATEGORY SALES EVENT,BUY,1,HOLD,0,,HOLD — stock covers demand 1.6 [CAP APPLIED],shadow_removed_buy
772|186417|2026-03-19|2026-03-25|772-186417-20260319|Allocation Report - SE08 MAKE UP CATEGORY SALES EVENT,BUY,3,HOLD,0,,HOLD — stock covers demand 0.2 [CAP APPLIED],shadow_removed_buy
772|186442|2026-03-19|2026-03-25|772-186442-20260319|Allocation Report - SE08 MAKE UP CATEGORY SALES EVENT,BUY,2,DO_NOT_BUY,0,,DO NOT BUY [CAP APPLIED],shadow_removed_buy
772|186649|2026-03-19|2026-03-25|772-186649-20260319|Allocation Report - SE08 MAKE UP CATEGORY SALES EVENT,BUY,3,HOLD,0,,HOLD — stock covers demand 1.3 [CAP APPLIED],shadow_removed_buy
772|186719|2026-03-19|2026-03-25|772-186719-20260319|Allocation Report - SE08 MAKE UP CATEGORY SALES EVENT,BUY,6,HOLD,0,,HOLD — stock covers demand 1.5 [CAP APPLIED],shadow_removed_buy
772|186740|2026-03-19|2026-03-25|772-186740-20260319|Allocation Report - SE08 MAKE UP CATEGORY SALES EVENT,BUY,6,HOLD,0,,HOLD — stock covers demand 1.5 [CAP APPLIED],shadow_removed_buy
772|188691|2026-03-19|2026-03-25|772-188691-20260319|Allocation Report - SE08 MAKE UP CATEGORY SALES EVENT,BUY,1,HOLD,0,,HOLD — stock covers demand 0.3 [CAP APPLIED],shadow_removed_buy
772|188705|2026-03-19|2026-03-25|772-188705-20260319|Allocation Report - SE08 MAKE UP CATEGORY SALES EVENT,BUY,15,HOLD,0,,HOLD — stock covers demand 10.3,shadow_removed_buy
772|188998|2026-03-19|2026-03-25|772-188998-20260319|Allocation Report - SE08 MAKE UP CATEGORY SALES EVENT,BUY,6,HOLD,0,,HOLD — stock covers demand 2.1 [CAP APPLIED],shadow_removed_buy
772|189224|2026-03-19|2026-03-25|772-189224-20260319|Allocation Report - SE08 MAKE UP CATEGORY SALES EVENT,BUY,2,DO_NOT_BUY,0,,DO NOT BUY [CAP APPLIED],shadow_removed_buy
772|189355|2026-03-19|2026-03-25|772-189355-20260319|Allocation Report - SE08 MAKE UP CATEGORY SALES EVENT,BUY,1,HOLD,0,,HOLD — stock covers demand 1.6 [CAP APPLIED],shadow_removed_buy
772|189551|2026-03-19|2026-03-25|772-189551-20260319|Allocation Report - SE08 MAKE UP CATEGORY SALES EVENT,BUY,1,HOLD,0,,HOLD — stock covers demand 0.2 [CAP APPLIED],shadow_removed_buy
772|189710|2026-03-19|2026-03-25|772-189710-20260319|Allocation Report - SE08 MAKE UP CATEGORY SALES EVENT,BUY,2,HOLD,0,,HOLD — stock covers demand 1.6 [CAP APPLIED],shadow_removed_buy
772|16859|2026-03-05|2026-03-18|772-16859-20260305|Allocation Report - OP21 FEMALE FOUNDERS,BUY,3,HOLD,0,,HOLD — stock covers demand 5.5,shadow_removed_buy
772|184853|2026-03-05|2026-03-18|772-184853-20260305|Allocation Report - OP21 FEMALE FOUNDERS,BUY,3,HOLD,0,,HOLD — stock covers demand 1.2 [CAP APPLIED],shadow_removed_buy
772|184|2026-03-05|2026-03-18|772-184-20260305|Allocation Report - OP21 FEMALE FOUNDERS,BUY,3,HOLD,0,,HOLD — stock covers demand 1.4 [CAP APPLIED],shadow_removed_buy
772|185074|2026-03-05|2026-03-18|772-185074-20260305|Allocation Report - OP21 FEMALE FOUNDERS,BUY,1,HOLD,0,,HOLD — stock covers demand 0.0 [CAP APPLIED],shadow_removed_buy
772|185095|2026-03-05|2026-03-18|772-185095-20260305|Allocation Report - OP21 FEMALE FOUNDERS,BUY,1,HOLD,0,,HOLD — stock covers demand 0.0 [CAP APPLIED],shadow_removed_buy
772|186770|2026-03-05|2026-03-18|772-186770-20260305|Allocation Report - OP21 FEMALE FOUNDERS,BUY,6,HOLD,0,,HOLD — stock covers demand 1.3 [CAP APPLIED],shadow_removed_buy
772|187756|2026-03-05|2026-03-18|772-187756-20260305|Allocation Report - OP21 FEMALE FOUNDERS,BUY,1,HOLD,0,,HOLD — stock covers demand 1.0 [CAP APPLIED],shadow_removed_buy
772|188013|2026-03-05|2026-03-18|772-188013-20260305|Allocation Report - OP21 FEMALE FOUNDERS,BUY,2,HOLD,0,,HOLD — stock covers demand 1.4 [CAP APPLIED],shadow_removed_buy
772|188117|2026-03-05|2026-03-18|772-188117-20260305|Allocation Report - OP21 FEMALE FOUNDERS,BUY,1,DO_NOT_BUY,0,,DO NOT BUY [CAP APPLIED],shadow_removed_buy
772|188365|2026-03-05|2026-03-18|772-188365-20260305|Allocation Report - OP21 FEMALE FOUNDERS,BUY,4,HOLD,0,,HOLD — stock covers demand 1.6 [CAP APPLIED],shadow_removed_buy
772|188373|2026-03-05|2026-03-18|772-188373-20260305|Allocation Report - OP21 FEMALE FOUNDERS,BUY,4,DO_NOT_BUY,0,,DO NOT BUY [CAP APPLIED],shadow_removed_buy
772|188387|2026-03-05|2026-03-18|772-188387-20260305|Allocation Report - OP21 FEMALE FOUNDERS,BUY,3,HOLD,0,,HOLD — stock covers demand 1.5 [CAP APPLIED],shadow_removed_buy
772|188691|2026-03-05|2026-03-18|772-188691-20260305|Allocation Report - OP21 FEMALE FOUNDERS,BUY,1,HOLD,0,,HOLD — stock covers demand 0.4 [CAP APPLIED],shadow_removed_buy
772|188736|2026-03-05|2026-03-18|772-188736-20260305|Allocation Report - OP21 FEMALE FOUNDERS,BUY,1,DO_NOT_BUY,0,,DO NOT BUY,shadow_removed_buy
772|188799|2026-03-05|2026-03-18|772-188799-20260305|Allocation Report - OP21 FEMALE FOUNDERS,BUY,2,HOLD,0,,HOLD — stock covers demand 2.2 [CAP APPLIED],shadow_removed_buy
772|189361|2026-03-05|2026-03-18|772-189361-20260305|Allocation Report - OP21 FEMALE FOUNDERS,BUY,1,HOLD,0,,HOLD — stock covers demand 1.6 [CAP APPLIED],shadow_removed_buy
772|189551|2026-03-05|2026-03-18|772-189551-20260305|Allocation Report - OP21 FEMALE FOUNDERS,BUY,1,HOLD,0,,HOLD — stock covers demand 0.5 [CAP APPLIED],shadow_removed_buy
772|102080|2026-02-19|2026-03-04|772-102080-20260219|Allocation Report - WK34&35 AUTUMN PART 1,BUY,3,HOLD,0,,HOLD — stock covers demand 1.6 [CAP APPLIED],shadow_removed_buy
772|17381|2026-02-19|2026-03-04|772-17381-20260219|Allocation Report - WK34&35 AUTUMN PART 1,BUY,3,HOLD,0,,HOLD — stock covers demand 0.0 [CAP APPLIED],shadow_removed_buy
772|184616|2026-02-19|2026-03-04|772-184616-20260219|Allocation Report - WK34&35 AUTUMN PART 1,BUY,2,HOLD,0,,HOLD — stock covers demand 1.6 [CAP APPLIED],shadow_removed_buy
772|184|2026-02-19|2026-03-04|772-184-20260219|Allocation Report - WK34&35 AUTUMN PART 1,BUY,1,HOLD,0,,HOLD — stock covers demand 0.3 [CAP APPLIED],shadow_removed_buy
772|185496|2026-02-19|2026-03-04|772-185496-20260219|Allocation Report - WK34&35 AUTUMN PART 1,BUY,3,HOLD,0,,HOLD — stock covers demand 1.5 [CAP APPLIED],shadow_removed_buy
772|185604|2026-02-19|2026-03-04|772-185604-20260219|Allocation Report - WK34&35 AUTUMN PART 1,BUY,1,HOLD,0,,HOLD — stock covers demand 1.2 [CAP APPLIED],shadow_removed_buy
772|187214|2026-02-19|2026-03-04|772-187214-20260219|Allocation Report - WK34&35 AUTUMN PART 1,BUY,3,HOLD,0,,HOLD — stock covers demand 1.7 [CAP APPLIED],shadow_removed_buy
772|190002|2026-02-19|2026-03-04|772-190002-20260219|Allocation Report - WK34&35 AUTUMN PART 1,BUY,1,HOLD,0,,HOLD — stock covers demand 0.4 [CAP APPLIED],shadow_removed_buy
772|191065|2026-02-19|2026-03-04|772-191065-20260219|Allocation Report - WK34&35 AUTUMN PART 1,BUY,3,HOLD,0,,HOLD — stock covers demand 1.4,shadow_removed_buy
772|17959|2026-02-08|2026-02-14|772-17959-20260208|Allocation Report - SE07 VALENTINES DAY FRAGRANCE,BUY,1,HOLD,0,,HOLD — stock covers demand 0.1 [CAP APPLIED],shadow_removed_buy
772|192123|2026-02-08|2026-02-14|772-192123-20260208|Allocation Report - SE07 VALENTINES DAY FRAGRANCE,BUY,3,HOLD,0,,HOLD — stock covers demand 1.4 [CAP APPLIED],shadow_removed_buy
772|198674|2026-02-08|2026-02-14|772-198674-20260208|Allocation Report - SE07 VALENTINES DAY FRAGRANCE,BUY,3,DO_NOT_BUY,0,,DO NOT BUY [CAP APPLIED],shadow_removed_buy
772|199283|2026-02-08|2026-02-14|772-199283-20260208|Allocation Report - SE07 VALENTINES DAY FRAGRANCE,BUY,1,HOLD,0,,HOLD — stock covers demand 0.3 [CAP APPLIED],shadow_removed_buy
772|226173|2026-02-08|2026-02-14|772-226173-20260208|Allocation Report - SE07 VALENTINES DAY FRAGRANCE,BUY,1,DO_NOT_BUY,0,,DO NOT BUY [CAP APPLIED],shadow_removed_buy
772|253340|2026-02-08|2026-02-14|772-253340-20260208|Allocation Report - SE07 VALENTINES DAY FRAGRANCE,BUY,1,DO_NOT_BUY,0,,DO NOT BUY [CAP APPLIED],shadow_removed_buy
772|66223|2026-02-08|2026-02-14|772-66223-20260208|Allocation Report - SE07 VALENTINES DAY FRAGRANCE,BUY,1,DO_NOT_BUY,0,,DO NOT BUY [CAP APPLIED],shadow_removed_buy
