report_mode,variant,promotion_row_key,sku_number,sku_description,department,category,store_action,expected_promo_demand,order_units,stock_basis_units,demand_reference_units,target_quality_label,target_repair_basis,target_weight,uncapped_order_units,action_cap_applied_flag,action_cap_basis,action_cap_units_removed,action_cap_review_flag,realized_exceeds_action_cap_flag,manager_action_summary,manager_reason_short,readability_score,manager_readable
SHADOW_NOT_PRODUCTION,shadow_4b11_capped,772|23654|2026-02-08|2026-02-14|772-23654-20260208|Allocation Report - SE07 VALENTINES DAY FRAGRANCE,23654,Natio Pure Essen Oil Lav 10Ml,GIFTING,HOME FRAGRANCE,BUY,20.136650777928104,24,0.0,21.0,INSUFFICIENT_EVIDENCE,,0.0,24,0,,0,0,0,BUY 24 units (demand 20.1),,4,True
SHADOW_NOT_PRODUCTION,shadow_4b11_capped,772|185570|2026-03-26|2026-04-08|772-185570-20260326|Allocation Report - WK39&40 AUTUMN PART 3 MAJOR VITAMIN,185570,Libra Liner Extra Protect 50,FEMININE CARE,FEMININE HYGIENE,BUY,12.792612755120816,12,12.0,24.0002,STOCK_CONSTRAINED_REPAIRED,REPAIR_UNDERALLOCATION|CEILING_MIN_DEMAND_STOCK,0.2,16,1,MIN_STOCK_BASIS_DEMAND_REFERENCE,4,1,0,BUY 12 units (demand 12.8) [CAP APPLIED],,4,True
SHADOW_NOT_PRODUCTION,shadow_4b11_capped,772|95602|2026-03-24|2026-04-22|772-95602-20260324|Allocation Report - New Line 26 WK38,95602,Isocol Multpurp A/Bact Wp 15Pk,FIRSTAID WOUNDCARE,WOUNDCARE,BUY,10.283468906699065,12,12.0,24.0,INSUFFICIENT_EVIDENCE,,0.0,12,0,MIN_STOCK_BASIS_DEMAND_REFERENCE,0,0,0,BUY 12 units (demand 10.3),,4,True
SHADOW_NOT_PRODUCTION,shadow_4b11_capped,772|184799|2026-03-26|2026-04-08|772-184799-20260326|Allocation Report - WK39&40 AUTUMN PART 3 MAJOR VITAMIN,184799,Oral B 3Dw Freshness Tp 110G,ORAL HEALTH,TOOTHPASTE,BUY,11.053258824977013,12,12.0,24.0002,STOCK_CONSTRAINED_REPAIRED,REPAIR_UNDERALLOCATION|CEILING_MIN_DEMAND_STOCK,0.2,12,0,MIN_STOCK_BASIS_DEMAND_REFERENCE,0,0,0,BUY 12 units (demand 11.1),,4,True
SHADOW_NOT_PRODUCTION,shadow_4b11_capped,772|187278|2026-03-05|2026-03-18|772-187278-20260305|Allocation Report - OP21 FEMALE FOUNDERS,187278,Natio Invis Fluid Fac Spf50+,COLOUR COSMETICS,NATIO,BUY,5.307428200192476,12,0.0,21.0,INSUFFICIENT_EVIDENCE,,0.0,12,0,,0,0,0,BUY 12 units (demand 5.3),,4,True
SHADOW_NOT_PRODUCTION,shadow_4b11_capped,772|185568|2026-03-26|2026-04-08|772-185568-20260326|Allocation Report - WK39&40 AUTUMN PART 3 MAJOR VITAMIN,185568,Libra Liner Extra Protect 30,FEMININE CARE,FEMININE HYGIENE,BUY,13.52217848482916,12,12.0,24.0002,STOCK_CONSTRAINED_REPAIRED,REPAIR_UNDERALLOCATION|CEILING_MIN_DEMAND_STOCK,0.2,12,0,MIN_STOCK_BASIS_DEMAND_REFERENCE,0,0,0,BUY 12 units (demand 13.5),,4,True
SHADOW_NOT_PRODUCTION,shadow_4b11_capped,772|192105|2026-02-08|2026-02-14|772-192105-20260208|Allocation Report - SE07 VALENTINES DAY FRAGRANCE,192105,Skin Repub Lift Up Mask,SKINCARE,EVERYDAY SKIN,BUY,0.12996252043651207,10,0.0,0.2037,INSUFFICIENT_EVIDENCE,,0.0,10,0,,0,0,0,BUY 10 units (demand 0.1),,4,True
SHADOW_NOT_PRODUCTION,shadow_4b11_capped,772|12005|2026-02-08|2026-02-14|772-12005-20260208|Allocation Report - SE07 VALENTINES DAY FRAGRANCE,12005,Skin Repub Spot & Blemish Mask,SKINCARE,EVERYDAY SKIN,BUY,3.2691028933755044,10,0.0,45.5,INSUFFICIENT_EVIDENCE,,0.0,10,0,,0,0,0,BUY 10 units (demand 3.3),,4,True
SHADOW_NOT_PRODUCTION,shadow_4b11_capped,772|185622|2026-03-26|2026-04-08|772-185622-20260326|Allocation Report - WK39&40 AUTUMN PART 3 MAJOR VITAMIN,185622,Berocca Energy Berry Tab 30,VITAMIN SUPPLEMENT,PHYS ACTIVITY SUPP,BUY,7.700911376383516,10,10.0,20.000400000000003,STOCK_CONSTRAINED_REPAIRED,REPAIR_UNDERALLOCATION|CEILING_MIN_DEMAND_STOCK,0.2,10,0,MIN_STOCK_BASIS_DEMAND_REFERENCE,0,0,0,BUY 10 units (demand 7.7),,4,True
SHADOW_NOT_PRODUCTION,shadow_4b11_capped,772|16306|2026-03-05|2026-03-18|772-16306-20260305|Allocation Report - OP21 FEMALE FOUNDERS,16306,Neut U/S Fluid Face Spf50 40Ml,SUNCARE,SUN PROTECTION,BUY,6.178566379796763,8,0.0,17.111111111111114,INVENTORY_INTEGRITY_CONTAMINATED,NO_REPAIR_INTEGRITY,0.0,8,0,,0,0,0,BUY 8 units (demand 6.2),,4,True
