promotion_folder,file,rows
2026-02-08_se07_valentines_day_fragrance,read_me_first.md,0
2026-02-08_se07_valentines_day_fragrance,order_recommendations.csv,188
2026-02-08_se07_valentines_day_fragrance,review_exceptions.csv,122
2026-02-08_se07_valentines_day_fragrance,operator_decision_sheet.csv,160
2026-02-08_se07_valentines_day_fragrance,manager_summary.csv,1
2026-02-08_se07_valentines_day_fragrance,audit_trail.csv,188
2026-02-19_wk34_35_autumn_part_1,read_me_first.md,0
2026-02-19_wk34_35_autumn_part_1,order_recommendations.csv,358
2026-02-19_wk34_35_autumn_part_1,review_exceptions.csv,173
2026-02-19_wk34_35_autumn_part_1,operator_decision_sheet.csv,227
2026-02-19_wk34_35_autumn_part_1,manager_summary.csv,1
2026-02-19_wk34_35_autumn_part_1,audit_trail.csv,358
2026-03-05_op21_female_founders,read_me_first.md,0
2026-03-05_op21_female_founders,order_recommendations.csv,358
2026-03-05_op21_female_founders,review_exceptions.csv,200
2026-03-05_op21_female_founders,operator_decision_sheet.csv,264
2026-03-05_op21_female_founders,manager_summary.csv,1
2026-03-05_op21_female_founders,audit_trail.csv,358
2026-03-19_se08_make_up_category_sales_event,read_me_first.md,0
2026-03-19_se08_make_up_category_sales_event,order_recommendations.csv,358
2026-03-19_se08_make_up_category_sales_event,review_exceptions.csv,169
2026-03-19_se08_make_up_category_sales_event,operator_decision_sheet.csv,233
2026-03-19_se08_make_up_category_sales_event,manager_summary.csv,1
2026-03-19_se08_make_up_category_sales_event,audit_trail.csv,358
2026-03-24_new_line_26_wk38,read_me_first.md,0
2026-03-24_new_line_26_wk38,order_recommendations.csv,162
2026-03-24_new_line_26_wk38,review_exceptions.csv,139
2026-03-24_new_line_26_wk38,operator_decision_sheet.csv,162
2026-03-24_new_line_26_wk38,manager_summary.csv,1
2026-03-24_new_line_26_wk38,audit_trail.csv,162
2026-03-26_wk39_40_autumn_part_3_major_vitamin,read_me_first.md,0
2026-03-26_wk39_40_autumn_part_3_major_vitamin,order_recommendations.csv,358
2026-03-26_wk39_40_autumn_part_3_major_vitamin,review_exceptions.csv,179
2026-03-26_wk39_40_autumn_part_3_major_vitamin,operator_decision_sheet.csv,260
2026-03-26_wk39_40_autumn_part_3_major_vitamin,manager_summary.csv,1
2026-03-26_wk39_40_autumn_part_3_major_vitamin,audit_trail.csv,358
2026-04-09_wk41_42_skincare_goody_bag,read_me_first.md,0
2026-04-09_wk41_42_skincare_goody_bag,order_recommendations.csv,358
2026-04-09_wk41_42_skincare_goody_bag,review_exceptions.csv,188
2026-04-09_wk41_42_skincare_goody_bag,operator_decision_sheet.csv,237
2026-04-09_wk41_42_skincare_goody_bag,manager_summary.csv,1
2026-04-09_wk41_42_skincare_goody_bag,audit_trail.csv,358
