folder,file
completed/2026-02-08_se07_valentines_day_fragrance,read_me_first.md
completed/2026-02-08_se07_valentines_day_fragrance,model_performance_summary.csv
completed/2026-02-08_se07_valentines_day_fragrance,sku_prediction_vs_actual.csv
completed/2026-02-08_se07_valentines_day_fragrance,miss_analysis.csv
completed/2026-02-08_se07_valentines_day_fragrance,stockout_and_supply_review.csv
completed/2026-02-08_se07_valentines_day_fragrance,learning_actions.csv
completed/2026-02-08_se07_valentines_day_fragrance,audit_trail.csv
completed/2026-02-19_wk34_35_autumn_part_1,read_me_first.md
completed/2026-02-19_wk34_35_autumn_part_1,model_performance_summary.csv
completed/2026-02-19_wk34_35_autumn_part_1,sku_prediction_vs_actual.csv
completed/2026-02-19_wk34_35_autumn_part_1,miss_analysis.csv
completed/2026-02-19_wk34_35_autumn_part_1,stockout_and_supply_review.csv
completed/2026-02-19_wk34_35_autumn_part_1,learning_actions.csv
completed/2026-02-19_wk34_35_autumn_part_1,audit_trail.csv
completed/2026-03-05_op21_female_founders,read_me_first.md
completed/2026-03-05_op21_female_founders,model_performance_summary.csv
completed/2026-03-05_op21_female_founders,sku_prediction_vs_actual.csv
completed/2026-03-05_op21_female_founders,miss_analysis.csv
completed/2026-03-05_op21_female_founders,stockout_and_supply_review.csv
completed/2026-03-05_op21_female_founders,learning_actions.csv
completed/2026-03-05_op21_female_founders,audit_trail.csv
completed/2026-03-19_se08_make_up_category_sales_event,read_me_first.md
completed/2026-03-19_se08_make_up_category_sales_event,model_performance_summary.csv
completed/2026-03-19_se08_make_up_category_sales_event,sku_prediction_vs_actual.csv
completed/2026-03-19_se08_make_up_category_sales_event,miss_analysis.csv
completed/2026-03-19_se08_make_up_category_sales_event,stockout_and_supply_review.csv
completed/2026-03-19_se08_make_up_category_sales_event,learning_actions.csv
completed/2026-03-19_se08_make_up_category_sales_event,audit_trail.csv
completed/2026-03-24_new_line_26_wk38,read_me_first.md
completed/2026-03-24_new_line_26_wk38,model_performance_summary.csv
completed/2026-03-24_new_line_26_wk38,sku_prediction_vs_actual.csv
completed/2026-03-24_new_line_26_wk38,miss_analysis.csv
completed/2026-03-24_new_line_26_wk38,stockout_and_supply_review.csv
completed/2026-03-24_new_line_26_wk38,learning_actions.csv
completed/2026-03-24_new_line_26_wk38,audit_trail.csv
completed/2026-03-26_wk39_40_autumn_part_3_major_vitamin,read_me_first.md
completed/2026-03-26_wk39_40_autumn_part_3_major_vitamin,model_performance_summary.csv
completed/2026-03-26_wk39_40_autumn_part_3_major_vitamin,sku_prediction_vs_actual.csv
completed/2026-03-26_wk39_40_autumn_part_3_major_vitamin,miss_analysis.csv
completed/2026-03-26_wk39_40_autumn_part_3_major_vitamin,stockout_and_supply_review.csv
completed/2026-03-26_wk39_40_autumn_part_3_major_vitamin,learning_actions.csv
completed/2026-03-26_wk39_40_autumn_part_3_major_vitamin,audit_trail.csv
completed/2026-04-09_wk41_42_skincare_goody_bag,read_me_first.md
completed/2026-04-09_wk41_42_skincare_goody_bag,model_performance_summary.csv
completed/2026-04-09_wk41_42_skincare_goody_bag,sku_prediction_vs_actual.csv
completed/2026-04-09_wk41_42_skincare_goody_bag,miss_analysis.csv
completed/2026-04-09_wk41_42_skincare_goody_bag,stockout_and_supply_review.csv
completed/2026-04-09_wk41_42_skincare_goody_bag,learning_actions.csv
completed/2026-04-09_wk41_42_skincare_goody_bag,audit_trail.csv
