promotion_row_key,source_training_slice,store_number,sku_number,promotion_name,department,category,inferred_supplier_number,realized_sales_units,target_actual_units_sold,sufficient_stock_demand_units_target,target_quality_label,target_weight,target_repair_basis,target_warning,stock_integrity_issue_flag
772|10045|2026-04-09|2026-04-22|772-10045-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,policy-measurement-envfix-recent5k-20260522,772,10045,Allocation Report - WK41&42 SKINCARE GOODY BAG,HAIRCARE,MEDICATED HAIR,99999,6.0,6.0,,INSUFFICIENT_EVIDENCE,0.0,,UNREPAIRABLE_STOCK_CONSTRAINT|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY,0
772|101948|2026-04-09|2026-04-22|772-101948-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,policy-measurement-envfix-recent5k-20260522,772,101948,Allocation Report - WK41&42 SKINCARE GOODY BAG,COLOUR COSMETICS,REVLON,0,0.0,0.0,,INSUFFICIENT_EVIDENCE,0.0,,UNREPAIRABLE_STOCK_CONSTRAINT|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY,0
772|102054|2026-04-09|2026-04-22|772-102054-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,policy-measurement-envfix-recent5k-20260522,772,102054,Allocation Report - WK41&42 SKINCARE GOODY BAG,COLOUR COSMETICS,REVLON,0,0.0,0.0,,INSUFFICIENT_EVIDENCE,0.0,,UNREPAIRABLE_STOCK_CONSTRAINT|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY,0
772|10431|2026-04-09|2026-04-22|772-10431-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,policy-measurement-envfix-recent5k-20260522,772,10431,Allocation Report - WK41&42 SKINCARE GOODY BAG,HAIRCARE,COLOURANTS,99999,2.0,2.0,,INSUFFICIENT_EVIDENCE,0.0,,UNREPAIRABLE_STOCK_CONSTRAINT|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY,0
772|10432|2026-04-09|2026-04-22|772-10432-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,policy-measurement-envfix-recent5k-20260522,772,10432,Allocation Report - WK41&42 SKINCARE GOODY BAG,HAIRCARE,COLOURANTS,99999,1.0,1.0,,INSUFFICIENT_EVIDENCE,0.0,,UNREPAIRABLE_STOCK_CONSTRAINT|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY,0
772|10433|2026-04-09|2026-04-22|772-10433-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,policy-measurement-envfix-recent5k-20260522,772,10433,Allocation Report - WK41&42 SKINCARE GOODY BAG,HAIRCARE,COLOURANTS,99999,2.0,2.0,,INSUFFICIENT_EVIDENCE,0.0,,UNREPAIRABLE_STOCK_CONSTRAINT|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY,0
772|10434|2026-04-09|2026-04-22|772-10434-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,policy-measurement-envfix-recent5k-20260522,772,10434,Allocation Report - WK41&42 SKINCARE GOODY BAG,HAIRCARE,COLOURANTS,99999,1.0,1.0,,INSUFFICIENT_EVIDENCE,0.0,,UNREPAIRABLE_STOCK_CONSTRAINT|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY,0
772|105822|2026-04-09|2026-04-22|772-105822-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,policy-measurement-envfix-recent5k-20260522,772,105822,Allocation Report - WK41&42 SKINCARE GOODY BAG,VITAMIN SUPPLEMENT,IMMUNE HEALTH SUPP,99999,1.0,1.0,,INSUFFICIENT_EVIDENCE,0.0,,UNREPAIRABLE_STOCK_CONSTRAINT|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY,0
772|107947|2026-04-09|2026-04-22|772-107947-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,policy-measurement-envfix-recent5k-20260522,772,107947,Allocation Report - WK41&42 SKINCARE GOODY BAG,COLOUR COSMETICS,SALLY HANSEN,0,0.0,0.0,,INSUFFICIENT_EVIDENCE,0.0,,UNREPAIRABLE_STOCK_CONSTRAINT|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY,0
772|11008|2026-04-09|2026-04-22|772-11008-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,policy-measurement-envfix-recent5k-20260522,772,11008,Allocation Report - WK41&42 SKINCARE GOODY BAG,SKINCARE,THERAPEUTIC,0,0.0,0.0,,INSUFFICIENT_EVIDENCE,0.0,,UNREPAIRABLE_STOCK_CONSTRAINT|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY,0
