department,target_quality_label,row_count,slice_row_count,share_within_slice
ACHE PAIN SUPPORT,CLEAN_REALIZED_DEMAND,9,20,0.45
ACHE PAIN SUPPORT,INSUFFICIENT_EVIDENCE,11,20,0.55
ALLERGY,CLEAN_REALIZED_DEMAND,43,52,0.826923
ALLERGY,INSUFFICIENT_EVIDENCE,9,52,0.173077
ANALGESICS,CLEAN_REALIZED_DEMAND,3,32,0.09375
ANALGESICS,INSUFFICIENT_EVIDENCE,29,32,0.90625
ANTI FUNGAL VIRAL,INSUFFICIENT_EVIDENCE,3,3,1.0
BABY CARE,CLEAN_REALIZED_DEMAND,22,32,0.6875
BABY CARE,INSUFFICIENT_EVIDENCE,10,32,0.3125
BATH TOILETRIES,CLEAN_REALIZED_DEMAND,27,99,0.272727
BATH TOILETRIES,INSUFFICIENT_EVIDENCE,71,99,0.717172
BATH TOILETRIES,INVENTORY_INTEGRITY_CONTAMINATED,1,99,0.010101
BEAUTY ACCESSORIES,CLEAN_REALIZED_DEMAND,172,540,0.318519
BEAUTY ACCESSORIES,INSUFFICIENT_EVIDENCE,366,540,0.677778
BEAUTY ACCESSORIES,INVENTORY_INTEGRITY_CONTAMINATED,2,540,0.003704
BEAUTY ELECTRICAL,CLEAN_REALIZED_DEMAND,1,11,0.090909
BEAUTY ELECTRICAL,INSUFFICIENT_EVIDENCE,10,11,0.909091
COLOUR COSMETICS,CLEAN_REALIZED_DEMAND,1790,4885,0.366428
COLOUR COSMETICS,INSUFFICIENT_EVIDENCE,3068,4885,0.628045
COLOUR COSMETICS,INVENTORY_INTEGRITY_CONTAMINATED,27,4885,0.005527
COUGH COLD,CLEAN_REALIZED_DEMAND,12,42,0.285714
COUGH COLD,INSUFFICIENT_EVIDENCE,30,42,0.714286
DEODORANTS,INSUFFICIENT_EVIDENCE,30,30,1.0
DIGESTIVE CARE,CLEAN_REALIZED_DEMAND,9,61,0.147541
DIGESTIVE CARE,INSUFFICIENT_EVIDENCE,51,61,0.836066
DIGESTIVE CARE,INVENTORY_INTEGRITY_CONTAMINATED,1,61,0.016393
DISEASE STATE MGMT,CLEAN_REALIZED_DEMAND,1,1,1.0
EYES EARS,CLEAN_REALIZED_DEMAND,53,80,0.6625
EYES EARS,INSUFFICIENT_EVIDENCE,27,80,0.3375
FAMILY PLANNING,CLEAN_REALIZED_DEMAND,2,8,0.25
FAMILY PLANNING,INSUFFICIENT_EVIDENCE,6,8,0.75
FEMININE CARE,CLEAN_REALIZED_DEMAND,14,40,0.35
FEMININE CARE,INSUFFICIENT_EVIDENCE,26,40,0.65
