dimension,value,row_count,repaired_share,shadow_gt_stock_basis_share,shadow_mae,shadow_p95
category,WOUNDCARE,14,1.0,1.0,8.459350226799737,21.34051724513689
department,FIRSTAID WOUNDCARE,22,0.9545454545454546,0.9545454545454546,6.791861332531835,19.27274070517062
department,SUNCARE,45,0.9111111111111111,0.8888888888888888,8.281936393860404,12.182460171046017
category,SUN PROTECTION,42,0.9047619047619048,0.8809523809523809,8.2858263527867,12.205882664210105
category,HAIR STYLING,23,0.9130434782608695,0.8695652173913043,4.989574219162283,7.756352539811665
category,NATIO,54,0.8518518518518519,0.8333333333333334,8.108591621632863,15.165069407917288
promo_type,newlines,162,0.8209876543209876,0.8209876543209876,7.998508076876167,18.389765331536374
category,DRY SHAMPOO,22,0.7727272727272727,0.8181818181818182,7.253754667418417,14.618430584652247
category,TREATMENT,56,0.8035714285714286,0.8035714285714286,9.904080473410618,26.888042462583645
department,DIGESTIVE CARE,10,0.8,0.8,7.0561392677723775,10.3127179050386
department,HAIRCARE,280,0.7964285714285714,0.7714285714285715,7.429689960409213,16.255020554217126
category,SHAMPOO CONDITIONE,92,0.8043478260869565,0.75,6.432264873214876,13.974253471594308
category,COSMECEUTICAL,55,0.8727272727272727,0.7454545454545455,7.711477437667967,18.837701681235156
category,COLOURANTS,86,0.7558139534883721,0.7325581395348837,7.64292546114123,14.90459089227355
category,NYX,111,0.7657657657657657,0.7027027027027027,7.39731680300664,19.85177199018976
category,DAILY WELLBEING SU,10,0.9,0.7,6.314153062015492,14.74088832896875
department,BATH TOILETRIES,23,0.782608695652174,0.6956521739130435,7.53926240904916,13.709231488812021
category,PERSONAL WASH,23,0.782608695652174,0.6956521739130435,7.53926240904916,13.709231488812021
category,AUSTRALIS,36,0.6944444444444444,0.6944444444444444,7.050660878493636,21.531010909089552
category,MAKEUP REVOLUTION,29,0.6896551724137931,0.6896551724137931,4.931903676382833,11.623252349942986
category,BATH ACCESSORIES,12,0.8333333333333334,0.6666666666666666,6.0242454532585334,10.949618795392908
category,NATURAL,64,0.640625,0.640625,6.070407494722074,13.039779028284645
department,FEMININE CARE,11,0.9090909090909091,0.6363636363636364,7.838714686795055,17.580125669959497
category,FEMININE HYGIENE,11,0.9090909090909091,0.6363636363636364,7.838714686795055,17.580125669959497
category,RIMMEL,49,0.6122448979591837,0.6326530612244898,5.204183183194843,10.443625108672538
department,ORAL HEALTH,46,0.7608695652173914,0.6304347826086957,5.179996543804771,13.572582151143349
category,ELF,44,0.6136363636363636,0.6136363636363636,5.9199881129472605,14.140198248626783
category,TOOTHPASTE,23,0.782608695652174,0.6086956521739131,5.0300572649519975,12.467182929949164
promo_type,online promotion,358,0.659217877094972,0.5977653631284916,6.464023229699873,15.27760268935937
category,BEAUTY TOOLS,74,0.7567567567567568,0.5945945945945946,6.314468042357938,13.914014627407877
promo_type,normal catalogue,1074,0.6759776536312849,0.5875232774674115,6.187076940354913,14.745768618902467
category,MANICURE PEDICURE,29,0.7241379310344828,0.5862068965517241,9.548850552686835,30.43821478866936
department,ACHE PAIN SUPPORT,12,0.5833333333333334,0.5833333333333334,4.319081636611695,11.168592938638628
department,SKINCARE,339,0.7079646017699115,0.5781710914454278,6.217101229010719,15.323864933547542
category,EVERYDAY SKIN,82,0.6707317073170732,0.573170731707317,6.829755223310097,14.464904366723825
category,THERAPEUTIC,56,0.7142857142857143,0.5714285714285714,4.906152809758434,12.862366826144402
category,SALLY HANSEN,30,0.6,0.5666666666666667,4.47535739119425,10.443625108672538
category,TANNING SKIN,39,0.6410256410256411,0.5641025641025641,5.83008881942876,10.332800125038402
department,VITAMIN SUPPLEMENT,87,0.6551724137931034,0.5632183908045977,5.619836434808021,15.616267735082191
department,COLOUR COSMETICS,784,0.6096938775510204,0.5573979591836735,5.010949111454252,12.996400136054412
