field_name,present_in_training_parquet,unrepairable_rows_missing_or_zero,unrepairable_rows_field_blocks_repair_pct
stock_basis_units,False,7230,1.0
observed_zero_soh_event_flag,False,7230,1.0
baseline_expected_units,False,7230,1.0
required_implied_units,False,7230,1.0
demand_reference_units,False,7230,1.0
stock_constrained_sales_evidence_flag,False,7230,1.0
actual_stockout_flag,False,7230,1.0
post_14d_units,True,4836,0.66888
current_soh,True,0,0.0
total_stock_available,True,0,0.0
total_units_commited,True,0,0.0
pl_allocation_qty,True,0,0.0
store_adjusted_qty,True,0,0.0
target_underallocation_flag,True,0,0.0
target_sell_through_pct,True,0,0.0
target_stockout_flag,True,0,0.0
live_promo_window_days,True,0,0.0
actual_days_with_sales_promo,True,0,0.0
promo_sales_day_count,True,0,0.0
post_14d_days_with_sales,True,0,0.0
qty_on_order,True,0,0.0
