promotion_row_key,target_actual_units_sold,sufficient_stock_demand_units_target,target_repair_basis,target_quality_label,target_weight,demand_reference_units,baseline_expected_units,required_implied_units,stock_basis_units
772|10045|2026-04-09|2026-04-22|772-10045-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,6.0,6.0,REPAIR_SATURATED_SELLTHROUGH,STOCK_CONSTRAINED_REPAIRED,0.4,14.0,14.0,0.9996,1.0
772|101948|2026-04-09|2026-04-22|772-101948-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,0.0,11.9,REPAIR_UNDERALLOCATION,STOCK_CONSTRAINED_REPAIRED,0.35,14.0,14.0,2.0006,2.0
772|102054|2026-04-09|2026-04-22|772-102054-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,0.0,11.9,REPAIR_UNDERALLOCATION,STOCK_CONSTRAINED_REPAIRED,0.35,14.0,14.0,14.0,3.0
772|10431|2026-04-09|2026-04-22|772-10431-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,2.0,2.0,REPAIR_SATURATED_SELLTHROUGH,STOCK_CONSTRAINED_REPAIRED,0.4,0.0,0.0,0.0,2.0
772|10432|2026-04-09|2026-04-22|772-10432-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,1.0,11.9,REPAIR_UNDERALLOCATION,STOCK_CONSTRAINED_REPAIRED,0.35,14.0,14.0,14.0,2.0
772|10433|2026-04-09|2026-04-22|772-10433-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,2.0,11.9,REPAIR_UNDERALLOCATION,STOCK_CONSTRAINED_REPAIRED,0.35,14.0,14.0,14.0,6.0
772|10434|2026-04-09|2026-04-22|772-10434-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,1.0,11.9,REPAIR_UNDERALLOCATION,STOCK_CONSTRAINED_REPAIRED,0.35,14.0,14.0,14.0,6.0
772|105822|2026-04-09|2026-04-22|772-105822-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,1.0,11.9,REPAIR_UNDERALLOCATION,STOCK_CONSTRAINED_REPAIRED,0.35,14.0,14.0,14.0,2.0
772|107947|2026-04-09|2026-04-22|772-107947-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,0.0,11.9,REPAIR_UNDERALLOCATION,STOCK_CONSTRAINED_REPAIRED,0.35,14.0,14.0,14.0,4.0
772|11008|2026-04-09|2026-04-22|772-11008-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,0.0,11.9,REPAIR_UNDERALLOCATION,STOCK_CONSTRAINED_REPAIRED,0.35,14.0,14.0,14.0,3.0
