runtime_folder,output_file,promotion_date,promotion_name,future_or_completed,store_facing_yes_no,useful_fields,problems,recommended_destination
/Users/paulmorison/promotions_runtime_governed/promotions/priceline/772/prediction,2026-05-20/772_2026-05-20_all-predictions.csv,2026-05-20,,completed,no,audit/diagnostic,,completed/performance_review_pack
/Users/paulmorison/promotions_runtime_governed/promotions/priceline/772/prediction,2026-05-21/772_2026-05-21_allocation-report-wk47-48-winter-part-1.csv,2026-05-21,,completed,yes,"soh,demand,gap,order",,completed/performance_review_pack
/Users/paulmorison/promotions_runtime_governed/promotions/priceline/772/prediction,2026-05-21/772_2026-05-21_allocation-report-wk47-48-winter-part-1_artificial-collapse-rows.csv,2026-05-21,,completed,yes,"soh,demand,gap,order",,completed/performance_review_pack
/Users/paulmorison/promotions_runtime_governed/promotions/priceline/772/prediction,2026-05-21/772_2026-05-21_allocation-report-wk47-48-winter-part-1_cold-start-new-line-rows.csv,2026-05-21,,completed,yes,"soh,demand,gap,order",,completed/performance_review_pack
/Users/paulmorison/promotions_runtime_governed/promotions/priceline/772/prediction,2026-05-21/772_2026-05-21_allocation-report-wk47-48-winter-part-1_diagnostics.json,2026-05-21,,completed,yes,"soh,demand,gap,order",,completed/performance_review_pack
/Users/paulmorison/promotions_runtime_governed/promotions/priceline/772/prediction,2026-05-21/772_2026-05-21_allocation-report-wk47-48-winter-part-1_feature-inspection.csv,2026-05-21,,completed,yes,"soh,demand,gap,order",too technical for store primary workflow,completed/performance_review_pack
/Users/paulmorison/promotions_runtime_governed/promotions/priceline/772/prediction,2026-05-21/772_2026-05-21_allocation-report-wk47-48-winter-part-1_manager-summary.csv,2026-05-21,,completed,yes,"soh,demand,gap,order",,completed/performance_review_pack
/Users/paulmorison/promotions_runtime_governed/promotions/priceline/772/prediction,2026-05-21/772_2026-05-21_allocation-report-wk47-48-winter-part-1_operator-audit.csv,2026-05-21,,completed,yes,"soh,demand,gap,order",,completed/performance_review_pack
/Users/paulmorison/promotions_runtime_governed/promotions/priceline/772/prediction,2026-05-21/772_2026-05-21_allocation-report-wk47-48-winter-part-1_pos-order-upload.csv,2026-05-21,,completed,yes,"soh,demand,gap,order",,completed/performance_review_pack
/Users/paulmorison/promotions_runtime_governed/promotions/priceline/772/prediction,2026-05-21/772_2026-05-21_allocation-report-wk47-48-winter-part-1_prediction-manifest.json,2026-05-21,,completed,yes,"soh,demand,gap,order",,completed/performance_review_pack
/Users/paulmorison/promotions_runtime_governed/promotions/priceline/772/prediction,2026-05-21/772_2026-05-21_allocation-report-wk47-48-winter-part-1_promotion-summary.csv,2026-05-21,,completed,yes,"soh,demand,gap,order",,completed/performance_review_pack
/Users/paulmorison/promotions_runtime_governed/promotions/priceline/772/prediction,2026-05-21/772_2026-05-21_allocation-report-wk47-48-winter-part-1_publish-exclusion-reasons.csv,2026-05-21,,completed,yes,"soh,demand,gap,order",,completed/performance_review_pack
/Users/paulmorison/promotions_runtime_governed/promotions/priceline/772/prediction,2026-05-21/772_2026-05-21_allocation-report-wk47-48-winter-part-1_reconciliation.csv,2026-05-21,,completed,yes,"soh,demand,gap,order",,completed/performance_review_pack
/Users/paulmorison/promotions_runtime_governed/promotions/priceline/772/prediction,2026-05-21/772_2026-05-21_allocation-report-wk47-48-winter-part-1_rows-by-demand-evidence-class.csv,2026-05-21,,completed,yes,"soh,demand,gap,order",,completed/performance_review_pack
/Users/paulmorison/promotions_runtime_governed/promotions/priceline/772/prediction,2026-05-21/772_2026-05-21_allocation-report-wk47-48-winter-part-1_store-prediction-review.csv,2026-05-21,,completed,yes,"soh,demand,gap,order",,completed/performance_review_pack
