sku_number,sku_description,decision,decision_quality_label,confidence_score,data_quality_score,demand_evidence_strength,promo_period_demand_source,promo_units_expected_to_sell,recommended_order_units,commercial_coverage_ratio,remaining_promo_sales_stock_gap,remaining_end_stock_gap,execution_ready_flag,execution_blocker,proposed_action_tier
15847,Npmu Lg Butter Ginger Snap,BUY,REVIEW_LOW_CONFIDENCE,50,94.0,MODERATE,same_discount_history,1.765,2,0.2,0,8,NO,,tier_1_execute
69352,Plunk Superfade D/P Moistr,BUY,REVIEW_LOW_CONFIDENCE,63,94.0,MODERATE,same_discount_history,1.0,2,0.4,0,3,NO,,tier_1_execute
67693,Rim Wndr'Full Brow Gel Clr,BUY,REVIEW_LOW_CONFIDENCE,63,94.0,MODERATE,same_discount_history,1.0,2,0.4,0,3,NO,,tier_1_execute
15841,Npmu Lg Butter Angel Food Cke,BUY,REVIEW_LOW_CONFIDENCE,62,94.0,MODERATE,same_discount_history,0.824,2,0.4,0,3,NO,,tier_1_execute
483621,Antip Hos C/Plump W/Ser 30Ml,BUY,REVIEW_LOW_CONFIDENCE,50,94.0,MODERATE,same_discount_history,0.652,2,0.5,0,2,NO,,tier_1_execute
193457,Embryolisse Lcreme Fluid 75Ml,BUY,REVIEW_LOW_CONFIDENCE,59,84.0,MODERATE,same_discount_history,0.25,2,1.0,0,0,NO,,tier_1_execute
193286,Rim Lastfin 35Hr Fndn True Iv,BUY,REVIEW_LOW_CONFIDENCE,62,84.0,MODERATE,same_discount_history,0.214,2,1.0,0,0,NO,,tier_1_execute
194821,Dv Hair+Scalp Ex Hyd Cond500Ml,BUY,REVIEW_LOW_CONFIDENCE,54,84.0,MODERATE,same_discount_history,0.2,2,1.0,0,0,NO,,tier_1_execute
192046,Lrp Cicaplast Baume B5+ 100Ml,REVIEW,REVIEW_STOCK_GAP,41,84.0,MODERATE,same_discount_history,73.0,0,0.0,66,2,NO,,tier_3_review_evidence_gap
192083,Cerave Renew Peptide Crm 48G,REVIEW,REVIEW_STOCK_GAP,35,94.0,MODERATE,same_discount_history,35.0,0,0.0,32,150,NO,,tier_3_review_evidence_gap
92632,Avene Cica+ Mlt P&R Crm Spf50+,REVIEW,REVIEW_STOCK_GAP,58,62.0,CONFLICTING,baseline_period_demand,30.0,26,0.168,0,129,NO,,tier_3_review_evidence_gap
188712,Cerave Moist Cream 340G,REVIEW,REVIEW_STOCK_GAP,48,100.0,MODERATE,same_discount_history,30.0,30,0.189,0,129,NO,,tier_3_review_evidence_gap
188711,Cerave Moist Cream 177Ml,REVIEW,REVIEW_STOCK_GAP,49,100.0,MODERATE,same_discount_history,27.0,27,0.189,0,116,NO,,tier_3_review_evidence_gap
188710,Cerave Moist Lotion 473Ml,REVIEW,REVIEW_STOCK_GAP,43,94.0,MODERATE,same_discount_history,27.0,0,0.0,24,116,NO,,tier_3_review_evidence_gap
