priority_rank,store_number,promotion_name,promotion_start_date,promotion_end_date,promotion_days,prediction_date,days_until_promotion_start,sku_number,sku_description,decision,order_strategy,recommended_order_basis,model_promo_forecast_units,same_discount_promo_units,baseline_period_demand_units,selected_promo_period_demand_units,promo_units_expected_to_sell,demand_evidence_strength,demand_conflict_flag,demand_selection_reason,best_seller_floor_applied_flag,best_seller_escalation_flag,stock_needed_for_promo_sales,stock_needed_to_finish_with_target_cover,order_needed_to_cover_promo_sales,order_needed_to_reach_full_stock_target,full_target_order_units,recommended_promo_cover_order_units,recommended_base_stock_order_units,commercial_recommended_order_units,recommended_order_units,remaining_promo_sales_stock_gap,remaining_end_stock_gap,remaining_shortfall_after_commercial_recommendation_units,remaining_day_one_shortfall_units,commercial_coverage_ratio,recommendation_coverage_ratio,raw_model_order_units,operator_review_order_low_units,operator_review_order_high_units,target_day_one_soh_units,projected_day_one_soh_before_order_units,projected_day_one_soh_after_recommended_order_units,current_soh_units,on_order_units,estimated_demand_before_promo_start_units,target_stock_on_hand_at_promo_end_units,total_expected_demand_to_promo_end_units,projected_stock_on_hand_at_promo_end_units,discount_percent,avg_promo_demand_same_discount_units,expected_gp_dollars,capital_at_risk_dollars,confidence_score,confidence_label,data_quality_score,data_quality_label,decision_quality_label,action_tier,execution_ready_flag,execution_blocker,review_subtype,commercial_value_score,commercial_value_label,operator_priority_group,stock_target_conflict_flag,reason_demand,reason_stock,reason_order,reason_risk,reason_rejection_or_hold,human_review_required,review_reason,model_status,production_ordering_approved,customer_report_release_approved,operator_decision,operator_recommended_units,operator_notes
2261,772,SE01 skincare sales event,2026-07-23,2026-07-29,7,2026-07-22,1,196833,Blistex Jojoba Rescue 3.7G,DO_NOT_BUY,DO_NOT_BUY,none,0.0,0.5,0.5,0.5,0.5,MODERATE,NO,flat_model_placeholder_rejected,NO,NO,0.5,2.143,0,1,1,0,0,0,0,0,1,1,1,0.0,0.0,0,0,1,2.643,1.929,1.929,2,0,0.071,2.143,0.571,1.429,40.1,0.5,0.0,3.02,43,LOW,100.0,VERY_HIGH,DO_NOT_BUY_LOW_EVIDENCE,tier_5_do_not_buy,NO,,none,10.5,VERY_LOW,rejected_poor_seller,0,Promo demand selected by evidence weighting: flat_model_placeholder_rejected; Pre-promo demand = baseline daily rate x days until start,Projected day-one SOH before order 1.9; promo cover required 0.5 units; base-stock required 2.1 units; stock covers expected promo sales before order,Promo cover order gap 0 units; base-stock replenishment gap 1 units; raw model 0; commercial recommended promo 0 + base 0 = 0. Recommendation covers promo sales first; end-stock replenishment remains for review.,Shadow commercial pack; promo cover prioritised over base stock,Low promo demand and/or poor evidence; no commercial order need,NO,promo_period_demand_fallback,SHADOW_NOT_PRODUCTION,NO,NO,,,
2268,772,SE01 skincare sales event,2026-07-23,2026-07-29,7,2026-07-22,1,61288,Aveeno Rosewater Cam Sp 354Ml,DO_NOT_BUY,DO_NOT_BUY,none,0.0,0.5,0.5,0.5,0.5,MODERATE,NO,flat_model_placeholder_rejected,NO,NO,0.5,2.143,0,2,2,0,0,0,0,0,2,2,2,0.0,0.0,0,0,2,2.643,0.929,0.929,1,0,0.071,2.143,0.571,0.429,40.0,0.5,0.0,9.95,38,LOW,100.0,VERY_HIGH,DO_NOT_BUY_LOW_EVIDENCE,tier_5_do_not_buy,NO,,none,10.5,VERY_LOW,rejected_poor_seller,0,Promo demand selected by evidence weighting: flat_model_placeholder_rejected; Pre-promo demand = baseline daily rate x days until start,Projected day-one SOH before order 0.9; promo cover required 0.5 units; base-stock required 2.1 units; stock covers expected promo sales before order,Promo cover order gap 0 units; base-stock replenishment gap 2 units; raw model 0; commercial recommended promo 0 + base 0 = 0. Recommendation covers promo sales first; end-stock replenishment remains for review.,Shadow commercial pack; promo cover prioritised over base stock,Low promo demand and/or poor evidence; no commercial order need,NO,promo_period_demand_fallback,SHADOW_NOT_PRODUCTION,NO,NO,,,
2263,772,SE01 skincare sales event,2026-07-23,2026-07-29,7,2026-07-22,1,189899,E/Care Keratin Str Spray 400G,DO_NOT_BUY,DO_NOT_BUY,none,0.0,0.5,0.5,0.5,0.5,MODERATE,NO,flat_model_placeholder_rejected,NO,NO,0.5,2.143,0,1,1,0,0,0,0,0,1,1,1,0.0,0.0,0,0,1,2.643,1.929,1.929,2,0,0.071,2.143,0.571,1.429,7.1,0.5,0.0,11.05,41,LOW,100.0,VERY_HIGH,DO_NOT_BUY_LOW_EVIDENCE,tier_5_do_not_buy,NO,,none,10.4,VERY_LOW,rejected_poor_seller,0,Promo demand selected by evidence weighting: flat_model_placeholder_rejected; Pre-promo demand = baseline daily rate x days until start,Projected day-one SOH before order 1.9; promo cover required 0.5 units; base-stock required 2.1 units; stock covers expected promo sales before order,Promo cover order gap 0 units; base-stock replenishment gap 1 units; raw model 0; commercial recommended promo 0 + base 0 = 0. Recommendation covers promo sales first; end-stock replenishment remains for review.,Shadow commercial pack; promo cover prioritised over base stock,Low promo demand and/or poor evidence; no commercial order need,NO,promo_period_demand_fallback,SHADOW_NOT_PRODUCTION,NO,NO,,,
2264,772,SE01 skincare sales event,2026-07-23,2026-07-29,7,2026-07-22,1,93913,Fraim Mixd Text Scrunchies 7Pk,DO_NOT_BUY,DO_NOT_BUY,none,0.0,0.5,0.5,0.5,0.5,MODERATE,NO,flat_model_placeholder_rejected,NO,NO,0.5,2.143,0,1,1,0,0,0,0,0,1,1,1,0.0,0.0,0,0,1,2.643,1.929,1.929,2,0,0.071,2.143,0.571,1.429,20.0,0.5,0.01,5.09,41,LOW,100.0,VERY_HIGH,DO_NOT_BUY_LOW_EVIDENCE,tier_5_do_not_buy,NO,,none,10.4,VERY_LOW,rejected_poor_seller,0,Promo demand selected by evidence weighting: flat_model_placeholder_rejected; Pre-promo demand = baseline daily rate x days until start,Projected day-one SOH before order 1.9; promo cover required 0.5 units; base-stock required 2.1 units; stock covers expected promo sales before order,Promo cover order gap 0 units; base-stock replenishment gap 1 units; raw model 0; commercial recommended promo 0 + base 0 = 0. Recommendation covers promo sales first; end-stock replenishment remains for review.,Shadow commercial pack; promo cover prioritised over base stock,Low promo demand and/or poor evidence; no commercial order need,NO,promo_period_demand_fallback,SHADOW_NOT_PRODUCTION,NO,NO,,,
2267,772,SE01 skincare sales event,2026-07-23,2026-07-29,7,2026-07-22,1,271551,Nivea D/E Refr Wsh Gel 150Ml,DO_NOT_BUY,DO_NOT_BUY,none,0.0,0.5,0.5,0.5,0.5,MODERATE,NO,flat_model_placeholder_rejected,NO,NO,0.5,2.143,0,1,1,0,0,0,0,0,1,1,1,0.0,0.0,0,0,1,2.643,1.929,1.929,2,0,0.071,2.143,0.571,1.429,50.0,0.5,0.01,6.24,39,LOW,100.0,VERY_HIGH,DO_NOT_BUY_LOW_EVIDENCE,tier_5_do_not_buy,NO,,none,10.3,VERY_LOW,rejected_poor_seller,0,Promo demand selected by evidence weighting: flat_model_placeholder_rejected; Pre-promo demand = baseline daily rate x days until start,Projected day-one SOH before order 1.9; promo cover required 0.5 units; base-stock required 2.1 units; stock covers expected promo sales before order,Promo cover order gap 0 units; base-stock replenishment gap 1 units; raw model 0; commercial recommended promo 0 + base 0 = 0. Recommendation covers promo sales first; end-stock replenishment remains for review.,Shadow commercial pack; promo cover prioritised over base stock,Low promo demand and/or poor evidence; no commercial order need,NO,promo_period_demand_fallback,SHADOW_NOT_PRODUCTION,NO,NO,,,
2273,772,SE01 skincare sales event,2026-07-23,2026-07-29,7,2026-07-22,1,43531,Dermaveen Oatmeal Spoo 500Ml,DO_NOT_BUY,DO_NOT_BUY,none,0.0,0.5,0.5,0.5,0.5,MODERATE,NO,flat_model_placeholder_rejected,NO,NO,0.5,2.143,0,2,2,0,0,0,0,0,2,2,2,0.0,0.0,0,0,2,2.643,0.929,0.929,1,0,0.071,2.143,0.571,0.429,40.0,0.5,0.01,13.67,31,LOW,100.0,VERY_HIGH,DO_NOT_BUY_LOW_EVIDENCE,tier_5_do_not_buy,NO,,none,10.2,VERY_LOW,rejected_poor_seller,0,Promo demand selected by evidence weighting: flat_model_placeholder_rejected; Pre-promo demand = baseline daily rate x days until start,Projected day-one SOH before order 0.9; promo cover required 0.5 units; base-stock required 2.1 units; stock covers expected promo sales before order,Promo cover order gap 0 units; base-stock replenishment gap 2 units; raw model 0; commercial recommended promo 0 + base 0 = 0. Recommendation covers promo sales first; end-stock replenishment remains for review.,Shadow commercial pack; promo cover prioritised over base stock,Low promo demand and/or poor evidence; no commercial order need,NO,promo_period_demand_fallback,SHADOW_NOT_PRODUCTION,NO,NO,,,
2271,772,SE01 skincare sales event,2026-07-23,2026-07-29,7,2026-07-22,1,43529,Dermaveen Oatmeal Cond 250Ml,DO_NOT_BUY,DO_NOT_BUY,none,0.0,0.5,0.5,0.5,0.5,MODERATE,NO,flat_model_placeholder_rejected,NO,NO,0.5,2.143,0,2,2,0,0,0,0,0,2,2,2,0.0,0.0,0,0,2,2.643,0.929,0.929,1,0,0.071,2.143,0.571,0.429,40.0,0.5,0.0,9.07,32,LOW,100.0,VERY_HIGH,DO_NOT_BUY_LOW_EVIDENCE,tier_5_do_not_buy,NO,,none,10.2,VERY_LOW,rejected_poor_seller,0,Promo demand selected by evidence weighting: flat_model_placeholder_rejected; Pre-promo demand = baseline daily rate x days until start,Projected day-one SOH before order 0.9; promo cover required 0.5 units; base-stock required 2.1 units; stock covers expected promo sales before order,Promo cover order gap 0 units; base-stock replenishment gap 2 units; raw model 0; commercial recommended promo 0 + base 0 = 0. Recommendation covers promo sales first; end-stock replenishment remains for review.,Shadow commercial pack; promo cover prioritised over base stock,Low promo demand and/or poor evidence; no commercial order need,NO,promo_period_demand_fallback,SHADOW_NOT_PRODUCTION,NO,NO,,,
2272,772,SE01 skincare sales event,2026-07-23,2026-07-29,7,2026-07-22,1,43916,Clairol Rtu Spray Medium Brown,DO_NOT_BUY,DO_NOT_BUY,none,0.0,0.5,0.5,0.5,0.5,MODERATE,NO,flat_model_placeholder_rejected,NO,NO,0.5,2.143,0,2,2,0,0,0,0,0,2,2,2,0.0,0.0,0,0,2,2.643,0.929,0.929,1,0,0.071,2.143,0.571,0.429,40.0,0.5,0.0,8.1,32,LOW,100.0,VERY_HIGH,DO_NOT_BUY_LOW_EVIDENCE,tier_5_do_not_buy,NO,,none,10.2,VERY_LOW,rejected_poor_seller,0,Promo demand selected by evidence weighting: flat_model_placeholder_rejected; Pre-promo demand = baseline daily rate x days until start,Projected day-one SOH before order 0.9; promo cover required 0.5 units; base-stock required 2.1 units; stock covers expected promo sales before order,Promo cover order gap 0 units; base-stock replenishment gap 2 units; raw model 0; commercial recommended promo 0 + base 0 = 0. Recommendation covers promo sales first; end-stock replenishment remains for review.,Shadow commercial pack; promo cover prioritised over base stock,Low promo demand and/or poor evidence; no commercial order need,NO,promo_period_demand_fallback,SHADOW_NOT_PRODUCTION,NO,NO,,,
2281,772,SE01 skincare sales event,2026-07-23,2026-07-29,7,2026-07-22,1,190147,Essano Growth Treatment 50Ml,DO_NOT_BUY,DO_NOT_BUY,none,0.0,0.5,0.5,0.5,0.5,MODERATE,NO,flat_model_placeholder_rejected,NO,NO,0.5,2.143,0,2,2,0,0,0,0,0,2,2,2,0.0,0.0,0,0,2,2.643,0.929,0.929,1,0,0.071,2.143,0.571,0.429,50.0,0.5,0.01,15.05,27,VERY_LOW,100.0,VERY_HIGH,DO_NOT_BUY_LOW_EVIDENCE,tier_5_do_not_buy,NO,,none,10.0,VERY_LOW,rejected_poor_seller,0,Promo demand selected by evidence weighting: flat_model_placeholder_rejected; Pre-promo demand = baseline daily rate x days until start,Projected day-one SOH before order 0.9; promo cover required 0.5 units; base-stock required 2.1 units; stock covers expected promo sales before order,Promo cover order gap 0 units; base-stock replenishment gap 2 units; raw model 0; commercial recommended promo 0 + base 0 = 0. Recommendation covers promo sales first; end-stock replenishment remains for review.,Shadow commercial pack; promo cover prioritised over base stock,Low promo demand and/or poor evidence; no commercial order need,NO,promo_period_demand_fallback,SHADOW_NOT_PRODUCTION,NO,NO,,,
2278,772,SE01 skincare sales event,2026-07-23,2026-07-29,7,2026-07-22,1,196358,Excel Creme Nude 6U Uni Dblnde,DO_NOT_BUY,DO_NOT_BUY,none,0.0,0.5,0.5,0.5,0.5,MODERATE,NO,flat_model_placeholder_rejected,NO,NO,0.5,2.143,0,2,2,0,0,0,0,0,2,2,2,0.0,0.0,0,0,2,2.643,0.929,0.929,1,0,0.071,2.143,0.571,0.429,40.0,0.5,0.0,18.67,28,VERY_LOW,100.0,VERY_HIGH,DO_NOT_BUY_LOW_EVIDENCE,tier_5_do_not_buy,NO,,none,10.0,VERY_LOW,rejected_poor_seller,0,Promo demand selected by evidence weighting: flat_model_placeholder_rejected; Pre-promo demand = baseline daily rate x days until start,Projected day-one SOH before order 0.9; promo cover required 0.5 units; base-stock required 2.1 units; stock covers expected promo sales before order,Promo cover order gap 0 units; base-stock replenishment gap 2 units; raw model 0; commercial recommended promo 0 + base 0 = 0. Recommendation covers promo sales first; end-stock replenishment remains for review.,Shadow commercial pack; promo cover prioritised over base stock,Low promo demand and/or poor evidence; no commercial order need,NO,promo_period_demand_fallback,SHADOW_NOT_PRODUCTION,NO,NO,,,
