sku_number,sku_description,promo_units_expected_to_sell,promo_period_demand_source,promo_period_demand_fallback_flag,promo_demand_unsafe_flag,promo_demand_model_source,model_promo_forecast_units,same_discount_promo_units,baseline_period_demand_units,unsafe_or_fallback_reason,available_alternative_sources,recommended_remediation
96257,Lrp Anth Uvm Fld Spf50 50Ml,0.0,missing_promo_period_demand,YES,YES,"flat_placeholder:expected_units_total_promo,projected_promotional_units,expected_units_per_period,expected_promo_demand",0.0,0.0,0.125,no_credible_promo_period_demand,none,phase_5c_upstream_model_or_history_repair
94980,Uj Golden Rule Body Gloss,0.0,missing_promo_period_demand,YES,YES,"flat_placeholder:expected_units_total_promo,projected_promotional_units,expected_units_per_period,expected_promo_demand",0.0,0.0,0.0,no_credible_promo_period_demand,none,phase_5c_upstream_model_or_history_repair
92924,Uj K/I Beauty Spots 30Pk,0.0,missing_promo_period_demand,YES,YES,"flat_placeholder:expected_units_total_promo,projected_promotional_units,expected_units_per_period,expected_promo_demand",0.0,0.0,0.0,no_credible_promo_period_demand,none,phase_5c_upstream_model_or_history_repair
199333,Coco & Eve Tanning Serum 30Ml,0.0,missing_promo_period_demand,YES,YES,"flat_placeholder:expected_units_total_promo,projected_promotional_units,expected_units_per_period,expected_promo_demand",0.0,0.0,0.0,no_credible_promo_period_demand,none,phase_5c_upstream_model_or_history_repair
417513,Plunk Hi-Pot A/V Moist 200Ml,0.0,missing_promo_period_demand,YES,YES,"flat_placeholder:expected_units_total_promo,projected_promotional_units,expected_units_per_period,expected_promo_demand",0.0,0.0,0.0,no_credible_promo_period_demand,none,phase_5c_upstream_model_or_history_repair
69284,Jojoba Age Defying Set,0.0,missing_promo_period_demand,YES,YES,"flat_placeholder:expected_units_total_promo,projected_promotional_units,expected_units_per_period,expected_promo_demand",0.0,0.0,0.0,no_credible_promo_period_demand,none,phase_5c_upstream_model_or_history_repair
188803,Jojoba Multi-Bio Cream 50Ml,0.0,missing_promo_period_demand,YES,YES,"flat_placeholder:expected_units_total_promo,projected_promotional_units,expected_units_per_period,expected_promo_demand",0.0,0.0,0.0,no_credible_promo_period_demand,none,phase_5c_upstream_model_or_history_repair
92928,Uj Face Cream 50G,0.0,missing_promo_period_demand,YES,YES,"flat_placeholder:expected_units_total_promo,projected_promotional_units,expected_units_per_period,expected_promo_demand",0.0,0.0,0.0,no_credible_promo_period_demand,none,phase_5c_upstream_model_or_history_repair
24404,Jojoba Hydrating Daycream 50Ml,0.0,missing_promo_period_demand,YES,YES,"flat_placeholder:expected_units_total_promo,projected_promotional_units,expected_units_per_period,expected_promo_demand",0.0,0.0,0.0,no_credible_promo_period_demand,none,phase_5c_upstream_model_or_history_repair
94250,Jojoba Boost Skin Renewal 30Ml,0.0,missing_promo_period_demand,YES,YES,"flat_placeholder:expected_units_total_promo,projected_promotional_units,expected_units_per_period,expected_promo_demand",0.0,0.0,0.0,no_credible_promo_period_demand,none,phase_5c_upstream_model_or_history_repair
92923,Uj Gel Cleanser 200Ml,0.0,missing_promo_period_demand,YES,YES,"flat_placeholder:expected_units_total_promo,projected_promotional_units,expected_units_per_period,expected_promo_demand",0.0,0.0,0.0,no_credible_promo_period_demand,none,phase_5c_upstream_model_or_history_repair
