source_file,column_name,inferred_meaning,commercial_value_score_0_5,store_facing_candidate_yes_no,audit_only_yes_no,rename_required_yes_no,proposed_clean_name,notes
main_allocation,priority_rank,SKU priority within promotion,5,yes,no,no,priority_rank,
main_allocation,priority_band,Priority tier label,2,no,no,no,priority_band,
main_allocation,sku_number,Product SKU identifier,5,yes,no,no,sku_number,
main_allocation,sku_description,Product description,5,yes,no,no,sku_description,
main_allocation,operator_decision,Human/operator decision label,2,no,no,no,operator_decision,
main_allocation,operator_action,Recommended store action BUY/HOLD/REVIEW,5,yes,no,no,operator_action,
main_allocation,order_units,Final recommended order quantity,5,yes,no,no,order_units,
main_allocation,reason_short,Compressed action reason,5,yes,no,no,reason_short,
main_allocation,risk_flag,technical/derived field,2,no,no,no,risk_flag,
main_allocation,review_flag,technical/derived field,5,yes,no,no,review_flag,
main_allocation,audit_notes,technical/derived field,2,no,no,no,audit_notes,
main_allocation,current_soh,Current stock on hand at advice time,5,yes,no,no,current_soh,
main_allocation,on_order_at_advice_time,Units already on order,5,yes,no,no,on_order_at_advice_time,
main_allocation,expected_units_before_promo_start,Demand from advice date to promo start,5,yes,no,no,expected_units_before_promo_start,
main_allocation,projected_SOH_at_promo_start,Projected SOH at promo start before order,2,no,no,yes,projected__s_o_h_at_promo_start,
main_allocation,target_SOH_at_promo_start,Target SOH at promo day one,5,yes,no,yes,target__s_o_h_at_promo_start,
main_allocation,floor_units_required,Minimum floor stock required,2,no,no,no,floor_units_required,
main_allocation,expected_promo_demand,Expected demand during promotion window,5,yes,no,no,expected_promo_demand,
main_allocation,available_to_sell_before_floor,technical/derived field,2,no,no,no,available_to_sell_before_floor,
main_allocation,projected_stock_gap_units,Gap to target stock position,5,yes,no,no,projected_stock_gap_units,
main_allocation,discount_percent,Promotion discount percentage,5,yes,no,no,discount_percent,
manager_summary,store_number,technical/derived field,3,no,no,no,store_number,
manager_summary,promotion_name,technical/derived field,3,no,no,no,promotion_name,
manager_summary,prediction_date,technical/derived field,3,no,no,no,prediction_date,
manager_summary,promotion_start_date,technical/derived field,3,no,no,no,promotion_start_date,
manager_summary,promotion_end_date,technical/derived field,3,no,no,no,promotion_end_date,
manager_summary,days_to_promo_start,technical/derived field,3,no,no,no,days_to_promo_start,
manager_summary,headline,technical/derived field,3,no,no,no,headline,
manager_summary,total_skus,technical/derived field,3,no,yes,no,total_skus,
manager_summary,buy_now_count,technical/derived field,3,no,no,no,buy_now_count,
manager_summary,review_count,technical/derived field,3,no,no,no,review_count,
manager_summary,watch_count,technical/derived field,3,no,no,no,watch_count,
manager_summary,hold_count,technical/derived field,3,no,no,no,hold_count,
