sku_number,estimated_demand_before_promo_start_units,predicted_promo_period_sales_units,recommended_order_units,decision
799718,2.0,1.0,13,BUY
96617,2.0,1.0,12,BUY
199053,2.0,1.0,12,BUY
91058,2.0,1.0,12,BUY
67690,2.0,1.0,12,BUY
389404,2.0,1.0,12,BUY
192936,2.0,1.0,12,BUY
88458,2.0,1.0,12,BUY
478354,1.821,1.0,12,BUY
192118,1.5,1.0,10,BUY
93993,1.5,1.0,10,BUY
90990,1.5,1.0,10,BUY
90432,1.5,1.0,10,BUY
90462,1.5,1.0,9,BUY
365033,1.411,1.0,8,BUY
94071,1.321,1.0,9,BUY
67700,1.321,1.0,9,BUY
193696,1.321,1.0,9,BUY
194014,1.321,1.0,8,BUY
96608,1.25,1.0,8,BUY
193213,1.196,1.0,8,BUY
189518,1.179,1.0,8,BUY
97057,1.143,1.0,7,BUY
68266,1.0,1.0,7,BUY
68268,1.0,1.0,7,BUY
192839,1.0,1.0,7,BUY
90794,1.0,1.0,7,BUY
62854,1.0,1.0,7,BUY
191180,1.0,1.0,7,BUY
1227,1.0,1.0,7,BUY
98024,1.0,1.0,7,BUY
199055,1.0,1.0,7,BUY
94766,1.0,1.0,7,BUY
195443,1.0,1.0,7,BUY
90458,1.0,1.0,7,BUY
94684,1.0,1.0,7,BUY
62911,1.0,1.0,7,BUY
57316,1.0,1.0,7,BUY
91912,1.0,1.0,7,BUY
24420,1.0,1.0,7,BUY
198714,1.0,1.0,7,BUY
521179,1.0,1.0,7,BUY
193291,1.0,1.0,7,BUY
96467,1.0,1.0,7,BUY
96499,1.0,1.0,7,BUY
96500,1.0,1.0,7,BUY
195433,1.0,1.0,7,BUY
94677,1.0,1.0,7,BUY
192935,1.0,1.0,7,BUY
199746,1.0,1.0,7,BUY
38393,1.0,1.0,7,BUY
67692,1.0,1.0,7,BUY
90160,1.0,1.0,7,BUY
49794,1.0,1.0,7,BUY
189517,1.0,1.0,7,BUY
93987,1.0,1.0,7,BUY
93985,1.0,1.0,7,BUY
94069,1.0,1.0,7,BUY
94066,1.0,1.0,7,BUY
974412,1.0,1.0,7,BUY
15009,1.0,1.0,7,BUY
40169,1.0,1.0,7,BUY
88392,1.0,1.0,7,BUY
67696,1.0,1.0,7,BUY
67689,1.0,1.0,7,BUY
194501,1.0,1.0,7,BUY
730,1.0,1.0,7,BUY
96517,1.0,1.0,7,BUY
193126,1.0,1.0,7,BUY
198728,1.0,1.0,7,BUY
198735,1.0,1.0,7,BUY
96475,1.0,1.0,7,BUY
96484,1.0,1.0,7,BUY
96487,1.0,1.0,7,BUY
96486,1.0,1.0,7,BUY
93992,1.0,1.0,7,BUY
93995,1.0,1.0,7,BUY
96605,1.0,1.0,7,BUY
70394,1.0,1.0,7,BUY
96615,1.0,1.0,7,BUY
96624,1.0,1.0,7,BUY
96604,1.0,1.0,7,BUY
96614,1.0,1.0,7,BUY
39394,1.0,1.0,7,BUY
91068,1.0,1.0,7,BUY
91067,1.0,1.0,7,BUY
196930,1.0,1.0,7,BUY
36223,1.0,1.0,7,BUY
39403,1.0,1.0,7,BUY
93973,1.0,1.0,7,BUY
93967,1.0,1.0,7,BUY
192940,1.0,1.0,7,BUY
93971,1.0,1.0,7,BUY
93974,1.0,1.0,7,BUY
93968,1.0,1.0,7,BUY
189239,1.0,1.0,7,BUY
70359,1.0,1.0,7,BUY
521195,1.0,1.0,7,BUY
55218,1.0,1.0,7,BUY
30537,1.0,1.0,7,BUY
96469,1.0,1.0,7,BUY
46754,1.0,1.0,7,BUY
96473,1.0,1.0,7,BUY
57928,1.0,1.0,7,BUY
57612,1.0,1.0,7,BUY
96502,1.0,1.0,7,BUY
30540,1.0,1.0,7,BUY
94055,1.0,1.0,7,BUY
90457,1.0,1.0,7,BUY
93981,1.0,1.0,7,BUY
93982,1.0,1.0,7,BUY
192929,1.0,1.0,7,BUY
192931,1.0,1.0,7,BUY
94696,1.0,1.0,7,BUY
91037,1.0,1.0,7,BUY
94688,1.0,1.0,7,BUY
94685,1.0,1.0,7,BUY
91874,1.0,1.0,7,BUY
90169,1.0,1.0,7,BUY
66928,1.0,1.0,7,BUY
57933,1.0,1.0,7,BUY
94005,1.0,1.0,7,BUY
189513,1.0,1.0,7,BUY
189514,1.0,1.0,7,BUY
87610,1.0,1.0,7,BUY
93997,1.0,1.0,7,BUY
192991,1.0,1.0,7,BUY
94074,1.0,1.0,7,BUY
189519,1.0,1.0,7,BUY
97132,1.0,1.0,7,BUY
93978,1.0,1.0,7,BUY
653048,1.0,1.0,7,BUY
193318,1.0,1.0,7,BUY
91950,1.0,1.0,7,BUY
192363,1.0,1.0,7,BUY
91013,1.0,1.0,7,BUY
87603,1.0,1.0,7,BUY
91903,1.0,1.0,7,BUY
91073,1.0,1.0,7,BUY
91051,1.0,1.0,7,BUY
91901,1.0,1.0,7,BUY
91011,1.0,1.0,7,BUY
91056,1.0,1.0,7,BUY
91900,1.0,1.0,7,BUY
91029,1.0,1.0,7,BUY
30162,1.0,1.0,7,BUY
67694,1.0,1.0,7,BUY
91941,1.0,1.0,7,BUY
91882,1.0,1.0,7,BUY
90999,1.0,1.0,7,BUY
91063,1.0,1.0,7,BUY
91953,1.0,1.0,7,BUY
91866,1.0,1.0,7,BUY
91952,1.0,1.0,7,BUY
67699,1.0,1.0,7,BUY
95886,1.0,1.0,7,BUY
92155,1.0,1.0,7,BUY
95879,1.0,1.0,7,BUY
91864,1.0,1.0,7,BUY
95877,1.0,1.0,7,BUY
95888,1.0,1.0,7,BUY
92157,1.0,1.0,7,BUY
91079,1.0,1.0,7,BUY
91036,1.0,1.0,7,BUY
92147,1.0,1.0,7,BUY
95834,1.0,1.0,7,BUY
91855,1.0,1.0,7,BUY
91015,1.0,1.0,7,BUY
91885,1.0,1.0,7,BUY
91025,1.0,1.0,7,BUY
198704,1.0,1.0,7,BUY
26154,1.0,1.0,7,BUY
1229,1.0,1.0,7,BUY
93972,1.0,1.0,7,BUY
63031,1.0,1.0,7,BUY
195436,1.0,1.0,7,BUY
195435,1.0,1.0,7,BUY
195439,1.0,1.0,7,BUY
195431,1.0,1.0,7,BUY
195424,1.0,1.0,7,BUY
90838,1.0,1.0,7,BUY
192994,1.0,1.0,7,BUY
974331,1.0,1.0,7,BUY
34113,1.0,1.0,7,BUY
21964,1.0,1.0,7,BUY
806463,1.0,1.0,7,BUY
731188,1.0,1.0,7,BUY
190137,1.0,1.0,7,BUY
67911,1.0,1.0,7,BUY
1226,1.0,1.0,7,BUY
521213,1.0,1.0,7,BUY
310832,1.0,1.0,7,BUY
195432,1.0,1.0,7,BUY
32866,1.0,1.0,7,BUY
645745,1.0,1.0,7,BUY
679208,1.0,1.0,7,BUY
192359,1.0,1.0,7,BUY
95495,1.0,1.0,7,BUY
95494,1.0,1.0,7,BUY
19966,1.0,1.0,7,BUY
93344,1.0,1.0,7,BUY
52118,1.0,1.0,7,BUY
52116,1.0,1.0,7,BUY
727,1.0,1.0,7,BUY
14083,1.0,1.0,7,BUY
88301,1.0,1.0,7,BUY
41206,1.0,1.0,7,BUY
94874,1.0,1.0,7,BUY
196240,1.0,1.0,7,BUY
15769,1.0,1.0,7,BUY
90439,1.0,1.0,7,BUY
199751,1.0,1.0,7,BUY
195994,1.0,1.0,7,BUY
18258,1.0,1.0,7,BUY
96154,1.0,1.0,7,BUY
96153,1.0,1.0,7,BUY
97058,1.0,1.0,7,BUY
97120,1.0,1.0,7,BUY
97059,1.0,1.0,7,BUY
90447,1.0,1.0,7,BUY
94869,1.0,1.0,7,BUY
73217,1.0,1.0,7,BUY
102282,1.0,1.0,7,BUY
196932,1.0,1.0,7,BUY
196931,1.0,1.0,7,BUY
95024,1.0,1.0,7,BUY
521120,1.0,1.0,7,BUY
29850,1.0,1.0,7,BUY
94011,1.0,1.0,7,BUY
94872,1.0,1.0,7,BUY
54487,1.0,1.0,7,BUY
67686,1.0,1.0,7,BUY
521310,1.0,1.0,7,BUY
90149,1.0,1.0,7,BUY
66788,1.0,1.0,7,BUY
729841,1.0,1.0,7,BUY
67697,1.0,1.0,7,BUY
341556,1.0,1.0,7,BUY
193054,1.0,1.0,6,BUY
191380,1.0,1.0,6,BUY
90980,1.0,1.0,6,BUY
62977,1.0,1.0,6,BUY
41596,1.0,1.0,6,BUY
193697,1.0,1.0,6,BUY
196050,1.0,1.0,6,BUY
974390,1.0,1.0,6,BUY
974463,1.0,1.0,6,BUY
95840,1.0,1.0,6,BUY
188025,1.0,1.0,6,BUY
350165,1.0,1.0,6,BUY
102634,1.0,1.0,6,BUY
54481,1.0,1.0,6,BUY
188037,1.0,1.0,6,BUY
94537,1.0,1.0,6,BUY
54486,1.0,1.0,6,BUY
193079,1.0,1.0,6,BUY
195519,1.0,1.0,6,BUY
71548,1.0,1.0,6,BUY
34109,1.0,1.0,6,BUY
184615,1.0,1.0,6,BUY
188943,1.0,1.0,6,BUY
94889,1.0,1.0,6,BUY
87885,1.0,1.0,6,BUY
194020,1.0,1.0,6,BUY
194017,1.0,1.0,6,BUY
194133,1.0,1.0,6,BUY
194050,1.0,1.0,6,BUY
94807,1.0,1.0,6,BUY
94532,1.0,1.0,6,BUY
194045,1.0,1.0,6,BUY
37411,1.0,1.0,6,BUY
91151,1.0,1.0,6,BUY
40732,1.0,1.0,6,BUY
194049,1.0,1.0,6,BUY
