field_name,source_file,row_count_present,min,mean,median,p75,p90,p99,max,zero_count,suspected_unit_basis,safe_for_pre_promo_demand_yes_no,safe_for_promo_period_demand_yes_no,notes
order_units,allocation_report,3531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3531,unknown,NO,NO,
expected_units_before_promo_start,allocation_report,3531,0.0,5.207873123760974,0.0,0.0,0.0,56.0,240.0,3216,period_total,NO,NO,Unsafe as direct pre-promo total when days_until_promotion_start differs from source window
projected_SOH_at_promo_start,allocation_report,3531,0.0,3.092608326253186,3.0,4.0,6.0,12.0,98.0,432,promo_period,NO,NO,
target_SOH_at_promo_start,allocation_report,3531,2.0,3.4808836023789294,3.0,3.0,3.0,8.0,31.0,0,promo_period,NO,NO,
floor_units_required,allocation_report,3531,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0,unknown,NO,NO,
expected_promo_demand,allocation_report,3531,0.0,0.9988671764372699,1.0,1.0,1.0,1.0,1.0,4,promo_period,NO,YES,
projected_stock_gap_units,allocation_report,3531,0.0,1.3540073633531577,0.0,2.0,3.0,8.0,31.0,1787,unknown,NO,NO,
order_units,operator_audit,3531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3531,unknown,NO,NO,
demand_evidence_label,operator_audit,0,,,,,,,,0,unknown,NO,NO,
raw_model_order_units,operator_audit,3531,0.0,0.7037666383460776,0.0,0.0,2.0,7.0,24.0,3066,unknown,NO,NO,
provisional_review_order_units,operator_audit,3531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3531,unknown,NO,NO,
final_store_order_units,operator_audit,3531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3531,unknown,NO,NO,
low_soh_policy_final_order_units,operator_audit,3531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3531,unknown,NO,NO,
low_soh_policy_shadow_order_units,operator_audit,3531,0.0,0.014443500424808835,0.0,0.0,0.0,1.0,1.0,3480,unknown,NO,NO,
shadow_policy_order_units,operator_audit,3531,0.0,0.014443500424808835,0.0,0.0,0.0,1.0,1.0,3480,unknown,NO,NO,
shadow_policy_expected_reason,operator_audit,0,,,,,,,,0,unknown,NO,NO,
recommended_order_units,operator_audit,3531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3531,unknown,NO,NO,
