sku_number,estimated_demand_before_promo_start_units_before,predicted_promo_period_sales_units_before,total_expected_demand_to_promo_end_units_before,target_stock_on_hand_at_promo_end_units_before,optimal_stock_on_hand_day_one_units_before,stock_gap_units_before,recommended_order_units_before,decision_before,estimated_demand_before_promo_start_units_after,predicted_promo_period_sales_units_after,total_expected_demand_to_promo_end_units_after,target_stock_on_hand_at_promo_end_units_after,optimal_stock_on_hand_day_one_units_after,stock_gap_units_after,recommended_order_units_after,decision_after
92632,240,2.5,242.5,4.287,31,31,24,BUY,4.286,1.0,5.286,128.571,129.571,125.857,24,REVIEW
52115,196,1.045,197.045,4.287,26,26,22,BUY,3.5,1.0,4.5,105.0,106.0,104.5,22,REVIEW
195518,168,1.0,169.0,4.287,22,22,18,BUY,3.0,1.0,4.0,90.0,91.0,91.0,18,REVIEW
195412,168,1.0,169.0,4.287,22,22,18,BUY,3.0,1.0,4.0,90.0,91.0,91.0,18,REVIEW
91149,168,1.0,169.0,4.287,22,22,16,BUY,3.0,1.0,4.0,90.0,91.0,91.0,16,REVIEW
88414,140,1.0,141.0,4.287,19,19,15,BUY,2.5,1.0,3.5,75.0,76.0,75.5,15,REVIEW
799718,112,1.0,113.0,4.287,15,15,13,BUY,2.0,1.0,3.0,60.0,61.0,61.0,13,BUY
88458,112,1.0,113.0,4.287,15,15,12,BUY,2.0,1.0,3.0,60.0,61.0,60.0,12,BUY
96617,112,1.0,113.0,4.287,15,15,12,BUY,2.0,1.0,3.0,60.0,61.0,53.0,12,BUY
199053,112,1.0,113.0,4.287,15,15,12,BUY,2.0,1.0,3.0,60.0,61.0,60.0,12,BUY
389404,112,1.0,113.0,4.287,15,15,12,BUY,2.0,1.0,3.0,60.0,61.0,59.0,12,BUY
67690,112,1.0,113.0,4.287,15,15,12,BUY,2.0,1.0,3.0,60.0,61.0,60.0,12,BUY
91058,112,1.0,113.0,4.287,15,15,12,BUY,2.0,1.0,3.0,60.0,61.0,61.0,12,BUY
192936,112,4.159,116.159,4.287,15,15,12,BUY,2.0,1.0,3.0,60.0,61.0,60.0,12,BUY
323608,96,1.0,97.0,4.287,14,14,9,BUY,1.714,1.0,2.714,51.429,52.429,52.143,9,REVIEW
90934,96,1.0,97.0,4.287,14,14,9,BUY,1.714,1.0,2.714,51.429,52.429,52.143,9,REVIEW
55245,96,1.5,97.5,4.287,14,14,10,BUY,1.714,1.0,2.714,51.429,52.429,49.143,10,REVIEW
478354,102,1.0,103.0,4.287,14,14,12,BUY,1.821,1.0,2.821,54.643,55.643,47.464,12,BUY
16527,80,1.0,81.0,4.287,12,12,8,BUY,1.429,1.0,2.429,42.857,43.857,42.286,8,REVIEW
192118,84,1.0,85.0,4.287,12,12,10,BUY,1.5,1.0,2.5,45.0,46.0,45.5,10,BUY
73263,80,1.0,81.0,4.287,12,12,8,BUY,1.429,1.0,2.429,42.857,43.857,42.286,8,REVIEW
93993,84,1.0,85.0,4.287,12,12,10,BUY,1.5,1.0,2.5,45.0,46.0,46.0,10,BUY
90462,84,1.0,85.0,4.287,12,12,9,BUY,1.5,1.0,2.5,45.0,46.0,46.0,9,BUY
90432,84,1.0,85.0,4.287,12,12,10,BUY,1.5,1.0,2.5,45.0,46.0,45.5,10,BUY
90990,84,1.0,85.0,4.287,12,12,10,BUY,1.5,1.0,2.5,45.0,46.0,44.5,10,BUY
194014,74,1.0,75.0,4.287,11,11,8,BUY,1.321,1.0,2.321,39.643,40.643,37.964,8,BUY
193696,74,1.0,75.0,4.287,11,11,9,BUY,1.321,1.0,2.321,39.643,40.643,38.964,9,BUY
94071,74,1.0,75.0,4.287,11,11,9,BUY,1.321,1.0,2.321,39.643,40.643,37.964,9,BUY
67700,74,1.0,75.0,4.287,11,11,9,BUY,1.321,1.0,2.321,39.643,40.643,39.964,9,BUY
365033,79,1.0,80.0,4.287,11,11,8,BUY,1.411,1.0,2.411,42.321,43.321,38.732,8,BUY
90933,64,1.0,65.0,4.287,10,10,7,BUY,1.143,1.0,2.143,34.286,35.286,34.429,7,REVIEW
96608,70,1.0,71.0,4.287,10,10,8,BUY,1.25,1.0,2.25,37.5,38.5,36.75,8,BUY
193213,67,1.0,68.0,4.287,10,10,8,BUY,1.196,1.0,2.196,35.893,36.893,35.089,8,BUY
189518,66,1.0,67.0,4.287,10,10,8,BUY,1.179,1.0,2.179,35.357,36.357,34.536,8,BUY
97057,64,1.0,65.0,4.287,9,9,7,BUY,1.143,1.0,2.143,34.286,35.286,26.429,7,BUY
194049,56,1.0,57.0,4.287,8,8,6,BUY,1.0,1.0,2.0,30.0,31.0,29.0,6,BUY
194020,56,1.0,57.0,4.287,8,8,6,BUY,1.0,1.0,2.0,30.0,31.0,29.0,6,BUY
97058,56,1.0,57.0,4.287,8,8,7,BUY,1.0,1.0,2.0,30.0,31.0,26.0,7,BUY
194050,56,1.0,57.0,4.287,8,8,6,BUY,1.0,1.0,2.0,30.0,31.0,29.0,6,BUY
90794,56,1.0,57.0,4.287,8,8,7,BUY,1.0,1.0,2.0,30.0,31.0,30.0,7,BUY
41206,56,1.0,57.0,4.287,8,8,7,BUY,1.0,1.0,2.0,30.0,31.0,29.0,7,BUY
194017,56,1.0,57.0,4.287,8,8,6,BUY,1.0,1.0,2.0,30.0,31.0,29.0,6,BUY
62854,56,1.0,57.0,4.287,8,8,7,BUY,1.0,1.0,2.0,30.0,31.0,31.0,7,BUY
94532,56,1.0,57.0,4.287,8,8,6,BUY,1.0,1.0,2.0,30.0,31.0,28.0,6,BUY
57316,56,1.0,57.0,4.287,8,8,7,BUY,1.0,1.0,2.0,30.0,31.0,28.0,7,BUY
94807,56,1.0,57.0,4.287,8,8,6,BUY,1.0,1.0,2.0,30.0,31.0,27.0,6,BUY
184615,56,1.0,57.0,4.287,8,8,6,BUY,1.0,1.0,2.0,30.0,31.0,31.0,6,BUY
188943,56,1.0,57.0,4.287,8,8,6,BUY,1.0,1.0,2.0,30.0,31.0,29.0,6,BUY
97120,56,1.0,57.0,4.287,8,8,7,BUY,1.0,1.0,2.0,30.0,31.0,27.0,7,BUY
94537,56,1.0,57.0,4.287,8,8,6,BUY,1.0,1.0,2.0,30.0,31.0,27.0,6,BUY
