sku_number,predicted_promo_period_sales_units,promo_period_demand_source,promo_period_demand_warning
188713,22.0,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
91149,21.0,baseline_daily_times_promotion_days_floor,promo_demand_uses_baseline_daily_floor
88414,17.5,baseline_daily_times_promotion_days_floor,promo_demand_uses_baseline_daily_floor
96617,14.0,baseline_daily_times_promotion_days_floor,promo_demand_uses_baseline_daily_floor
91058,14.0,baseline_daily_times_promotion_days_floor,promo_demand_uses_baseline_daily_floor
389404,14.0,baseline_daily_times_promotion_days_floor,promo_demand_uses_baseline_daily_floor
478354,12.75,baseline_daily_times_promotion_days_floor,promo_demand_uses_baseline_daily_floor
90990,10.5,baseline_daily_times_promotion_days_floor,promo_demand_uses_baseline_daily_floor
365033,9.875,baseline_daily_times_promotion_days_floor,promo_demand_uses_baseline_daily_floor
194014,9.25,baseline_daily_times_promotion_days_floor,promo_demand_uses_baseline_daily_floor
192936,8.318,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
97057,8.0,baseline_daily_times_promotion_days_floor,promo_demand_uses_baseline_daily_floor
98024,7.0,baseline_daily_times_promotion_days_floor,promo_demand_uses_baseline_daily_floor
91912,7.0,baseline_daily_times_promotion_days_floor,promo_demand_uses_baseline_daily_floor
88392,7.0,baseline_daily_times_promotion_days_floor,promo_demand_uses_baseline_daily_floor
96487,7.0,baseline_daily_times_promotion_days_floor,promo_demand_uses_baseline_daily_floor
96605,7.0,baseline_daily_times_promotion_days_floor,promo_demand_uses_baseline_daily_floor
96624,7.0,baseline_daily_times_promotion_days_floor,promo_demand_uses_baseline_daily_floor
96604,7.0,baseline_daily_times_promotion_days_floor,promo_demand_uses_baseline_daily_floor
91068,7.0,baseline_daily_times_promotion_days_floor,promo_demand_uses_baseline_daily_floor
91067,7.0,baseline_daily_times_promotion_days_floor,promo_demand_uses_baseline_daily_floor
96469,7.0,baseline_daily_times_promotion_days_floor,promo_demand_uses_baseline_daily_floor
96473,7.0,baseline_daily_times_promotion_days_floor,promo_demand_uses_baseline_daily_floor
90457,7.0,baseline_daily_times_promotion_days_floor,promo_demand_uses_baseline_daily_floor
91037,7.0,baseline_daily_times_promotion_days_floor,promo_demand_uses_baseline_daily_floor
91874,7.0,baseline_daily_times_promotion_days_floor,promo_demand_uses_baseline_daily_floor
97132,7.0,baseline_daily_times_promotion_days_floor,promo_demand_uses_baseline_daily_floor
91950,7.0,baseline_daily_times_promotion_days_floor,promo_demand_uses_baseline_daily_floor
192363,7.0,baseline_daily_times_promotion_days_floor,promo_demand_uses_baseline_daily_floor
91013,7.0,baseline_daily_times_promotion_days_floor,promo_demand_uses_baseline_daily_floor
91903,7.0,baseline_daily_times_promotion_days_floor,promo_demand_uses_baseline_daily_floor
91073,7.0,baseline_daily_times_promotion_days_floor,promo_demand_uses_baseline_daily_floor
91051,7.0,baseline_daily_times_promotion_days_floor,promo_demand_uses_baseline_daily_floor
91901,7.0,baseline_daily_times_promotion_days_floor,promo_demand_uses_baseline_daily_floor
91011,7.0,baseline_daily_times_promotion_days_floor,promo_demand_uses_baseline_daily_floor
91056,7.0,baseline_daily_times_promotion_days_floor,promo_demand_uses_baseline_daily_floor
91900,7.0,baseline_daily_times_promotion_days_floor,promo_demand_uses_baseline_daily_floor
91029,7.0,baseline_daily_times_promotion_days_floor,promo_demand_uses_baseline_daily_floor
91941,7.0,baseline_daily_times_promotion_days_floor,promo_demand_uses_baseline_daily_floor
91882,7.0,baseline_daily_times_promotion_days_floor,promo_demand_uses_baseline_daily_floor
90999,7.0,baseline_daily_times_promotion_days_floor,promo_demand_uses_baseline_daily_floor
91063,7.0,baseline_daily_times_promotion_days_floor,promo_demand_uses_baseline_daily_floor
91953,7.0,baseline_daily_times_promotion_days_floor,promo_demand_uses_baseline_daily_floor
91866,7.0,baseline_daily_times_promotion_days_floor,promo_demand_uses_baseline_daily_floor
91952,7.0,baseline_daily_times_promotion_days_floor,promo_demand_uses_baseline_daily_floor
95886,7.0,baseline_daily_times_promotion_days_floor,promo_demand_uses_baseline_daily_floor
92155,7.0,baseline_daily_times_promotion_days_floor,promo_demand_uses_baseline_daily_floor
95879,7.0,baseline_daily_times_promotion_days_floor,promo_demand_uses_baseline_daily_floor
91864,7.0,baseline_daily_times_promotion_days_floor,promo_demand_uses_baseline_daily_floor
95877,7.0,baseline_daily_times_promotion_days_floor,promo_demand_uses_baseline_daily_floor
95888,7.0,baseline_daily_times_promotion_days_floor,promo_demand_uses_baseline_daily_floor
92157,7.0,baseline_daily_times_promotion_days_floor,promo_demand_uses_baseline_daily_floor
91079,7.0,baseline_daily_times_promotion_days_floor,promo_demand_uses_baseline_daily_floor
91036,7.0,baseline_daily_times_promotion_days_floor,promo_demand_uses_baseline_daily_floor
92147,7.0,baseline_daily_times_promotion_days_floor,promo_demand_uses_baseline_daily_floor
95834,7.0,baseline_daily_times_promotion_days_floor,promo_demand_uses_baseline_daily_floor
91855,7.0,baseline_daily_times_promotion_days_floor,promo_demand_uses_baseline_daily_floor
91015,7.0,baseline_daily_times_promotion_days_floor,promo_demand_uses_baseline_daily_floor
91885,7.0,baseline_daily_times_promotion_days_floor,promo_demand_uses_baseline_daily_floor
91025,7.0,baseline_daily_times_promotion_days_floor,promo_demand_uses_baseline_daily_floor
21964,7.0,baseline_daily_times_promotion_days_floor,promo_demand_uses_baseline_daily_floor
67911,7.0,baseline_daily_times_promotion_days_floor,promo_demand_uses_baseline_daily_floor
93344,7.0,baseline_daily_times_promotion_days_floor,promo_demand_uses_baseline_daily_floor
88301,7.0,baseline_daily_times_promotion_days_floor,promo_demand_uses_baseline_daily_floor
97058,7.0,baseline_daily_times_promotion_days_floor,promo_demand_uses_baseline_daily_floor
97120,7.0,baseline_daily_times_promotion_days_floor,promo_demand_uses_baseline_daily_floor
97059,7.0,baseline_daily_times_promotion_days_floor,promo_demand_uses_baseline_daily_floor
193054,7.0,baseline_daily_times_promotion_days_floor,promo_demand_uses_baseline_daily_floor
90980,7.0,baseline_daily_times_promotion_days_floor,promo_demand_uses_baseline_daily_floor
95840,7.0,baseline_daily_times_promotion_days_floor,promo_demand_uses_baseline_daily_floor
94537,7.0,baseline_daily_times_promotion_days_floor,promo_demand_uses_baseline_daily_floor
94889,7.0,baseline_daily_times_promotion_days_floor,promo_demand_uses_baseline_daily_floor
87885,7.0,baseline_daily_times_promotion_days_floor,promo_demand_uses_baseline_daily_floor
194017,7.0,baseline_daily_times_promotion_days_floor,promo_demand_uses_baseline_daily_floor
94807,7.0,baseline_daily_times_promotion_days_floor,promo_demand_uses_baseline_daily_floor
94532,7.0,baseline_daily_times_promotion_days_floor,promo_demand_uses_baseline_daily_floor
91151,7.0,baseline_daily_times_promotion_days_floor,promo_demand_uses_baseline_daily_floor
40732,7.0,baseline_daily_times_promotion_days_floor,promo_demand_uses_baseline_daily_floor
92632,5.0,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
70394,3.176,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
189514,3.118,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
189239,3.0,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
26154,2.5,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
189513,2.471,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
195424,2.294,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
350165,2.214,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
52115,2.091,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
521310,2.087,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
63031,2.0,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
194045,2.0,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
194049,2.0,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
15847,1.765,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
521213,1.667,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
189518,1.647,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
193213,1.636,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
52116,1.636,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
57933,1.632,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
199053,1.625,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
70359,1.588,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
37411,1.556,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
193126,1.529,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
96608,1.5,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
52118,1.454,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
189517,1.4,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
62911,1.375,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
34109,1.375,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
189519,1.294,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
198704,1.263,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
30537,1.261,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
57928,1.261,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
195431,1.235,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
15769,1.235,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
