sku_number,decision,optimal_order_units_to_reach_day_one_stock,recommended_order_units,remaining_gap_after_recommended_order_units,recommendation_coverage_ratio,recommendation_constraint_reason,stock_gap_units
188713,BUY,116,2,114,0.017,insufficient_demand_evidence,116.286
91149,BUY,111,16,95,0.144,insufficient_demand_evidence,111.0
88414,BUY,92,15,77,0.163,insufficient_demand_evidence,92.0
96617,BUY,66,12,54,0.182,insufficient_demand_evidence,66.0
91058,BUY,74,12,62,0.162,insufficient_demand_evidence,74.0
389404,BUY,72,12,60,0.167,insufficient_demand_evidence,72.0
478354,BUY,59,12,47,0.203,insufficient_demand_evidence,59.214
90990,BUY,54,10,44,0.185,insufficient_demand_evidence,54.0
365033,BUY,48,8,40,0.167,insufficient_demand_evidence,47.607
194014,BUY,46,8,38,0.174,insufficient_demand_evidence,46.214
192936,BUY,67,12,55,0.179,insufficient_demand_evidence,67.318
97057,BUY,33,7,26,0.212,insufficient_demand_evidence,33.429
98024,BUY,35,7,28,0.2,insufficient_demand_evidence,35.0
91912,BUY,36,7,29,0.194,insufficient_demand_evidence,36.0
88392,BUY,34,7,27,0.206,insufficient_demand_evidence,34.0
96487,BUY,36,7,29,0.194,insufficient_demand_evidence,36.0
96605,BUY,33,7,26,0.212,insufficient_demand_evidence,33.0
96624,BUY,36,7,29,0.194,insufficient_demand_evidence,36.0
96604,BUY,36,7,29,0.194,insufficient_demand_evidence,36.0
91068,BUY,36,7,29,0.194,insufficient_demand_evidence,36.0
91067,BUY,37,7,30,0.189,insufficient_demand_evidence,37.0
96469,BUY,33,7,26,0.212,insufficient_demand_evidence,33.0
96473,BUY,33,7,26,0.212,insufficient_demand_evidence,33.0
90457,BUY,35,7,28,0.2,insufficient_demand_evidence,35.0
91037,BUY,35,7,28,0.2,insufficient_demand_evidence,35.0
91874,BUY,37,7,30,0.189,insufficient_demand_evidence,37.0
97132,BUY,34,7,27,0.206,insufficient_demand_evidence,34.0
91950,BUY,35,7,28,0.2,insufficient_demand_evidence,35.0
192363,BUY,35,7,28,0.2,insufficient_demand_evidence,35.0
91013,BUY,35,7,28,0.2,insufficient_demand_evidence,35.0
91903,BUY,37,7,30,0.189,insufficient_demand_evidence,37.0
91073,BUY,34,7,27,0.206,insufficient_demand_evidence,34.0
91051,BUY,36,7,29,0.194,insufficient_demand_evidence,36.0
91901,BUY,35,7,28,0.2,insufficient_demand_evidence,35.0
91011,BUY,36,7,29,0.194,insufficient_demand_evidence,36.0
91056,BUY,36,7,29,0.194,insufficient_demand_evidence,36.0
91900,BUY,36,7,29,0.194,insufficient_demand_evidence,36.0
91029,BUY,35,7,28,0.2,insufficient_demand_evidence,35.0
91941,BUY,32,7,25,0.219,insufficient_demand_evidence,32.0
91882,BUY,36,7,29,0.194,insufficient_demand_evidence,36.0
90999,BUY,33,7,26,0.212,insufficient_demand_evidence,33.0
91063,BUY,35,7,28,0.2,insufficient_demand_evidence,35.0
91953,BUY,35,7,28,0.2,insufficient_demand_evidence,35.0
91866,BUY,36,7,29,0.194,insufficient_demand_evidence,36.0
91952,BUY,37,7,30,0.189,insufficient_demand_evidence,37.0
95886,BUY,31,7,24,0.226,insufficient_demand_evidence,31.0
92155,BUY,34,7,27,0.206,insufficient_demand_evidence,34.0
95879,BUY,33,7,26,0.212,insufficient_demand_evidence,33.0
91864,BUY,36,7,29,0.194,insufficient_demand_evidence,36.0
95877,BUY,35,7,28,0.2,insufficient_demand_evidence,35.0
95888,BUY,34,7,27,0.206,insufficient_demand_evidence,34.0
92157,BUY,35,7,28,0.2,insufficient_demand_evidence,35.0
91079,BUY,35,7,28,0.2,insufficient_demand_evidence,35.0
91036,BUY,35,7,28,0.2,insufficient_demand_evidence,35.0
92147,BUY,34,7,27,0.206,insufficient_demand_evidence,34.0
95834,BUY,33,7,26,0.212,insufficient_demand_evidence,33.0
91855,BUY,36,7,29,0.194,insufficient_demand_evidence,36.0
91015,BUY,35,7,28,0.2,insufficient_demand_evidence,35.0
91885,BUY,35,7,28,0.2,insufficient_demand_evidence,35.0
91025,BUY,36,7,29,0.194,insufficient_demand_evidence,36.0
21964,BUY,37,7,30,0.189,insufficient_demand_evidence,37.0
67911,BUY,34,7,27,0.206,insufficient_demand_evidence,34.0
93344,BUY,34,7,27,0.206,insufficient_demand_evidence,34.0
88301,BUY,34,7,27,0.206,insufficient_demand_evidence,34.0
97058,BUY,32,7,25,0.219,insufficient_demand_evidence,32.0
97120,BUY,33,7,26,0.212,insufficient_demand_evidence,33.0
97059,BUY,33,7,26,0.212,insufficient_demand_evidence,33.0
193054,BUY,34,6,28,0.176,insufficient_demand_evidence,34.0
90980,BUY,37,6,31,0.162,insufficient_demand_evidence,37.0
95840,BUY,37,6,31,0.162,insufficient_demand_evidence,37.0
94537,BUY,33,6,27,0.182,insufficient_demand_evidence,33.0
94889,BUY,33,6,27,0.182,insufficient_demand_evidence,33.0
87885,BUY,37,6,31,0.162,insufficient_demand_evidence,37.0
194017,BUY,35,6,29,0.171,insufficient_demand_evidence,35.0
94807,BUY,33,6,27,0.182,insufficient_demand_evidence,33.0
94532,BUY,34,6,28,0.176,insufficient_demand_evidence,34.0
91151,BUY,35,6,29,0.171,insufficient_demand_evidence,35.0
40732,BUY,35,6,29,0.171,insufficient_demand_evidence,35.0
92632,BUY,130,24,106,0.185,insufficient_demand_evidence,129.857
70394,BUY,31,7,24,0.226,insufficient_demand_evidence,31.176
189514,BUY,32,7,25,0.219,insufficient_demand_evidence,32.118
189239,BUY,29,7,22,0.241,insufficient_demand_evidence,29.0
26154,BUY,30,7,23,0.233,insufficient_demand_evidence,29.5
189513,BUY,30,7,23,0.233,insufficient_demand_evidence,30.471
195424,BUY,29,7,22,0.241,insufficient_demand_evidence,29.294
350165,BUY,30,6,24,0.2,insufficient_demand_evidence,30.214
52115,BUY,106,22,84,0.208,insufficient_demand_evidence,105.591
521310,BUY,30,7,23,0.233,insufficient_demand_evidence,30.087
63031,BUY,31,7,24,0.226,insufficient_demand_evidence,31.0
194045,BUY,30,6,24,0.2,insufficient_demand_evidence,30.0
194049,BUY,30,6,24,0.2,insufficient_demand_evidence,30.0
15847,BUY,9,2,7,0.222,insufficient_demand_evidence,9.328
521213,BUY,30,7,23,0.233,insufficient_demand_evidence,29.667
189518,BUY,35,8,27,0.229,insufficient_demand_evidence,35.183
193213,BUY,36,8,28,0.222,insufficient_demand_evidence,35.725
52116,BUY,24,7,17,0.292,insufficient_demand_evidence,23.636
57933,BUY,30,7,23,0.233,insufficient_demand_evidence,29.632
199053,BUY,61,12,49,0.197,insufficient_demand_evidence,60.625
70359,BUY,29,7,22,0.241,insufficient_demand_evidence,28.588
37411,BUY,31,6,25,0.194,insufficient_demand_evidence,30.556
193126,BUY,30,7,23,0.233,insufficient_demand_evidence,29.529
96608,BUY,37,8,29,0.216,insufficient_demand_evidence,37.25
52118,BUY,25,7,18,0.28,insufficient_demand_evidence,25.454
189517,BUY,28,7,21,0.25,insufficient_demand_evidence,28.4
62911,BUY,28,7,21,0.25,insufficient_demand_evidence,28.375
34109,BUY,29,6,23,0.207,insufficient_demand_evidence,29.375
189519,BUY,30,7,23,0.233,insufficient_demand_evidence,30.294
198704,BUY,29,7,22,0.241,insufficient_demand_evidence,29.263
30537,BUY,28,7,21,0.25,insufficient_demand_evidence,28.261
57928,BUY,30,7,23,0.233,insufficient_demand_evidence,30.261
195431,BUY,27,7,20,0.259,insufficient_demand_evidence,27.235
15769,BUY,31,7,24,0.226,insufficient_demand_evidence,31.235
57612,BUY,31,7,24,0.226,insufficient_demand_evidence,31.158
94071,BUY,38,9,29,0.237,insufficient_demand_evidence,38.107
67700,BUY,40,9,31,0.225,insufficient_demand_evidence,40.089
645745,BUY,27,7,20,0.259,insufficient_demand_evidence,27.125
93985,BUY,31,7,24,0.226,insufficient_demand_evidence,31.091
192940,BUY,29,7,22,0.241,insufficient_demand_evidence,29.091
46754,BUY,29,7,22,0.241,insufficient_demand_evidence,29.087
1229,BUY,31,7,24,0.226,insufficient_demand_evidence,31.087
799718,BUY,61,13,48,0.213,insufficient_demand_evidence,61.0
67696,BUY,29,7,22,0.241,insufficient_demand_evidence,29.0
90838,BUY,30,7,23,0.233,insufficient_demand_evidence,30.0
310832,BUY,30,7,23,0.233,insufficient_demand_evidence,30.0
32866,BUY,29,7,22,0.241,insufficient_demand_evidence,29.0
679208,BUY,31,7,24,0.226,insufficient_demand_evidence,31.0
19966,BUY,29,7,22,0.241,insufficient_demand_evidence,29.0
90149,BUY,29,7,22,0.241,insufficient_demand_evidence,29.0
974463,BUY,31,6,25,0.194,insufficient_demand_evidence,31.0
194050,BUY,29,6,23,0.207,insufficient_demand_evidence,29.0
94063,BUY,14,4,10,0.286,insufficient_demand_evidence,13.5
69352,BUY,5,2,3,0.4,insufficient_demand_evidence,5.286
67693,BUY,5,2,3,0.4,insufficient_demand_evidence,5.286
93993,BUY,46,10,36,0.217,insufficient_demand_evidence,45.909
731188,BUY,29,7,22,0.241,insufficient_demand_evidence,28.905
195433,BUY,30,7,23,0.233,insufficient_demand_evidence,29.882
