sku_number,current_soh_units,on_order_units,estimated_demand_before_promo_start_units,formula_before,projected_stock_on_hand_at_promo_start_before_order_units,before_mismatch
188713,0,0,3.143,0.0,0.0,0.0
91149,3,0,3.0,0.0,0.0,0.0
88414,3,0,2.5,0.5,0.5,0.0
96617,10,0,2.0,8.0,8.0,0.0
91058,2,0,2.0,0.0,0.0,0.0
389404,4,0,2.0,2.0,2.0,0.0
478354,10,0,1.821,8.179,8.179,0.0
90990,3,0,1.5,1.5,1.5,0.0
365033,6,0,1.411,4.589,4.589,0.0
194014,4,0,1.321,2.679,2.679,0.0
192936,3,0,2.0,1.0,1.0,0.0
97057,10,0,1.143,8.857,8.857,0.0
98024,3,0,1.0,2.0,2.0,0.0
91912,2,0,1.0,1.0,1.0,0.0
88392,4,0,1.0,3.0,3.0,0.0
96487,2,0,1.0,1.0,1.0,0.0
96605,5,0,1.0,4.0,4.0,0.0
96624,2,0,1.0,1.0,1.0,0.0
96604,2,0,1.0,1.0,1.0,0.0
91068,2,0,1.0,1.0,1.0,0.0
91067,1,0,1.0,0.0,0.0,0.0
96469,5,0,1.0,4.0,4.0,0.0
96473,5,0,1.0,4.0,4.0,0.0
90457,3,0,1.0,2.0,2.0,0.0
91037,3,0,1.0,2.0,2.0,0.0
91874,1,0,1.0,0.0,0.0,0.0
97132,4,0,1.0,3.0,3.0,0.0
91950,3,0,1.0,2.0,2.0,0.0
192363,3,0,1.0,2.0,2.0,0.0
91013,3,0,1.0,2.0,2.0,0.0
91903,1,0,1.0,0.0,0.0,0.0
91073,4,0,1.0,3.0,3.0,0.0
91051,2,0,1.0,1.0,1.0,0.0
91901,3,0,1.0,2.0,2.0,0.0
91011,2,0,1.0,1.0,1.0,0.0
91056,2,0,1.0,1.0,1.0,0.0
91900,2,0,1.0,1.0,1.0,0.0
91029,3,0,1.0,2.0,2.0,0.0
91941,6,0,1.0,5.0,5.0,0.0
91882,2,0,1.0,1.0,1.0,0.0
90999,5,0,1.0,4.0,4.0,0.0
91063,3,0,1.0,2.0,2.0,0.0
91953,3,0,1.0,2.0,2.0,0.0
91866,2,0,1.0,1.0,1.0,0.0
91952,1,0,1.0,0.0,0.0,0.0
95886,7,0,1.0,6.0,6.0,0.0
92155,4,0,1.0,3.0,3.0,0.0
95879,5,0,1.0,4.0,4.0,0.0
91864,2,0,1.0,1.0,1.0,0.0
95877,3,0,1.0,2.0,2.0,0.0
95888,4,0,1.0,3.0,3.0,0.0
92157,3,0,1.0,2.0,2.0,0.0
91079,3,0,1.0,2.0,2.0,0.0
91036,3,0,1.0,2.0,2.0,0.0
92147,4,0,1.0,3.0,3.0,0.0
95834,5,0,1.0,4.0,4.0,0.0
91855,2,0,1.0,1.0,1.0,0.0
91015,3,0,1.0,2.0,2.0,0.0
91885,3,0,1.0,2.0,2.0,0.0
91025,2,0,1.0,1.0,1.0,0.0
21964,1,0,1.0,0.0,0.0,0.0
67911,4,0,1.0,3.0,3.0,0.0
93344,4,0,1.0,3.0,3.0,0.0
88301,4,0,1.0,3.0,3.0,0.0
97058,6,0,1.0,5.0,5.0,0.0
97120,5,0,1.0,4.0,4.0,0.0
97059,5,0,1.0,4.0,4.0,0.0
193054,4,0,1.0,3.0,3.0,0.0
90980,0,0,1.0,0.0,0.0,0.0
95840,0,0,1.0,0.0,0.0,0.0
94537,5,0,1.0,4.0,4.0,0.0
94889,5,0,1.0,4.0,4.0,0.0
87885,1,0,1.0,0.0,0.0,0.0
194017,3,0,1.0,2.0,2.0,0.0
94807,5,0,1.0,4.0,4.0,0.0
94532,4,0,1.0,3.0,3.0,0.0
