metric,score
all_skus_included,1
one_row_per_sku,1
decision_enum_valid,1
buy_positive_units,1
hold_dnb_zero_units,1
optimal_formula_reconciles,1
pre_promo_plausible,1
buy_pre_promo_not_dominant,1
target_end_not_global_placeholder,1
optimal_order_fields_present,1
partial_gap_explained,1
projected_soh_reconciles,1
review_positive_labelled,1
promo_not_flat_placeholder,1
manager_reconciles,1
exceptions_reconcile,1
data_quality_not_flat,1
shadow_labelled,1
governance_no,1
has_buy_rows,1
report_quality_score,90
