sku_number,decision,recommended_order_units,reason_order,human_review_required,production_ordering_approved
92848,REVIEW,2,Potential order quantity shown for review; not approved automatically,YES,NO
90933,REVIEW,7,Potential order quantity shown for review; not approved automatically,YES,NO
94132,REVIEW,2,Potential order quantity shown for review; not approved automatically,YES,NO
51645,REVIEW,3,Potential order quantity shown for review; not approved automatically,YES,NO
92214,REVIEW,4,Potential order quantity shown for review; not approved automatically,YES,NO
195049,REVIEW,2,Potential order quantity shown for review; not approved automatically,YES,NO
55245,REVIEW,10,Potential order quantity shown for review; not approved automatically,YES,NO
95868,REVIEW,3,Potential order quantity shown for review; not approved automatically,YES,NO
96596,REVIEW,3,Potential order quantity shown for review; not approved automatically,YES,NO
92210,REVIEW,2,Potential order quantity shown for review; not approved automatically,YES,NO
65836,REVIEW,2,Potential order quantity shown for review; not approved automatically,YES,NO
92213,REVIEW,2,Potential order quantity shown for review; not approved automatically,YES,NO
195048,REVIEW,2,Potential order quantity shown for review; not approved automatically,YES,NO
188951,REVIEW,2,Potential order quantity shown for review; not approved automatically,YES,NO
40167,REVIEW,2,Potential order quantity shown for review; not approved automatically,YES,NO
95025,REVIEW,5,Potential order quantity shown for review; not approved automatically,YES,NO
55881,REVIEW,5,Potential order quantity shown for review; not approved automatically,YES,NO
199946,REVIEW,5,Potential order quantity shown for review; not approved automatically,YES,NO
90934,REVIEW,9,Potential order quantity shown for review; not approved automatically,YES,NO
16527,REVIEW,8,Potential order quantity shown for review; not approved automatically,YES,NO
186512,REVIEW,2,Potential order quantity shown for review; not approved automatically,YES,NO
38392,REVIEW,2,Potential order quantity shown for review; not approved automatically,YES,NO
192176,REVIEW,2,Potential order quantity shown for review; not approved automatically,YES,NO
73263,REVIEW,8,Potential order quantity shown for review; not approved automatically,YES,NO
90851,REVIEW,2,Potential order quantity shown for review; not approved automatically,YES,NO
90849,REVIEW,2,Potential order quantity shown for review; not approved automatically,YES,NO
721417,REVIEW,1,Potential order quantity shown for review; not approved automatically,YES,NO
95497,REVIEW,2,Potential order quantity shown for review; not approved automatically,YES,NO
195096,REVIEW,2,Potential order quantity shown for review; not approved automatically,YES,NO
71410,REVIEW,2,Potential order quantity shown for review; not approved automatically,YES,NO
65583,REVIEW,2,Potential order quantity shown for review; not approved automatically,YES,NO
259519,REVIEW,2,Potential order quantity shown for review; not approved automatically,YES,NO
90346,REVIEW,2,Potential order quantity shown for review; not approved automatically,YES,NO
92209,REVIEW,2,Potential order quantity shown for review; not approved automatically,YES,NO
90462,REVIEW,9,Potential order quantity shown for review; not approved automatically,YES,NO
65837,REVIEW,3,Potential order quantity shown for review; not approved automatically,YES,NO
93758,REVIEW,2,Potential order quantity shown for review; not approved automatically,YES,NO
66821,REVIEW,5,Potential order quantity shown for review; not approved automatically,YES,NO
88458,REVIEW,12,Potential order quantity shown for review; not approved automatically,YES,NO
63360,REVIEW,3,Potential order quantity shown for review; not approved automatically,YES,NO
67690,REVIEW,12,Potential order quantity shown for review; not approved automatically,YES,NO
71225,REVIEW,2,Potential order quantity shown for review; not approved automatically,YES,NO
90936,REVIEW,3,Potential order quantity shown for review; not approved automatically,YES,NO
55218,REVIEW,7,Potential order quantity shown for review; not approved automatically,YES,NO
1226,REVIEW,7,Potential order quantity shown for review; not approved automatically,YES,NO
729841,REVIEW,7,Potential order quantity shown for review; not approved automatically,YES,NO
43878,REVIEW,5,Potential order quantity shown for review; not approved automatically,YES,NO
93992,REVIEW,7,Potential order quantity shown for review; not approved automatically,YES,NO
93995,REVIEW,7,Potential order quantity shown for review; not approved automatically,YES,NO
94011,REVIEW,7,Potential order quantity shown for review; not approved automatically,YES,NO
67694,REVIEW,7,Potential order quantity shown for review; not approved automatically,YES,NO
24420,REVIEW,7,Potential order quantity shown for review; not approved automatically,YES,NO
90432,REVIEW,10,Potential order quantity shown for review; not approved automatically,YES,NO
192839,REVIEW,7,Potential order quantity shown for review; not approved automatically,YES,NO
94069,REVIEW,7,Potential order quantity shown for review; not approved automatically,YES,NO
40169,REVIEW,7,Potential order quantity shown for review; not approved automatically,YES,NO
41596,REVIEW,6,Potential order quantity shown for review; not approved automatically,YES,NO
193697,REVIEW,6,Potential order quantity shown for review; not approved automatically,YES,NO
184615,REVIEW,6,Potential order quantity shown for review; not approved automatically,YES,NO
192118,REVIEW,10,Potential order quantity shown for review; not approved automatically,YES,NO
653048,REVIEW,7,Potential order quantity shown for review; not approved automatically,YES,NO
199746,REVIEW,7,Potential order quantity shown for review; not approved automatically,YES,NO
323608,REVIEW,9,Potential order quantity shown for review; not approved automatically,YES,NO
