sku_number,sku_description,current_soh_units,target_day_one_soh_units,target_order_units_to_hit_day_one_soh,recommended_order_units,remaining_day_one_shortfall_units,confidence_score,data_quality_score,proposed_corrected_decision
192083,Cerave Renew Peptide Crm 48G,8,185.0,182,0,182,35,80.0,REVIEW
188712,Cerave Moist Cream 340G,2,158.571,159,0,159,48,86.0,HOLD
188721,Cerave Sa Smooth Clns 473Ml,4,142.714,143,0,143,36,80.0,REVIEW
188711,Cerave Moist Cream 177Ml,4,142.714,143,0,143,49,86.0,HOLD
188710,Cerave Moist Lotion 473Ml,7,142.714,140,0,140,43,80.0,REVIEW
188715,Cerave Moist Pm 52Ml,7,142.714,140,0,140,35,80.0,REVIEW
94902,Lrp Hyaluron Serum 50Ml,2,137.429,137,0,137,38,86.0,HOLD
92632,Avene Cica+ Mlt P&R Crm Spf50+,8,133.571,130,24,106,58,68.0,REVIEW
92846,Cerave Foaming Cleanser Refill,1,121.571,122,0,122,25,86.0,HOLD
188713,Cerave Eye Repair Cream 14Ml,0,116.286,116,2,114,48,80.0,REVIEW
16859,Lrp Anth Xl Ult Crm Spf50 50Ml,4,114.524,114,0,114,42,80.0,REVIEW
90912,Cerave Face Moist Lotion Spf50,4,111.0,110,0,110,50,86.0,HOLD
91149,Col Tp Adv Wht Baking Soda 180,3,111.0,111,16,95,47,49.0,REVIEW
52115,Rexona W Apd Adv Shwr/F 220Ml,5,107.091,106,22,84,66,68.0,REVIEW
92847,Cerave Hydrating Cleans Refill,2,105.714,106,0,106,25,86.0,HOLD
188699,Cerave Hydrating Clns 473Ml,6,105.714,103,0,103,48,86.0,HOLD
87550,Lrp Xl Wet Skin Spf 50+ 200Ml,3,100.429,100,0,100,40,80.0,REVIEW
188704,Cerave Foaming Cleanser 473Ml,3,95.143,95,0,95,49,86.0,HOLD
88414,Es Lashes To Impress 03,3,92.5,92,15,77,60,49.0,REVIEW
195518,Mf Fcefnty Cmpct 001,1,90.364,90,18,72,62,68.0,REVIEW
195412,Npmu Pro Fix Stick Cocoa,1,90.235,90,18,72,67,68.0,REVIEW
698571,Bioderma Sensibio H20 500Ml,15,88.896,76,0,76,33,80.0,REVIEW
948829,Lrp Soothing Lotion 200Ml,17,86.333,72,0,72,26,80.0,REVIEW
92848,Cerave Moist Cream Refill,0,84.571,85,2,83,26,80.0,REVIEW
90914,Cerave Int Moist Lotion 473,3,84.571,84,0,84,49,86.0,HOLD
92849,Cerave Moist Lotion Refill,5,84.571,82,0,82,25,80.0,REVIEW
367011,Lanolips 101 O/Ment Balm 15G,14,81.929,70,0,70,49,86.0,HOLD
27193,Lrp Anth D/T Spf50+ 50Ml,7,81.047,76,0,76,29,80.0,REVIEW
87418,Lrp Vitamin C12 Serum 30Ml,3,79.286,78,0,78,27,80.0,REVIEW
195445,Lrp Effaclar Duo+M 40Ml,16,79.286,65,0,65,26,80.0,REVIEW
192046,Lrp Cicaplast Baume B5+ 100Ml,7,75.0,68,0,68,41,70.0,REVIEW
199846,Lrp Cicaplast Mask 5Pk,5,74.0,71,0,71,26,80.0,REVIEW
91058,Catr Allround Masc Ult Blk 010,2,74.0,74,12,62,67,49.0,REVIEW
389404,Nivea Men Apd C/Kick 250Ml,4,74.0,72,12,60,65,49.0,REVIEW
96617,Npmu Make Em Wndr Fdn Medium,10,74.0,66,12,54,67,49.0,REVIEW
43839,Avene Xeracalm Replen Balm 400,62,72.018,12,0,12,63,86.0,HOLD
195051,Lrp Mela B3 Serum 30Ml,62,70.476,10,0,10,64,86.0,HOLD
188709,Cerave Moist Lotion 236Ml,2,68.714,69,0,69,41,86.0,HOLD
188720,Cerave Sa Smooth Cream 177Ml,5,68.714,66,0,66,50,86.0,HOLD
184707,Lrp Anth Inv/Spray Spf50+ 200M,7,68.714,64,0,64,28,80.0,REVIEW
192936,May Eye Makeup Remover 70Ml,3,68.318,67,12,55,63,68.0,REVIEW
478354,Es Long Lasting Eye Pencil 01,10,67.393,59,12,47,67,49.0,REVIEW
445650,Neut Mur Wipes Night Calm 25,13,66.953,56,0,56,21,80.0,REVIEW
188996,Garn H/Bomb Vit C Msk,2,66.732,67,0,67,27,86.0,HOLD
15789,Npmu Setting Spray Dewy,4,66.226,64,0,64,27,80.0,REVIEW
580,Garn Micellar Sol 125Ml,5,65.777,63,0,63,25,80.0,REVIEW
63416,Lrp Cicaplast Hand Crm 100Ml,2,65.19,65,0,65,31,86.0,HOLD
55533,Lrp Retinol B3 A/A Serum 30Ml,2,63.429,63,0,63,27,86.0,HOLD
199243,Cerave Rep Balm 88Ml,8,63.429,57,0,57,21,80.0,REVIEW
15792,Npmu Setting Spray Matte,3,62.185,61,0,61,27,80.0,REVIEW
63079,Npmu Brow Glue Stick,1,61.874,60,0,60,39,80.0,REVIEW
199053,Npmu Wondr Stck Dual Medium,3,61.625,61,12,49,67,68.0,REVIEW
193203,May Ls Sky High Wsh,3,61.506,60,0,60,27,80.0,REVIEW
799718,Rosehip By Essano Oil 45Ml,2,61.0,61,13,48,67,68.0,REVIEW
49686,Avene Thermal S/Water 300Ml,10,60.786,52,0,52,27,80.0,REVIEW
88458,Mf Divine Lashes Rich Blk,3,60.636,60,12,48,59,68.0,REVIEW
67690,Rim Btw Pro Pncl Ash Brown,3,60.562,60,12,48,66,68.0,REVIEW
87417,Cerave Oil Control Gel 52Ml,2,58.143,58,0,58,49,86.0,HOLD
195091,Cerave Blem Cntrl Ret Srm 30Ml,3,58.143,57,0,57,41,80.0,REVIEW
94903,Lrp Hyaluron Serum 30Ml,3,58.143,57,0,57,31,80.0,REVIEW
188716,Cerave Renew Sa Foot Crm 88Ml,5,58.143,55,0,55,25,80.0,REVIEW
192050,Cerave Renewing Vitamin C 30Ml,6,58.143,54,0,54,46,86.0,HOLD
20798,Garn Micellar Water 700Ml,2,56.969,57,0,57,26,86.0,HOLD
612448,Neut Mur Wipes Regular 25,4,56.381,54,0,54,26,80.0,REVIEW
188833,B/Lab Neck Firm Srm 30Ml,6,56.381,52,0,52,56,86.0,HOLD
37987,Garn H/Bomb Eye Mask Orng Juic,3,55.5,54,0,54,25,80.0,REVIEW
