sku_number,sku_description,decision,current_soh_units,on_order_units,estimated_demand_before_promo_start_units,recommended_order_units,target_day_one_soh_units,projected_day_one_soh_before_order_units,projected_day_one_soh_after_recommended_order_units,expected_formula_day_one_soh_after_order,formula_difference,pass_fail
192046,Lrp Cicaplast Baume B5+ 100Ml,REVIEW,7,0,0.036,0,75.0,6.964,6.964,6.964,0.0,PASS
192083,Cerave Renew Peptide Crm 48G,REVIEW,8,0,5.0,0,185.0,3.0,3.0,3.0,0.0,PASS
188710,Cerave Moist Lotion 473Ml,REVIEW,7,0,3.857,0,142.714,3.143,3.143,3.143,0.0,PASS
188721,Cerave Sa Smooth Clns 473Ml,REVIEW,4,0,3.857,0,142.714,0.143,0.143,0.143,0.0,PASS
188715,Cerave Moist Pm 52Ml,REVIEW,7,0,3.857,0,142.714,3.143,3.143,3.143,0.0,PASS
189553,Lrp Cicaplast Baume B5 40Ml,REVIEW,8,0,0.018,0,28.667,7.982,7.982,7.982,0.0,PASS
188713,Cerave Eye Repair Cream 14Ml,REVIEW,0,0,3.143,2,116.286,0.0,2.0,2.0,0.0,PASS
16859,Lrp Anth Xl Ult Crm Spf50 50Ml,REVIEW,4,0,3.095,0,114.524,0.905,0.905,0.905,0.0,PASS
91149,Col Tp Adv Wht Baking Soda 180,REVIEW,3,0,3.0,16,111.0,0.0,16.0,16.0,0.0,PASS
87550,Lrp Xl Wet Skin Spf 50+ 200Ml,REVIEW,3,0,2.714,0,100.429,0.286,0.286,0.286,0.0,PASS
88414,Es Lashes To Impress 03,REVIEW,3,0,2.5,15,92.5,0.5,15.5,15.5,0.0,PASS
698571,Bioderma Sensibio H20 500Ml,REVIEW,15,0,2.403,0,88.896,12.597,12.597,12.597,0.0,PASS
948829,Lrp Soothing Lotion 200Ml,REVIEW,17,0,2.333,0,86.333,14.667,14.667,14.667,0.0,PASS
92848,Cerave Moist Cream Refill,REVIEW,0,0,2.286,2,84.571,0.0,2.0,2.0,0.0,PASS
92849,Cerave Moist Lotion Refill,REVIEW,5,0,2.286,0,84.571,2.714,2.714,2.714,0.0,PASS
27193,Lrp Anth D/T Spf50+ 50Ml,REVIEW,7,0,2.19,0,81.047,4.81,4.81,4.81,0.0,PASS
87418,Lrp Vitamin C12 Serum 30Ml,REVIEW,3,0,2.143,0,79.286,0.857,0.857,0.857,0.0,PASS
195445,Lrp Effaclar Duo+M 40Ml,REVIEW,16,0,2.143,0,79.286,13.857,13.857,13.857,0.0,PASS
96617,Npmu Make Em Wndr Fdn Medium,REVIEW,10,0,2.0,12,74.0,8.0,20.0,20.0,0.0,PASS
91058,Catr Allround Masc Ult Blk 010,REVIEW,2,0,2.0,12,74.0,0.0,12.0,12.0,0.0,PASS
389404,Nivea Men Apd C/Kick 250Ml,REVIEW,4,0,2.0,12,74.0,2.0,14.0,14.0,0.0,PASS
199846,Lrp Cicaplast Mask 5Pk,REVIEW,5,0,2.0,0,74.0,3.0,3.0,3.0,0.0,PASS
184707,Lrp Anth Inv/Spray Spf50+ 200M,REVIEW,7,0,1.857,0,68.714,5.143,5.143,5.143,0.0,PASS
478354,Es Long Lasting Eye Pencil 01,REVIEW,10,0,1.821,12,67.393,8.179,20.179,20.179,0.0,PASS
445650,Neut Mur Wipes Night Calm 25,REVIEW,13,0,1.81,0,66.953,11.19,11.19,11.19,0.0,PASS
15789,Npmu Setting Spray Dewy,REVIEW,4,0,1.79,0,66.226,2.21,2.21,2.21,0.0,PASS
580,Garn Micellar Sol 125Ml,REVIEW,5,0,1.778,0,65.777,3.222,3.222,3.222,0.0,PASS
199243,Cerave Rep Balm 88Ml,REVIEW,8,0,1.714,0,63.429,6.286,6.286,6.286,0.0,PASS
15792,Npmu Setting Spray Matte,REVIEW,3,0,1.681,0,62.185,1.319,1.319,1.319,0.0,PASS
63079,Npmu Brow Glue Stick,REVIEW,1,3,1.672,0,61.874,2.328,2.328,2.328,0.0,PASS
193203,May Ls Sky High Wsh,REVIEW,3,0,1.662,0,61.506,1.338,1.338,1.338,0.0,PASS
49686,Avene Thermal S/Water 300Ml,REVIEW,10,0,1.643,0,60.786,8.357,8.357,8.357,0.0,PASS
195091,Cerave Blem Cntrl Ret Srm 30Ml,REVIEW,3,0,1.571,0,58.143,1.429,1.429,1.429,0.0,PASS
94903,Lrp Hyaluron Serum 30Ml,REVIEW,3,0,1.571,0,58.143,1.429,1.429,1.429,0.0,PASS
188716,Cerave Renew Sa Foot Crm 88Ml,REVIEW,5,0,1.571,0,58.143,3.429,3.429,3.429,0.0,PASS
612448,Neut Mur Wipes Regular 25,REVIEW,4,0,1.524,0,56.381,2.476,2.476,2.476,0.0,PASS
90990,Catr Slmmtc Wp Brow Pen 050,REVIEW,3,0,1.5,10,55.5,1.5,11.5,11.5,0.0,PASS
37987,Garn H/Bomb Eye Mask Orng Juic,REVIEW,3,0,1.5,0,55.5,1.5,1.5,1.5,0.0,PASS
655035,Lrp Tol Sens 40Ml,REVIEW,3,0,1.476,0,54.619,1.524,1.524,1.524,0.0,PASS
655084,Lrp Tol Dermo Cleanser 200Ml,REVIEW,7,0,1.476,0,54.619,5.524,5.524,5.524,0.0,PASS
93339,Lrp Mela B Serum 50Ml,REVIEW,3,0,1.429,0,52.857,1.571,1.571,1.571,0.0,PASS
365033,Palmol Lhw Foam Pump Lime 250,REVIEW,6,0,1.411,8,52.196,4.589,12.589,12.589,0.0,PASS
18512,Lrp Anth Fluid Tint Spf50 50Ml,REVIEW,14,0,1.381,0,51.096,12.619,12.619,12.619,0.0,PASS
32861,Neut H/B Gel Mask 30G,REVIEW,10,0,1.381,0,51.096,8.619,8.619,8.619,0.0,PASS
194014,Csc Dly Clarifying Soln 100Ml,REVIEW,4,0,1.321,8,48.893,2.679,10.679,10.679,0.0,PASS
188719,Cerave Hyal Acid Serum 30Ml,REVIEW,4,0,1.286,0,47.571,2.714,2.714,2.714,0.0,PASS
187118,G/Mane Hair Growth Spray 100Ml,REVIEW,3,0,1.286,0,47.571,1.714,1.714,1.714,0.0,PASS
187116,G/Mane 10 Min Hair Mask 220Ml,REVIEW,3,0,1.286,0,47.571,1.714,1.714,1.714,0.0,PASS
94904,Lrp Hyalu Face Cream 50Ml,REVIEW,7,0,1.286,0,47.571,5.714,5.714,5.714,0.0,PASS
390763,U By Kotex U/T Reg Wing 14,REVIEW,6,0,1.2,0,44.4,4.8,4.8,4.8,0.0,PASS
192936,May Eye Makeup Remover 70Ml,REVIEW,3,0,2.0,12,68.318,1.0,13.0,13.0,0.0,PASS
97057,Wafgi Sen S/Screen Spf50 200Ml,REVIEW,10,0,1.143,7,42.286,8.857,15.857,15.857,0.0,PASS
90933,Cetaphil Pro S&Rep Crm 226G,REVIEW,2,0,1.143,7,42.286,0.857,7.857,7.857,0.0,PASS
92853,Cerave Blem Control Clns 473Ml,REVIEW,4,0,1.143,0,42.286,2.857,2.857,2.857,0.0,PASS
195446,Lrp Effaclar +M F/Clnsr 400Ml,REVIEW,4,0,1.143,0,42.286,2.857,2.857,2.857,0.0,PASS
193205,May Ls Sky High Cosmic Blk,REVIEW,2,3,1.117,0,41.325,3.883,3.883,3.883,0.0,PASS
186369,Neut H/B Ha Water Gel Rfl 50G,REVIEW,3,0,1.095,0,40.524,1.905,1.905,1.905,0.0,PASS
93336,Lrp Anth A/C Tint Spf50 50Ml,REVIEW,5,0,1.071,0,39.643,3.929,3.929,3.929,0.0,PASS
93951,Fraim Soft Wide Headbands 5Pk,REVIEW,17,0,1.071,0,39.643,15.929,15.929,15.929,0.0,PASS
194048,Csc Moisture+ Sheet Mask 1Pc,REVIEW,7,0,1.071,0,39.643,5.929,5.929,5.929,0.0,PASS
193212,May Ls Sky High Brown,REVIEW,3,0,1.052,0,38.922,1.948,1.948,1.948,0.0,PASS
88081,Bwy Hydrating Milk Serum 80Ml,REVIEW,6,0,1.048,0,38.761,4.952,4.952,4.952,0.0,PASS
28287,Npmu Epic Ink Lnr Black,REVIEW,4,0,1.008,0,37.311,2.992,2.992,2.992,0.0,PASS
98024,Rim Thrl Skr Lip Ltx Cap,REVIEW,3,0,1.0,7,37.0,2.0,9.0,9.0,0.0,PASS
91912,Catr Glw Eye&Chk Pal,REVIEW,2,0,1.0,7,37.0,1.0,8.0,8.0,0.0,PASS
88392,Es Drop Of Sunshine Brnz Drops,REVIEW,4,0,1.0,7,37.0,3.0,10.0,10.0,0.0,PASS
96487,May Face Lifter Fdn 325,REVIEW,2,0,1.0,7,37.0,1.0,8.0,8.0,0.0,PASS
96605,Npmu Make Em Wndr Fdn Light,REVIEW,5,0,1.0,7,37.0,4.0,11.0,11.0,0.0,PASS
96624,Npmu Make Em Wndr Fdn Warm Ric,REVIEW,2,0,1.0,7,37.0,1.0,8.0,8.0,0.0,PASS
96604,Npmu Make Em Wndr Fdn Fair Ivo,REVIEW,2,0,1.0,7,37.0,1.0,8.0,8.0,0.0,PASS
91068,Catr Hd Liquid Covrge Fndn 020,REVIEW,2,0,1.0,7,37.0,1.0,8.0,8.0,0.0,PASS
91067,Catr Hd Liquid Covrge Fndn 010,REVIEW,1,0,1.0,7,37.0,0.0,7.0,7.0,0.0,PASS
96469,May Lifter Conceal 45,REVIEW,5,0,1.0,7,37.0,4.0,11.0,11.0,0.0,PASS
96473,May Lifter Conceal 85,REVIEW,5,0,1.0,7,37.0,4.0,11.0,11.0,0.0,PASS
90457,Rim M.T Brnzcntrsclpt Light,REVIEW,3,0,1.0,7,37.0,2.0,9.0,9.0,0.0,PASS
91037,Catr The Dusty Mte Es Palette,REVIEW,3,0,1.0,7,37.0,2.0,9.0,9.0,0.0,PASS
91874,Catr Shaper Con&Glow Stick 020,REVIEW,1,0,1.0,7,37.0,0.0,7.0,7.0,0.0,PASS
97132,Rim Thrl Skr Shmr Shk El Jngle,REVIEW,4,0,1.0,7,37.0,3.0,10.0,10.0,0.0,PASS
91950,Catr Liq Brnzr 025,REVIEW,3,0,1.0,7,37.0,2.0,9.0,9.0,0.0,PASS
192363,Clairol Biu S/Perm Tone Opal,REVIEW,3,0,1.0,7,37.0,2.0,9.0,9.0,0.0,PASS
91013,Catr Oil Cntrl Fixing Spray,REVIEW,3,0,1.0,7,37.0,2.0,9.0,9.0,0.0,PASS
91903,Catr M&S Lip Blm 010,REVIEW,1,0,1.0,7,37.0,0.0,7.0,7.0,0.0,PASS
91073,Catr Glm & Doll Sclpt&Vol Masc,REVIEW,4,0,1.0,7,37.0,3.0,10.0,10.0,0.0,PASS
91051,Catr Big Bold 24H Lsh Eff Masc,REVIEW,2,0,1.0,7,37.0,1.0,8.0,8.0,0.0,PASS
91901,Catr Liq Blsh 020,REVIEW,3,0,1.0,7,37.0,2.0,9.0,9.0,0.0,PASS
91011,Catr Big Bold Dp Blk Vol Masc,REVIEW,2,0,1.0,7,37.0,1.0,8.0,8.0,0.0,PASS
91056,Catr Glam&Doll Volume Masc 010,REVIEW,2,0,1.0,7,37.0,1.0,8.0,8.0,0.0,PASS
91900,Catr Liq Blsh 030,REVIEW,2,0,1.0,7,37.0,1.0,8.0,8.0,0.0,PASS
91029,Catr Super Glue Brow Gel 010,REVIEW,3,0,1.0,7,37.0,2.0,9.0,9.0,0.0,PASS
91941,Catr U/E Brghtnr 030,REVIEW,6,0,1.0,7,37.0,5.0,12.0,12.0,0.0,PASS
91882,Catr Glsn Glw Tint Lip Oil 020,REVIEW,2,0,1.0,7,37.0,1.0,8.0,8.0,0.0,PASS
90999,Catr More Than Glow Hl 020,REVIEW,5,0,1.0,7,37.0,4.0,11.0,11.0,0.0,PASS
91063,Catr Lash Curler,REVIEW,3,0,1.0,7,37.0,2.0,9.0,9.0,0.0,PASS
91953,Catr Glw Lip Oil 070,REVIEW,3,0,1.0,7,37.0,2.0,9.0,9.0,0.0,PASS
91866,Catr Clr&Fix Brow Gel Masc 030,REVIEW,2,0,1.0,7,37.0,1.0,8.0,8.0,0.0,PASS
91952,Catr Arblsh Matt 150,REVIEW,1,0,1.0,7,37.0,0.0,7.0,7.0,0.0,PASS
95886,Es Hydra Kiss Lip Tint 01,REVIEW,7,0,1.0,7,37.0,6.0,13.0,13.0,0.0,PASS
92155,Es What The Fake Lashes 01,REVIEW,4,0,1.0,7,37.0,3.0,10.0,10.0,0.0,PASS
95879,Es Satin Glow Lum Shine Ls 02,REVIEW,5,0,1.0,7,37.0,4.0,11.0,11.0,0.0,PASS
91864,Catr Cligrph 20H Mte Liner 010,REVIEW,2,0,1.0,7,37.0,1.0,8.0,8.0,0.0,PASS
95877,Es Satin Glow Lum Shine Ls 01,REVIEW,3,0,1.0,7,37.0,2.0,9.0,9.0,0.0,PASS
95888,Es Hydra Kiss Lip Tint 02,REVIEW,4,0,1.0,7,37.0,3.0,10.0,10.0,0.0,PASS
92157,Es Brow Powder Duo Set 01,REVIEW,3,0,1.0,7,37.0,2.0,9.0,9.0,0.0,PASS
91079,Catr Gel 2In1 Base & Top Coat,REVIEW,3,0,1.0,7,37.0,2.0,9.0,9.0,0.0,PASS
91036,Catr Slmmtc Prcswp Brw Pen 060,REVIEW,3,0,1.0,7,37.0,2.0,9.0,9.0,0.0,PASS
92147,Es Baby Got Brnze Brnz Stk 40,REVIEW,4,0,1.0,7,37.0,3.0,10.0,10.0,0.0,PASS
95834,Es Camo+ Matte Concealer 180,REVIEW,5,0,1.0,7,37.0,4.0,11.0,11.0,0.0,PASS
91855,Catr 20H Prcsn Gel Wp Eye Pen,REVIEW,2,0,1.0,7,37.0,1.0,8.0,8.0,0.0,PASS
91015,Catr 20H Prcisn Wp Eye Pen 020,REVIEW,3,0,1.0,7,37.0,2.0,9.0,9.0,0.0,PASS
91885,Catr Plumping Lip Liner 170,REVIEW,3,0,1.0,7,37.0,2.0,9.0,9.0,0.0,PASS
91025,Catr Kohl Kajal Waterproof 040,REVIEW,2,0,1.0,7,37.0,1.0,8.0,8.0,0.0,PASS
21964,Es Coverstick 30 Matt Honey,REVIEW,1,0,1.0,7,37.0,0.0,7.0,7.0,0.0,PASS
67911,Neut Adv Acne Cleanser 150Ml,REVIEW,4,0,1.0,7,37.0,3.0,10.0,10.0,0.0,PASS
93344,Nivea D/C Defend Aerosol 250Ml,REVIEW,4,0,1.0,7,37.0,3.0,10.0,10.0,0.0,PASS
88301,Es Juicy Bomb Lipgloss 102,REVIEW,4,0,1.0,7,37.0,3.0,10.0,10.0,0.0,PASS
97058,Wafgi Sen S/Screen Spf50 400Ml,REVIEW,6,0,1.0,7,37.0,5.0,12.0,12.0,0.0,PASS
97120,Wafgi Zinc Light Spf50+ 50G,REVIEW,5,0,1.0,7,37.0,4.0,11.0,11.0,0.0,PASS
97059,Wafgi Groms S/Screen Spf50,REVIEW,5,0,1.0,7,37.0,4.0,11.0,11.0,0.0,PASS
193054,Mf Facefinity Fndn Fair Porc,REVIEW,4,0,1.0,6,37.0,3.0,9.0,9.0,0.0,PASS
90980,Catr Hd Liquid Covrge Fndn 065,REVIEW,0,0,1.0,6,37.0,0.0,6.0,6.0,0.0,PASS
95840,Es Camo+ Matte Concealer 130,REVIEW,0,0,1.0,6,37.0,0.0,6.0,6.0,0.0,PASS
94537,No7 Lip Oil Strawberry Glaze,REVIEW,5,0,1.0,6,37.0,4.0,10.0,10.0,0.0,PASS
94889,No7 12 Hour Artist Pencil Nois,REVIEW,5,0,1.0,6,37.0,4.0,10.0,10.0,0.0,PASS
87885,Colg Pwr T/Brush Optic Handle,REVIEW,1,0,1.0,6,37.0,0.0,6.0,6.0,0.0,PASS
194017,Csc Micropolish Powder 60G,REVIEW,3,0,1.0,6,37.0,2.0,8.0,8.0,0.0,PASS
94807,No7 Artist Liquid Blush Coral,REVIEW,5,0,1.0,6,37.0,4.0,10.0,10.0,0.0,PASS
94532,No7 Runway Ready Brow Gel Clea,REVIEW,4,0,1.0,6,37.0,3.0,9.0,9.0,0.0,PASS
91151,Col Optic Wht Purp Serum 40Ml,REVIEW,3,0,1.0,6,37.0,2.0,8.0,8.0,0.0,PASS
40732,Palmol Lhw Foam L/E 250Ml,REVIEW,3,0,1.0,6,37.0,2.0,8.0,8.0,0.0,PASS
947520,Lanolips 101 O/Ment S/Bery 10G,REVIEW,8,0,1.0,0,37.0,7.0,7.0,7.0,0.0,PASS
90330,Blistex Inten Rep Balm 4.25G,REVIEW,4,0,1.0,0,37.0,3.0,3.0,3.0,0.0,PASS
94511,Cetaphil Gentle Skin Clns 118M,REVIEW,3,0,1.0,0,37.0,2.0,2.0,2.0,0.0,PASS
63823,Swiss Cosmetic Tips Paper 100,REVIEW,6,0,1.0,0,37.0,5.0,5.0,5.0,0.0,PASS
463027,U By Kotex Tamp Reg 16'S,REVIEW,9,0,0.959,0,35.49,8.041,8.041,8.041,0.0,PASS
