sku_number,target_order_units_to_hit_day_one_soh,recommended_order_units,remaining_day_one_shortfall_units,recommendation_coverage_ratio,decision,proposed_decision,recommendation_type,reason_for_shortfall
192046,68,0,68,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
192083,182,0,182,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
188710,140,0,140,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
188721,143,0,143,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
188715,140,0,140,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
189553,21,0,21,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
188713,116,2,114,0.017,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
16859,114,0,114,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
91149,111,16,95,0.144,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
87550,100,0,100,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
88414,92,15,77,0.163,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
698571,76,0,76,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
948829,72,0,72,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
92848,85,2,83,0.024,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
92849,82,0,82,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
27193,76,0,76,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
87418,78,0,78,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
195445,65,0,65,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
96617,66,12,54,0.182,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
91058,74,12,62,0.162,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
389404,72,12,60,0.167,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
199846,71,0,71,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
184707,64,0,64,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
478354,59,12,47,0.203,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
445650,56,0,56,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
15789,64,0,64,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
580,63,0,63,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
199243,57,0,57,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
15792,61,0,61,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
63079,60,0,60,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
193203,60,0,60,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
49686,52,0,52,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
195091,57,0,57,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
94903,57,0,57,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
188716,55,0,55,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
612448,54,0,54,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
90990,54,10,44,0.185,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
37987,54,0,54,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
655035,53,0,53,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
655084,49,0,49,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
