priority_rank,store_number,promotion_name,promotion_start_date,promotion_end_date,promotion_days,prediction_date,days_until_promotion_start,sku_number,sku_description,decision,recommendation_type,recommended_order_basis,raw_model_order_units,target_order_units_to_hit_day_one_soh,commercial_recommended_order_units,recommended_order_units,operator_review_order_low_units,operator_review_order_high_units,remaining_shortfall_after_commercial_recommendation_units,remaining_day_one_shortfall_units,commercial_coverage_ratio,recommendation_coverage_ratio,stock_target_conflict_flag,stock_target_conflict_reason,target_day_one_soh_units,projected_day_one_soh_before_order_units,projected_day_one_soh_after_recommended_order_units,current_soh_units,on_order_units,estimated_demand_before_promo_start_units,predicted_promo_period_sales_units,total_expected_demand_to_promo_end_units,target_stock_on_hand_at_promo_end_units,projected_stock_on_hand_at_promo_end_units,discount_percent,avg_promo_demand_same_discount_units,expected_gp_dollars,capital_at_risk_dollars,confidence_score,confidence_label,data_quality_score,data_quality_label,decision_quality_label,reason_demand,reason_stock,reason_order,reason_risk,reason_rejection_or_hold,human_review_required,review_reason,model_status,production_ordering_approved,customer_report_release_approved,operator_decision,operator_recommended_units,operator_notes,pre_promo_demand_source,promo_period_demand_source,promo_period_demand_source_quality,promo_period_demand_fallback_flag,promo_period_demand_warning,baseline_daily_rate_units,baseline_daily_source_days,order_units_source,confidence_source,raw_model_order_units_calc,commercial_recommended_order_units_calc,target_order_units_to_hit_day_one_soh_calc,remaining_day_one_shortfall_units_calc,recommendation_type_calc,recommended_order_basis_calc,recommendation_constraint_reason,stock_target_conflict_flag_calc,raw_model_to_target_ratio,proposed_order_policy,raw_projected_start_stock_before_floor_units,projected_start_stock_floor_units_removed,projected_start_stock_floored_flag,target_end_used_floor_2_flag,formula_optimal_reconciles,data_quality_penalties,unsafe_raw_expected_units_before_promo_start,contradiction_pre_promo_dominates_promo
9,772,SE01 skincare sales event,2026-07-23,2026-07-29,7,2026-07-22,1,192083,Cerave Renew Peptide Crm 48G,REVIEW,TARGET_STOCK_REVIEW_RANGE,none,0,182,0,0,0,182,182,182,0.0,0.0,1,target_stock_requires_more_than_model_order,185.0,3.0,3.0,8,0,5.0,35.0,40.0,150.0,-32.0,40.0,35.0,0.35,112.7,35,LOW,80.0,HIGH,REVIEW_STOCK_GAP,Promo-period demand uses same-discount historical average as evidence fallback; Pre-promo demand = baseline daily rate x days until start,"Projected day-one SOH before order 3.0; target day-one SOH 185.0; target order requirement 182 units (current SOH 8, on-order 0, pre-promo demand 5.0)",Target order to hit day-one SOH: 182 units; raw model order: 0 units; commercial recommended order: 0 units; operator review range 0-182. Target stock requires more units than the model order; buyer must review the gap before ordering.,Stock target conflict: model order far below target stock requirement,,YES,risk_or_review_flag; promo_period_demand_fallback; stock_target_conflict,SHADOW_NOT_PRODUCTION,NO,NO,,,,historical_units_same_discount_avg_over_promo_days,historical_units_same_discount_avg_fallback,MEDIUM,YES,promo_demand_uses_same_discount_history_fallback,5.0,56,raw_model_order_units,model_confidence_percent,0,0,182,182,TARGET_STOCK_REVIEW_RANGE,none,target_stock_requires_more_than_model_order,1,0.0,target_stock_review_range,3.0,0.0,NO,NO,YES,promo_demand_historical_fallback; promo_period_demand_fallback; review_flag,0,False
10,772,SE01 skincare sales event,2026-07-23,2026-07-29,7,2026-07-22,1,188712,Cerave Moist Cream 340G,REVIEW,TARGET_STOCK_REVIEW_RANGE,none,0,159,0,0,0,159,159,159,0.0,0.0,1,target_stock_requires_more_than_model_order,158.571,0.0,0.0,2,0,4.286,30.0,34.286,128.571,-30.0,40.0,30.0,0.02,12.48,48,LOW,86.0,VERY_HIGH,REVIEW_STOCK_GAP,Promo-period demand uses same-discount historical average as evidence fallback; Pre-promo demand = baseline daily rate x days until start,"Projected day-one SOH before order 0.0; target day-one SOH 158.6; target order requirement 159 units (current SOH 2, on-order 0, pre-promo demand 4.3)",Target order to hit day-one SOH: 159 units; raw model order: 0 units; commercial recommended order: 0 units; operator review range 0-159. Target stock requires more units than the model order; buyer must review the gap before ordering.,Stock target conflict: model order far below target stock requirement,,YES,promo_period_demand_fallback; projected_start_stock_floored_flag; stock_target_conflict,SHADOW_NOT_PRODUCTION,NO,NO,,,,historical_units_same_discount_avg_over_promo_days,historical_units_same_discount_avg_fallback,MEDIUM,YES,promo_demand_uses_same_discount_history_fallback,4.285714,56,raw_model_order_units,model_confidence_percent,0,0,159,159,TARGET_STOCK_REVIEW_RANGE,none,target_stock_requires_more_than_model_order,1,0.0,target_stock_review_range,-2.286,2.286,YES,NO,YES,promo_demand_historical_fallback; promo_period_demand_fallback,0,False
11,772,SE01 skincare sales event,2026-07-23,2026-07-29,7,2026-07-22,1,188711,Cerave Moist Cream 177Ml,REVIEW,TARGET_STOCK_REVIEW_RANGE,none,0,143,0,0,0,143,143,143,0.0,0.0,1,target_stock_requires_more_than_model_order,142.714,0.143,0.143,4,0,3.857,27.0,30.857,115.714,-26.857,40.0,27.0,0.02,12.95,49,LOW,86.0,VERY_HIGH,REVIEW_STOCK_GAP,Promo-period demand uses same-discount historical average as evidence fallback; Pre-promo demand = baseline daily rate x days until start,"Projected day-one SOH before order 0.1; target day-one SOH 142.7; target order requirement 143 units (current SOH 4, on-order 0, pre-promo demand 3.9)",Target order to hit day-one SOH: 143 units; raw model order: 0 units; commercial recommended order: 0 units; operator review range 0-143. Target stock requires more units than the model order; buyer must review the gap before ordering.,Stock target conflict: model order far below target stock requirement,,YES,promo_period_demand_fallback; stock_target_conflict,SHADOW_NOT_PRODUCTION,NO,NO,,,,historical_units_same_discount_avg_over_promo_days,historical_units_same_discount_avg_fallback,MEDIUM,YES,promo_demand_uses_same_discount_history_fallback,3.857143,56,raw_model_order_units,model_confidence_percent,0,0,143,143,TARGET_STOCK_REVIEW_RANGE,none,target_stock_requires_more_than_model_order,1,0.0,target_stock_review_range,0.143,0.0,NO,NO,YES,promo_demand_historical_fallback; promo_period_demand_fallback,0,False
13,772,SE01 skincare sales event,2026-07-23,2026-07-29,7,2026-07-22,1,188721,Cerave Sa Smooth Clns 473Ml,REVIEW,TARGET_STOCK_REVIEW_RANGE,none,0,143,0,0,0,143,143,143,0.0,0.0,1,target_stock_requires_more_than_model_order,142.714,0.143,0.143,4,0,3.857,27.0,30.857,115.714,-26.857,40.0,27.0,0.19,30.84,36,LOW,80.0,HIGH,REVIEW_STOCK_GAP,Promo-period demand uses same-discount historical average as evidence fallback; Pre-promo demand = baseline daily rate x days until start,"Projected day-one SOH before order 0.1; target day-one SOH 142.7; target order requirement 143 units (current SOH 4, on-order 0, pre-promo demand 3.9)",Target order to hit day-one SOH: 143 units; raw model order: 0 units; commercial recommended order: 0 units; operator review range 0-143. Target stock requires more units than the model order; buyer must review the gap before ordering.,Stock target conflict: model order far below target stock requirement,,YES,risk_or_review_flag; promo_period_demand_fallback; stock_target_conflict,SHADOW_NOT_PRODUCTION,NO,NO,,,,historical_units_same_discount_avg_over_promo_days,historical_units_same_discount_avg_fallback,MEDIUM,YES,promo_demand_uses_same_discount_history_fallback,3.857143,56,raw_model_order_units,model_confidence_percent,0,0,143,143,TARGET_STOCK_REVIEW_RANGE,none,target_stock_requires_more_than_model_order,1,0.0,target_stock_review_range,0.143,0.0,NO,NO,YES,promo_demand_historical_fallback; promo_period_demand_fallback; review_flag,0,False
12,772,SE01 skincare sales event,2026-07-23,2026-07-29,7,2026-07-22,1,188710,Cerave Moist Lotion 473Ml,REVIEW,TARGET_STOCK_REVIEW_RANGE,none,0,140,0,0,0,140,140,140,0.0,0.0,1,target_stock_requires_more_than_model_order,142.714,3.143,3.143,7,0,3.857,27.0,30.857,115.714,-23.857,40.0,27.0,0.01,53.29,43,LOW,80.0,HIGH,REVIEW_STOCK_GAP,Promo-period demand uses same-discount historical average as evidence fallback; Pre-promo demand = baseline daily rate x days until start,"Projected day-one SOH before order 3.1; target day-one SOH 142.7; target order requirement 140 units (current SOH 7, on-order 0, pre-promo demand 3.9)",Target order to hit day-one SOH: 140 units; raw model order: 0 units; commercial recommended order: 0 units; operator review range 0-140. Target stock requires more units than the model order; buyer must review the gap before ordering.,Stock target conflict: model order far below target stock requirement,,YES,risk_or_review_flag; promo_period_demand_fallback; stock_target_conflict,SHADOW_NOT_PRODUCTION,NO,NO,,,,historical_units_same_discount_avg_over_promo_days,historical_units_same_discount_avg_fallback,MEDIUM,YES,promo_demand_uses_same_discount_history_fallback,3.857143,56,raw_model_order_units,model_confidence_percent,0,0,140,140,TARGET_STOCK_REVIEW_RANGE,none,target_stock_requires_more_than_model_order,1,0.0,target_stock_review_range,3.143,0.0,NO,NO,YES,promo_demand_historical_fallback; promo_period_demand_fallback; review_flag,0,False
14,772,SE01 skincare sales event,2026-07-23,2026-07-29,7,2026-07-22,1,188715,Cerave Moist Pm 52Ml,REVIEW,TARGET_STOCK_REVIEW_RANGE,none,0,140,0,0,0,140,140,140,0.0,0.0,1,target_stock_requires_more_than_model_order,142.714,3.143,3.143,7,0,3.857,27.0,30.857,115.714,-23.857,40.0,27.0,0.25,63.57,35,LOW,80.0,HIGH,REVIEW_STOCK_GAP,Promo-period demand uses same-discount historical average as evidence fallback; Pre-promo demand = baseline daily rate x days until start,"Projected day-one SOH before order 3.1; target day-one SOH 142.7; target order requirement 140 units (current SOH 7, on-order 0, pre-promo demand 3.9)",Target order to hit day-one SOH: 140 units; raw model order: 0 units; commercial recommended order: 0 units; operator review range 0-140. Target stock requires more units than the model order; buyer must review the gap before ordering.,Stock target conflict: model order far below target stock requirement,,YES,risk_or_review_flag; promo_period_demand_fallback; stock_target_conflict,SHADOW_NOT_PRODUCTION,NO,NO,,,,historical_units_same_discount_avg_over_promo_days,historical_units_same_discount_avg_fallback,MEDIUM,YES,promo_demand_uses_same_discount_history_fallback,3.857143,56,raw_model_order_units,model_confidence_percent,0,0,140,140,TARGET_STOCK_REVIEW_RANGE,none,target_stock_requires_more_than_model_order,1,0.0,target_stock_review_range,3.143,0.0,NO,NO,YES,promo_demand_historical_fallback; promo_period_demand_fallback; review_flag,0,False
17,772,SE01 skincare sales event,2026-07-23,2026-07-29,7,2026-07-22,1,94902,Lrp Hyaluron Serum 50Ml,REVIEW,TARGET_STOCK_REVIEW_RANGE,none,0,137,0,0,0,137,137,137,0.0,0.0,1,target_stock_requires_more_than_model_order,137.429,0.0,0.0,2,0,3.714,26.0,29.714,111.429,-26.0,40.0,26.0,2.24,61.32,38,LOW,86.0,VERY_HIGH,REVIEW_STOCK_GAP,Promo-period demand uses same-discount historical average as evidence fallback; Pre-promo demand = baseline daily rate x days until start,"Projected day-one SOH before order 0.0; target day-one SOH 137.4; target order requirement 137 units (current SOH 2, on-order 0, pre-promo demand 3.7)",Target order to hit day-one SOH: 137 units; raw model order: 0 units; commercial recommended order: 0 units; operator review range 0-137. Target stock requires more units than the model order; buyer must review the gap before ordering.,Stock target conflict: model order far below target stock requirement,,YES,promo_period_demand_fallback; projected_start_stock_floored_flag; stock_target_conflict,SHADOW_NOT_PRODUCTION,NO,NO,,,,historical_units_same_discount_avg_over_promo_days,historical_units_same_discount_avg_fallback,MEDIUM,YES,promo_demand_uses_same_discount_history_fallback,3.714286,56,raw_model_order_units,model_confidence_percent,0,0,137,137,TARGET_STOCK_REVIEW_RANGE,none,target_stock_requires_more_than_model_order,1,0.0,target_stock_review_range,-1.714,1.714,YES,NO,YES,promo_demand_historical_fallback; promo_period_demand_fallback,0,False
231,772,SE01 skincare sales event,2026-07-23,2026-07-29,7,2026-07-22,1,92632,Avene Cica+ Mlt P&R Crm Spf50+,REVIEW,TARGET_STOCK_REVIEW_RANGE,raw_model_order,24,130,24,24,24,130,106,106,0.185,0.185,1,target_stock_requires_more_than_model_order,133.571,3.714,27.714,8,0,4.286,5.0,9.286,128.571,22.714,40.0,5.0,0.0,272.61,58,MEDIUM,68.0,MEDIUM,REVIEW_STOCK_GAP,Promo-period demand uses same-discount historical average as evidence fallback; Pre-promo demand = baseline daily rate x days until start,"Projected day-one SOH before order 3.7; target day-one SOH 133.6; target order requirement 130 units (current SOH 8, on-order 0, pre-promo demand 4.3)",Target order to hit day-one SOH: 130 units; raw model order: 24 units; commercial recommended order: 24 units; operator review range 24-130. Commercial recommendation partially covers target; remaining shortfall 106 units.,Stock target conflict: model order far below target stock requirement,,YES,risk_or_review_flag; unsafe_pre_promo_source_rejected; promo_period_demand_fallback; stock_target_conflict,SHADOW_NOT_PRODUCTION,NO,NO,,,,lead_up_demand_units_over_days_to_promo_start,historical_units_same_discount_avg_fallback,MEDIUM,YES,promo_demand_uses_same_discount_history_fallback,4.285714,56,raw_model_order_units,model_confidence_percent,24,24,130,106,TARGET_STOCK_REVIEW_RANGE,raw_model_order,target_stock_requires_more_than_model_order,1,0.185,target_stock_review_range,3.714,0.0,NO,NO,YES,promo_demand_historical_fallback; promo_period_demand_fallback; review_flag; audit_source_pre_promo_mismatch,240,False
18,772,SE01 skincare sales event,2026-07-23,2026-07-29,7,2026-07-22,1,92846,Cerave Foaming Cleanser Refill,REVIEW,TARGET_STOCK_REVIEW_RANGE,none,0,122,0,0,0,122,122,122,0.0,0.0,1,target_stock_requires_more_than_model_order,121.571,0.0,0.0,1,0,3.286,23.0,26.286,98.571,-23.0,40.0,23.0,0.02,14.98,25,VERY_LOW,86.0,VERY_HIGH,REVIEW_STOCK_GAP,Promo-period demand uses same-discount historical average as evidence fallback; Pre-promo demand = baseline daily rate x days until start,"Projected day-one SOH before order 0.0; target day-one SOH 121.6; target order requirement 122 units (current SOH 1, on-order 0, pre-promo demand 3.3)",Target order to hit day-one SOH: 122 units; raw model order: 0 units; commercial recommended order: 0 units; operator review range 0-122. Target stock requires more units than the model order; buyer must review the gap before ordering.,Stock target conflict: model order far below target stock requirement,,YES,promo_period_demand_fallback; projected_start_stock_floored_flag; stock_target_conflict,SHADOW_NOT_PRODUCTION,NO,NO,,,,historical_units_same_discount_avg_over_promo_days,historical_units_same_discount_avg_fallback,MEDIUM,YES,promo_demand_uses_same_discount_history_fallback,3.285714,56,raw_model_order_units,model_confidence_percent,0,0,122,122,TARGET_STOCK_REVIEW_RANGE,none,target_stock_requires_more_than_model_order,1,0.0,target_stock_review_range,-2.286,2.286,YES,NO,YES,promo_demand_historical_fallback; promo_period_demand_fallback,0,False
19,772,SE01 skincare sales event,2026-07-23,2026-07-29,7,2026-07-22,1,188713,Cerave Eye Repair Cream 14Ml,REVIEW,TARGET_STOCK_REVIEW_RANGE,target_stock_policy_lift,2,116,58,58,2,116,58,58,0.5,0.5,1,target_stock_requires_more_than_model_order,116.286,0.0,58.0,0,0,3.143,22.0,25.143,94.286,36.0,40.0,22.0,0.03,11.47,48,LOW,80.0,HIGH,REVIEW_STOCK_GAP,Promo-period demand uses same-discount historical average as evidence fallback; Pre-promo demand = baseline daily rate x days until start,"Projected day-one SOH before order 0.0; target day-one SOH 116.3; target order requirement 116 units (current SOH 0, on-order 0, pre-promo demand 3.1)",Target order to hit day-one SOH: 116 units; raw model order: 2 units; commercial recommended order: 58 units; operator review range 2-116. Commercial recommendation partially covers target; remaining shortfall 58 units.,Stock target conflict: model order far below target stock requirement,,YES,risk_or_review_flag; promo_period_demand_fallback; projected_start_stock_floored_flag; stock_target_conflict,SHADOW_NOT_PRODUCTION,NO,NO,,,,historical_units_same_discount_avg_over_promo_days,historical_units_same_discount_avg_fallback,MEDIUM,YES,promo_demand_uses_same_discount_history_fallback,3.142857,56,raw_model_order_units,model_confidence_percent,2,58,116,58,TARGET_STOCK_REVIEW_RANGE,target_stock_policy_lift,target_stock_requires_more_than_model_order,1,0.017,target_stock_policy_lift,-3.143,3.143,YES,NO,YES,promo_demand_historical_fallback; promo_period_demand_fallback; review_flag,0,False
20,772,SE01 skincare sales event,2026-07-23,2026-07-29,7,2026-07-22,1,16859,Lrp Anth Xl Ult Crm Spf50 50Ml,REVIEW,TARGET_STOCK_REVIEW_RANGE,none,0,114,0,0,0,114,114,114,0.0,0.0,1,target_stock_requires_more_than_model_order,114.524,0.905,0.905,4,0,3.095,21.667,24.762,92.857,-20.762,40.0,21.667,0.25,30.69,42,LOW,80.0,HIGH,REVIEW_STOCK_GAP,Promo-period demand uses same-discount historical average as evidence fallback; Pre-promo demand = baseline daily rate x days until start,"Projected day-one SOH before order 0.9; target day-one SOH 114.5; target order requirement 114 units (current SOH 4, on-order 0, pre-promo demand 3.1)",Target order to hit day-one SOH: 114 units; raw model order: 0 units; commercial recommended order: 0 units; operator review range 0-114. Target stock requires more units than the model order; buyer must review the gap before ordering.,Stock target conflict: model order far below target stock requirement,,YES,risk_or_review_flag; promo_period_demand_fallback; stock_target_conflict,SHADOW_NOT_PRODUCTION,NO,NO,,,,historical_units_same_discount_avg_over_promo_days,historical_units_same_discount_avg_fallback,MEDIUM,YES,promo_demand_uses_same_discount_history_fallback,3.095243,56,raw_model_order_units,model_confidence_percent,0,0,114,114,TARGET_STOCK_REVIEW_RANGE,none,target_stock_requires_more_than_model_order,1,0.0,target_stock_review_range,0.905,0.0,NO,NO,YES,promo_demand_historical_fallback; promo_period_demand_fallback; review_flag,0,False
