sku_number,raw_model_order_units,target_order_units_to_hit_day_one_soh,current_recommended_order_units,proposed_commercial_recommended_order_units,raw_model_to_target_ratio,confidence_score,data_quality_score,promo_period_demand_source,proposed_order_policy
69352,2,5,2,2,0.4,63,80.0,historical_units_same_discount_avg_fallback,raw_model_constrained
67693,2,5,2,2,0.4,63,80.0,historical_units_same_discount_avg_fallback,raw_model_constrained
15841,2,4,2,2,0.5,62,80.0,historical_units_same_discount_avg_fallback,raw_model_constrained
483621,2,3,2,2,0.667,50,80.0,historical_units_same_discount_avg_fallback,raw_model_constrained
193457,2,2,2,2,1.0,59,70.0,historical_units_same_discount_avg_fallback,raw_model_constrained
193286,2,2,2,2,1.0,62,70.0,historical_units_same_discount_avg_fallback,raw_model_constrained
194821,2,2,2,2,1.0,54,70.0,historical_units_same_discount_avg_fallback,raw_model_constrained
192046,0,68,0,0,0.0,41,70.0,historical_units_same_discount_avg_fallback,target_stock_review_range
192083,0,182,0,0,0.0,35,80.0,historical_units_same_discount_avg_fallback,target_stock_review_range
188712,0,159,0,0,0.0,48,86.0,historical_units_same_discount_avg_fallback,target_stock_review_range
188711,0,143,0,0,0.0,49,86.0,historical_units_same_discount_avg_fallback,target_stock_review_range
188710,0,140,0,0,0.0,43,80.0,historical_units_same_discount_avg_fallback,target_stock_review_range
188721,0,143,0,0,0.0,36,80.0,historical_units_same_discount_avg_fallback,target_stock_review_range
188715,0,140,0,0,0.0,35,80.0,historical_units_same_discount_avg_fallback,target_stock_review_range
654921,0,18,0,0,0.0,49,76.0,historical_units_same_discount_avg_fallback,raw_model_constrained
189553,0,21,0,0,0.0,27,70.0,historical_units_same_discount_avg_fallback,target_stock_review_range
94902,0,137,0,0,0.0,38,86.0,historical_units_same_discount_avg_fallback,target_stock_review_range
92846,0,122,0,0,0.0,25,86.0,historical_units_same_discount_avg_fallback,target_stock_review_range
188713,2,116,58,58,0.017,48,80.0,historical_units_same_discount_avg_fallback,target_stock_policy_lift
16859,0,114,0,0,0.0,42,80.0,historical_units_same_discount_avg_fallback,target_stock_review_range
90912,0,110,0,0,0.0,50,86.0,historical_units_same_discount_avg_fallback,target_stock_review_range
91149,16,111,16,16,0.144,47,49.0,baseline_daily_times_promotion_days_floor,target_stock_review_range
188699,0,103,0,0,0.0,48,86.0,historical_units_same_discount_avg_fallback,target_stock_review_range
92847,0,106,0,0,0.0,25,86.0,historical_units_same_discount_avg_fallback,target_stock_review_range
87550,0,100,0,0,0.0,40,80.0,historical_units_same_discount_avg_fallback,target_stock_review_range
188704,0,95,0,0,0.0,49,86.0,historical_units_same_discount_avg_fallback,target_stock_review_range
88414,15,92,15,15,0.163,60,49.0,baseline_daily_times_promotion_days_floor,target_stock_review_range
698571,0,76,0,0,0.0,33,80.0,historical_units_same_discount_avg_fallback,target_stock_review_range
948829,0,72,0,0,0.0,26,80.0,historical_units_same_discount_avg_fallback,target_stock_review_range
90914,0,84,0,0,0.0,49,86.0,historical_units_same_discount_avg_fallback,target_stock_review_range
92848,2,85,2,2,0.024,26,80.0,historical_units_same_discount_avg_fallback,target_stock_review_range
92849,0,82,0,0,0.0,25,80.0,historical_units_same_discount_avg_fallback,target_stock_review_range
367011,0,70,0,0,0.0,49,86.0,historical_units_same_discount_avg_fallback,target_stock_review_range
27193,0,76,0,0,0.0,29,80.0,historical_units_same_discount_avg_fallback,target_stock_review_range
87418,0,78,0,0,0.0,27,80.0,historical_units_same_discount_avg_fallback,target_stock_review_range
195445,0,65,0,0,0.0,26,80.0,historical_units_same_discount_avg_fallback,target_stock_review_range
96617,12,66,12,12,0.182,67,49.0,baseline_daily_times_promotion_days_floor,target_stock_review_range
91058,12,74,12,12,0.162,67,49.0,baseline_daily_times_promotion_days_floor,target_stock_review_range
389404,12,72,12,12,0.167,65,49.0,baseline_daily_times_promotion_days_floor,target_stock_review_range
199846,0,71,0,0,0.0,26,80.0,historical_units_same_discount_avg_fallback,target_stock_review_range
43839,0,12,0,0,0.0,63,86.0,historical_units_same_discount_avg_fallback,raw_model_constrained
195051,0,10,0,0,0.0,64,86.0,historical_units_same_discount_avg_fallback,raw_model_constrained
188720,0,66,0,0,0.0,50,86.0,historical_units_same_discount_avg_fallback,target_stock_review_range
188709,0,69,0,0,0.0,41,86.0,historical_units_same_discount_avg_fallback,target_stock_review_range
184707,0,64,0,0,0.0,28,80.0,historical_units_same_discount_avg_fallback,target_stock_review_range
478354,12,59,12,12,0.203,67,49.0,baseline_daily_times_promotion_days_floor,target_stock_review_range
445650,0,56,0,0,0.0,21,80.0,historical_units_same_discount_avg_fallback,target_stock_review_range
188996,0,67,0,0,0.0,27,86.0,historical_units_same_discount_avg_fallback,target_stock_review_range
15789,0,64,0,0,0.0,27,80.0,historical_units_same_discount_avg_fallback,target_stock_review_range
580,0,63,0,0,0.0,25,80.0,historical_units_same_discount_avg_fallback,target_stock_review_range
63416,0,65,0,0,0.0,31,86.0,historical_units_same_discount_avg_fallback,target_stock_review_range
55533,0,63,0,0,0.0,27,86.0,historical_units_same_discount_avg_fallback,target_stock_review_range
199243,0,57,0,0,0.0,21,80.0,historical_units_same_discount_avg_fallback,target_stock_review_range
15792,0,61,0,0,0.0,27,80.0,historical_units_same_discount_avg_fallback,target_stock_review_range
63079,0,60,0,0,0.0,39,80.0,historical_units_same_discount_avg_fallback,target_stock_review_range
193203,0,60,0,0,0.0,27,80.0,historical_units_same_discount_avg_fallback,target_stock_review_range
49686,0,52,0,0,0.0,27,80.0,historical_units_same_discount_avg_fallback,target_stock_review_range
87417,0,58,0,0,0.0,49,86.0,historical_units_same_discount_avg_fallback,target_stock_review_range
192050,0,54,0,0,0.0,46,86.0,historical_units_same_discount_avg_fallback,target_stock_review_range
195091,0,57,0,0,0.0,41,80.0,historical_units_same_discount_avg_fallback,target_stock_review_range
94903,0,57,0,0,0.0,31,80.0,historical_units_same_discount_avg_fallback,target_stock_review_range
188716,0,55,0,0,0.0,25,80.0,historical_units_same_discount_avg_fallback,target_stock_review_range
20798,0,57,0,0,0.0,26,86.0,historical_units_same_discount_avg_fallback,target_stock_review_range
188833,0,52,0,0,0.0,56,86.0,historical_units_same_discount_avg_fallback,target_stock_review_range
612448,0,54,0,0,0.0,26,80.0,historical_units_same_discount_avg_fallback,target_stock_review_range
90990,10,54,10,10,0.185,67,49.0,baseline_daily_times_promotion_days_floor,target_stock_review_range
37987,0,54,0,0,0.0,25,80.0,historical_units_same_discount_avg_fallback,target_stock_review_range
655035,0,53,0,0,0.0,42,80.0,historical_units_same_discount_avg_fallback,target_stock_review_range
655084,0,49,0,0,0.0,41,80.0,historical_units_same_discount_avg_fallback,target_stock_review_range
199841,0,48,0,0,0.0,59,86.0,historical_units_same_discount_avg_fallback,target_stock_review_range
93339,0,51,0,0,0.0,32,80.0,historical_units_same_discount_avg_fallback,target_stock_review_range
93335,0,52,0,0,0.0,28,86.0,historical_units_same_discount_avg_fallback,target_stock_review_range
365033,8,48,8,8,0.167,52,49.0,baseline_daily_times_promotion_days_floor,target_stock_review_range
18512,0,38,0,0,0.0,25,80.0,historical_units_same_discount_avg_fallback,target_stock_review_range
32861,0,42,0,0,0.0,24,80.0,historical_units_same_discount_avg_fallback,target_stock_review_range
193204,0,48,0,0,0.0,26,86.0,historical_units_same_discount_avg_fallback,target_stock_review_range
194014,8,46,8,8,0.174,54,49.0,baseline_daily_times_promotion_days_floor,target_stock_review_range
11838,0,42,0,0,0.0,56,86.0,historical_units_same_discount_avg_fallback,target_stock_review_range
46889,0,41,0,0,0.0,63,86.0,historical_units_same_discount_avg_fallback,target_stock_review_range
87753,0,45,0,0,0.0,57,86.0,historical_units_same_discount_avg_fallback,target_stock_review_range
188719,0,45,0,0,0.0,40,80.0,historical_units_same_discount_avg_fallback,target_stock_review_range
187118,0,46,0,0,0.0,39,80.0,historical_units_same_discount_avg_fallback,target_stock_review_range
187116,0,46,0,0,0.0,35,80.0,historical_units_same_discount_avg_fallback,target_stock_review_range
94904,0,42,0,0,0.0,30,80.0,historical_units_same_discount_avg_fallback,target_stock_review_range
198637,0,42,0,0,0.0,56,86.0,historical_units_same_discount_avg_fallback,target_stock_review_range
87755,0,38,0,0,0.0,56,86.0,historical_units_same_discount_avg_fallback,target_stock_review_range
390763,0,40,0,0,0.0,27,80.0,historical_units_same_discount_avg_fallback,target_stock_review_range
495891,0,43,0,0,0.0,25,86.0,historical_units_same_discount_avg_fallback,target_stock_review_range
192936,12,67,12,12,0.179,63,68.0,historical_units_same_discount_avg_fallback,target_stock_review_range
192838,0,26,0,0,0.0,62,86.0,historical_units_same_discount_avg_fallback,target_stock_review_range
97057,7,33,7,7,0.212,63,49.0,baseline_daily_times_promotion_days_floor,target_stock_review_range
90933,7,41,7,7,0.171,44,49.0,baseline_daily_times_promotion_days_floor,target_stock_review_range
198880,0,41,0,0,0.0,28,86.0,historical_units_same_discount_avg_fallback,target_stock_review_range
92853,0,39,0,0,0.0,26,80.0,historical_units_same_discount_avg_fallback,target_stock_review_range
195446,0,39,0,0,0.0,26,80.0,historical_units_same_discount_avg_fallback,target_stock_review_range
193205,0,37,0,0,0.0,27,80.0,historical_units_same_discount_avg_fallback,target_stock_review_range
188857,0,39,0,0,0.0,58,86.0,historical_units_same_discount_avg_fallback,target_stock_review_range
186369,0,39,0,0,0.0,24,80.0,historical_units_same_discount_avg_fallback,target_stock_review_range
93336,0,36,0,0,0.0,26,80.0,historical_units_same_discount_avg_fallback,target_stock_review_range
93951,0,24,0,0,0.0,26,80.0,historical_units_same_discount_avg_fallback,target_stock_review_range
194048,0,34,0,0,0.0,25,80.0,historical_units_same_discount_avg_fallback,target_stock_review_range
200956,0,34,0,0,0.0,52,86.0,historical_units_same_discount_avg_fallback,target_stock_review_range
193212,0,37,0,0,0.0,27,80.0,historical_units_same_discount_avg_fallback,target_stock_review_range
88081,0,34,0,0,0.0,34,80.0,historical_units_same_discount_avg_fallback,target_stock_review_range
28287,0,34,0,0,0.0,27,80.0,historical_units_same_discount_avg_fallback,target_stock_review_range
98024,7,35,7,7,0.2,69,49.0,baseline_daily_times_promotion_days_floor,target_stock_review_range
91912,7,36,7,7,0.194,68,49.0,baseline_daily_times_promotion_days_floor,target_stock_review_range
88392,7,34,7,7,0.206,68,49.0,baseline_daily_times_promotion_days_floor,target_stock_review_range
96487,7,36,7,7,0.194,67,49.0,baseline_daily_times_promotion_days_floor,target_stock_review_range
96605,7,33,7,7,0.212,67,49.0,baseline_daily_times_promotion_days_floor,target_stock_review_range
96624,7,36,7,7,0.194,67,49.0,baseline_daily_times_promotion_days_floor,target_stock_review_range
96604,7,36,7,7,0.194,67,49.0,baseline_daily_times_promotion_days_floor,target_stock_review_range
91068,7,36,7,7,0.194,67,49.0,baseline_daily_times_promotion_days_floor,target_stock_review_range
91067,7,37,7,7,0.189,67,49.0,baseline_daily_times_promotion_days_floor,target_stock_review_range
96469,7,33,7,7,0.212,67,49.0,baseline_daily_times_promotion_days_floor,target_stock_review_range
96473,7,33,7,7,0.212,67,49.0,baseline_daily_times_promotion_days_floor,target_stock_review_range
90457,7,35,7,7,0.2,67,49.0,baseline_daily_times_promotion_days_floor,target_stock_review_range
91037,7,35,7,7,0.2,67,49.0,baseline_daily_times_promotion_days_floor,target_stock_review_range
91874,7,37,7,7,0.189,67,49.0,baseline_daily_times_promotion_days_floor,target_stock_review_range
97132,7,34,7,7,0.206,67,49.0,baseline_daily_times_promotion_days_floor,target_stock_review_range
91950,7,35,7,7,0.2,67,49.0,baseline_daily_times_promotion_days_floor,target_stock_review_range
192363,7,35,7,7,0.2,67,49.0,baseline_daily_times_promotion_days_floor,target_stock_review_range
91013,7,35,7,7,0.2,67,49.0,baseline_daily_times_promotion_days_floor,target_stock_review_range
91903,7,37,7,7,0.189,67,49.0,baseline_daily_times_promotion_days_floor,target_stock_review_range
91073,7,34,7,7,0.206,67,49.0,baseline_daily_times_promotion_days_floor,target_stock_review_range
91051,7,36,7,7,0.194,67,49.0,baseline_daily_times_promotion_days_floor,target_stock_review_range
91901,7,35,7,7,0.2,67,49.0,baseline_daily_times_promotion_days_floor,target_stock_review_range
91011,7,36,7,7,0.194,67,49.0,baseline_daily_times_promotion_days_floor,target_stock_review_range
91056,7,36,7,7,0.194,67,49.0,baseline_daily_times_promotion_days_floor,target_stock_review_range
91900,7,36,7,7,0.194,67,49.0,baseline_daily_times_promotion_days_floor,target_stock_review_range
91029,7,35,7,7,0.2,67,49.0,baseline_daily_times_promotion_days_floor,target_stock_review_range
91941,7,32,7,7,0.219,67,49.0,baseline_daily_times_promotion_days_floor,target_stock_review_range
91882,7,36,7,7,0.194,67,49.0,baseline_daily_times_promotion_days_floor,target_stock_review_range
90999,7,33,7,7,0.212,67,49.0,baseline_daily_times_promotion_days_floor,target_stock_review_range
91063,7,35,7,7,0.2,67,49.0,baseline_daily_times_promotion_days_floor,target_stock_review_range
91953,7,35,7,7,0.2,67,49.0,baseline_daily_times_promotion_days_floor,target_stock_review_range
91866,7,36,7,7,0.194,67,49.0,baseline_daily_times_promotion_days_floor,target_stock_review_range
91952,7,37,7,7,0.189,67,49.0,baseline_daily_times_promotion_days_floor,target_stock_review_range
95886,7,31,7,7,0.226,67,49.0,baseline_daily_times_promotion_days_floor,target_stock_review_range
92155,7,34,7,7,0.206,67,49.0,baseline_daily_times_promotion_days_floor,target_stock_review_range
95879,7,33,7,7,0.212,67,49.0,baseline_daily_times_promotion_days_floor,target_stock_review_range
91864,7,36,7,7,0.194,67,49.0,baseline_daily_times_promotion_days_floor,target_stock_review_range
95877,7,35,7,7,0.2,67,49.0,baseline_daily_times_promotion_days_floor,target_stock_review_range
95888,7,34,7,7,0.206,67,49.0,baseline_daily_times_promotion_days_floor,target_stock_review_range
92157,7,35,7,7,0.2,67,49.0,baseline_daily_times_promotion_days_floor,target_stock_review_range
91079,7,35,7,7,0.2,67,49.0,baseline_daily_times_promotion_days_floor,target_stock_review_range
91036,7,35,7,7,0.2,67,49.0,baseline_daily_times_promotion_days_floor,target_stock_review_range
92147,7,34,7,7,0.206,67,49.0,baseline_daily_times_promotion_days_floor,target_stock_review_range
95834,7,33,7,7,0.212,67,49.0,baseline_daily_times_promotion_days_floor,target_stock_review_range
91855,7,36,7,7,0.194,67,49.0,baseline_daily_times_promotion_days_floor,target_stock_review_range
91015,7,35,7,7,0.2,67,49.0,baseline_daily_times_promotion_days_floor,target_stock_review_range
91885,7,35,7,7,0.2,67,49.0,baseline_daily_times_promotion_days_floor,target_stock_review_range
91025,7,36,7,7,0.194,67,49.0,baseline_daily_times_promotion_days_floor,target_stock_review_range
21964,7,37,7,7,0.189,66,49.0,baseline_daily_times_promotion_days_floor,target_stock_review_range
67911,7,34,7,7,0.206,65,49.0,baseline_daily_times_promotion_days_floor,target_stock_review_range
93344,7,34,7,7,0.206,65,49.0,baseline_daily_times_promotion_days_floor,target_stock_review_range
88301,7,34,7,7,0.206,65,49.0,baseline_daily_times_promotion_days_floor,target_stock_review_range
97058,7,32,7,7,0.219,63,49.0,baseline_daily_times_promotion_days_floor,target_stock_review_range
97120,7,33,7,7,0.212,63,49.0,baseline_daily_times_promotion_days_floor,target_stock_review_range
97059,7,33,7,7,0.212,63,49.0,baseline_daily_times_promotion_days_floor,target_stock_review_range
193054,6,34,6,6,0.176,62,49.0,baseline_daily_times_promotion_days_floor,target_stock_review_range
90980,6,37,6,6,0.162,62,49.0,baseline_daily_times_promotion_days_floor,target_stock_review_range
95840,6,37,6,6,0.162,62,49.0,baseline_daily_times_promotion_days_floor,target_stock_review_range
94537,6,33,6,6,0.182,59,49.0,baseline_daily_times_promotion_days_floor,target_stock_review_range
94889,6,33,6,6,0.182,56,49.0,baseline_daily_times_promotion_days_floor,target_stock_review_range
87885,6,37,6,6,0.162,56,49.0,baseline_daily_times_promotion_days_floor,target_stock_review_range
57452,0,35,0,0,0.0,56,86.0,historical_units_same_discount_avg_fallback,target_stock_review_range
194017,6,35,6,6,0.171,55,49.0,baseline_daily_times_promotion_days_floor,target_stock_review_range
94807,6,33,6,6,0.182,54,49.0,baseline_daily_times_promotion_days_floor,target_stock_review_range
94532,6,34,6,6,0.176,52,49.0,baseline_daily_times_promotion_days_floor,target_stock_review_range
42110,0,23,0,0,0.0,52,86.0,historical_units_same_discount_avg_fallback,target_stock_review_range
91151,6,35,6,6,0.171,51,49.0,baseline_daily_times_promotion_days_floor,target_stock_review_range
40732,6,35,6,6,0.171,51,49.0,baseline_daily_times_promotion_days_floor,target_stock_review_range
195978,0,36,0,0,0.0,51,86.0,historical_units_same_discount_avg_fallback,target_stock_review_range
947520,0,30,0,0,0.0,35,80.0,historical_units_same_discount_avg_fallback,target_stock_review_range
90330,0,34,0,0,0.0,24,80.0,historical_units_same_discount_avg_fallback,target_stock_review_range
94511,0,35,0,0,0.0,24,80.0,historical_units_same_discount_avg_fallback,target_stock_review_range
63823,0,32,0,0,0.0,24,80.0,historical_units_same_discount_avg_fallback,target_stock_review_range
62765,0,30,0,0,0.0,56,86.0,historical_units_same_discount_avg_fallback,target_stock_review_range
463027,0,27,0,0,0.0,27,80.0,historical_units_same_discount_avg_fallback,target_stock_review_range
655050,0,33,0,0,0.0,34,80.0,historical_units_same_discount_avg_fallback,target_stock_review_range
31874,0,22,0,0,0.0,26,80.0,historical_units_same_discount_avg_fallback,target_stock_review_range
591904,0,33,0,0,0.0,24,80.0,historical_units_same_discount_avg_fallback,target_stock_review_range
475114,0,24,0,0,0.0,29,80.0,historical_units_same_discount_avg_fallback,target_stock_review_range
798169,0,30,0,0,0.0,29,80.0,historical_units_same_discount_avg_fallback,target_stock_review_range
491852,0,33,0,0,0.0,25,80.0,historical_units_same_discount_avg_fallback,target_stock_review_range
49087,0,25,0,0,0.0,62,86.0,historical_units_same_discount_avg_fallback,target_stock_review_range
93337,0,33,0,0,0.0,26,86.0,historical_units_same_discount_avg_fallback,target_stock_review_range
490563,0,23,0,0,0.0,29,80.0,historical_units_same_discount_avg_fallback,target_stock_review_range
75453,0,31,0,0,0.0,44,80.0,historical_units_same_discount_avg_fallback,target_stock_review_range
188766,0,23,0,0,0.0,29,80.0,historical_units_same_discount_avg_fallback,target_stock_review_range
184706,0,31,0,0,0.0,28,80.0,historical_units_same_discount_avg_fallback,target_stock_review_range
188852,0,30,0,0,0.0,56,86.0,historical_units_same_discount_avg_fallback,target_stock_review_range
62768,0,30,0,0,0.0,27,80.0,historical_units_same_discount_avg_fallback,target_stock_review_range
188714,0,28,0,0,0.0,24,80.0,historical_units_same_discount_avg_fallback,target_stock_review_range
90374,0,30,0,0,0.0,24,80.0,historical_units_same_discount_avg_fallback,target_stock_review_range
