sku_number,baseline_daily_rate_units,baseline_daily_source_days,baseline_7_day_units,historical_units_same_discount_avg,current_predicted_promo_period_sales_units,proposed_promo_period_sales_units,promo_demand_floor_reason
15847,0.2521,56,1.765,1.765,0.0,1.765,
94063,0.5,56,3.5,1.0,0.0,1.0,
69352,0.142857,56,1.0,1.0,0.0,1.0,
67693,0.142857,56,1.0,1.0,0.0,1.0,
15841,0.117643,56,0.824,0.824,0.0,0.824,
483621,0.093171,56,0.652,0.652,0.0,0.652,
193457,0.035714,56,0.25,0.25,0.0,0.25,
193143,0.5,56,3.5,0.214,0.0,0.214,
193286,0.030614,56,0.214,0.214,0.0,0.214,
194821,0.028571,56,0.2,0.2,0.0,0.2,
192046,0.035714,56,0.25,73.0,0.0,73.0,
192083,5.0,56,35.0,35.0,0.0,35.0,
188712,4.285714,56,30.0,30.0,0.0,30.0,
188711,3.857143,56,27.0,27.0,0.0,27.0,
188710,3.857143,56,27.0,27.0,0.0,27.0,
188721,3.857143,56,27.0,27.0,0.0,27.0,
188715,3.857143,56,27.0,27.0,0.0,27.0,
654921,0.017857,56,0.125,27.0,0.0,27.0,
189553,0.017857,56,0.125,26.667,0.0,26.667,
94902,3.714286,56,26.0,26.0,0.0,26.0,
92846,3.285714,56,23.0,23.0,0.0,23.0,
188713,3.142857,56,22.0,22.0,0.0,22.0,
16859,3.095243,56,21.667,21.667,0.0,21.667,
90912,3.0,56,21.0,21.0,0.0,21.0,
91149,3.0,56,21.0,0.0,0.0,21.0,
188699,2.857143,56,20.0,20.0,0.0,20.0,
92847,2.857143,56,20.0,20.0,0.0,20.0,
87550,2.714286,56,19.0,19.0,0.0,19.0,
188704,2.571429,56,18.0,18.0,0.0,18.0,
88414,2.5,56,17.5,0.0,0.0,17.5,
698571,2.4026,56,16.818,16.818,0.0,16.818,
948829,2.333329,56,16.333,16.333,0.0,16.333,
90914,2.285714,56,16.0,16.0,0.0,16.0,
92848,2.285714,56,16.0,16.0,0.0,16.0,
92849,2.285714,56,16.0,16.0,0.0,16.0,
367011,2.214286,56,15.5,15.5,0.0,15.5,
27193,2.190471,56,15.333,15.333,0.0,15.333,
87418,2.142857,56,15.0,15.0,0.0,15.0,
195445,2.142857,56,15.0,15.0,0.0,15.0,
96617,2.0,56,14.0,0.0,0.0,14.0,
91058,2.0,56,14.0,0.0,0.0,14.0,
389404,2.0,56,14.0,0.0,0.0,14.0,
199846,2.0,56,14.0,14.0,0.0,14.0,
43839,1.946429,56,13.625,13.625,0.0,13.625,
195051,1.904757,56,13.333,13.333,0.0,13.333,
188720,1.857143,56,13.0,13.0,0.0,13.0,
188709,1.857143,56,13.0,13.0,0.0,13.0,
184707,1.857143,56,13.0,13.0,0.0,13.0,
478354,1.821429,56,12.75,0.0,0.0,12.75,
445650,1.809529,56,12.667,12.667,0.0,12.667,
188996,1.803571,56,12.625,12.625,0.0,12.625,
15789,1.789914,56,12.529,12.529,0.0,12.529,
580,1.777771,56,12.444,12.444,0.0,12.444,
63416,1.7619,56,12.333,12.333,0.0,12.333,
55533,1.714286,56,12.0,12.0,0.0,12.0,
199243,1.714286,56,12.0,12.0,0.0,12.0,
