priority_rank,store_number,promotion_name,promotion_start_date,promotion_end_date,promotion_days,prediction_date,days_until_promotion_start,sku_number,sku_description,decision,order_strategy,recommended_order_basis,promo_units_expected_to_sell,stock_needed_for_promo_sales,stock_needed_to_finish_with_target_cover,order_needed_to_cover_promo_sales,order_needed_to_reach_full_stock_target,full_target_order_units,recommended_promo_cover_order_units,recommended_base_stock_order_units,commercial_recommended_order_units,recommended_order_units,remaining_promo_sales_stock_gap,remaining_end_stock_gap,remaining_shortfall_after_commercial_recommendation_units,remaining_day_one_shortfall_units,commercial_coverage_ratio,recommendation_coverage_ratio,raw_model_order_units,operator_review_order_low_units,operator_review_order_high_units,target_day_one_soh_units,projected_day_one_soh_before_order_units,projected_day_one_soh_after_recommended_order_units,current_soh_units,on_order_units,estimated_demand_before_promo_start_units,target_stock_on_hand_at_promo_end_units,total_expected_demand_to_promo_end_units,projected_stock_on_hand_at_promo_end_units,discount_percent,avg_promo_demand_same_discount_units,expected_gp_dollars,capital_at_risk_dollars,confidence_score,confidence_label,data_quality_score,data_quality_label,decision_quality_label,stock_target_conflict_flag,reason_demand,reason_stock,reason_order,reason_risk,reason_rejection_or_hold,human_review_required,review_reason,model_status,production_ordering_approved,customer_report_release_approved,operator_decision,operator_recommended_units,operator_notes,promo_portion_visible,base_portion_visible,partial_or_full,gap_explained
1,772,SE01 skincare sales event,2026-07-23,2026-07-29,7,2026-07-22,1,15847,Npmu Lg Butter Ginger Snap,BUY,RAW_MODEL_CONSERVATIVE,raw_model_order,1.765,1.765,7.563,2,8,10,2,0,2,2,0,8,8,8,0.2,0.2,2,2,10,9.328,0.0,2.0,0,0,0.252,7.563,2.017,0.235,50.0,1.765,0.01,6.24,50,MEDIUM,80.0,HIGH,REVIEW_LOW_CONFIDENCE,0,Promo-period demand uses same-discount historical average as evidence fallback; Pre-promo demand = baseline daily rate x days until start,Projected day-one SOH before order 0.0; promo cover required 1.8 units; base-stock required 7.6 units; current and on-order stock do not cover expected promo sales,Promo cover order gap 2 units; base-stock replenishment gap 8 units; raw model 2; commercial recommended promo 2 + base 0 = 2. Recommendation covers promo sales first; end-stock replenishment remains for review.,Unsafe or fallback promo demand source,,YES,risk_or_review_flag; promo_period_demand_fallback; projected_start_stock_floored_flag,SHADOW_NOT_PRODUCTION,NO,NO,,,,True,True,partial,True
2,772,SE01 skincare sales event,2026-07-23,2026-07-29,7,2026-07-22,1,94063,Npmu Bmelt Brnz Butta'D Down,BUY,RAW_MODEL_CONSERVATIVE,raw_model_order,1.0,1.0,15.0,0,14,14,0,4,4,4,0,10,10,10,0.286,0.286,4,4,14,16.0,2.5,6.5,3,0,0.5,15.0,1.5,5.5,50.0,1.0,12.24,10.3,67,MEDIUM,68.0,MEDIUM,REVIEW_LOW_CONFIDENCE,0,Promo-period demand uses same-discount historical average as evidence fallback; Pre-promo demand = baseline daily rate x days until start,Projected day-one SOH before order 2.5; promo cover required 1.0 units; base-stock required 15.0 units; stock covers expected promo sales before order,Promo cover order gap 0 units; base-stock replenishment gap 14 units; raw model 4; commercial recommended promo 0 + base 4 = 4. Recommendation covers promo sales first; end-stock replenishment remains for review.,Unsafe or fallback promo demand source,,YES,risk_or_review_flag; unsafe_pre_promo_source_rejected; promo_period_demand_fallback,SHADOW_NOT_PRODUCTION,NO,NO,,,,True,True,partial,True
3,772,SE01 skincare sales event,2026-07-23,2026-07-29,7,2026-07-22,1,69352,Plunk Superfade D/P Moistr,BUY,RAW_MODEL_CONSERVATIVE,raw_model_order,1.0,1.0,4.286,1,4,5,1,1,2,2,0,3,3,3,0.4,0.4,2,2,5,5.286,0.0,2.0,0,0,0.143,4.286,1.143,1.0,40.0,1.0,0.01,10.85,63,MEDIUM,80.0,HIGH,REVIEW_LOW_CONFIDENCE,0,Promo-period demand uses same-discount historical average as evidence fallback; Pre-promo demand = baseline daily rate x days until start,Projected day-one SOH before order 0.0; promo cover required 1.0 units; base-stock required 4.3 units; current and on-order stock do not cover expected promo sales,Promo cover order gap 1 units; base-stock replenishment gap 4 units; raw model 2; commercial recommended promo 1 + base 1 = 2. Recommendation covers promo sales first; end-stock replenishment remains for review.,Unsafe or fallback promo demand source,,YES,risk_or_review_flag; promo_period_demand_fallback; projected_start_stock_floored_flag,SHADOW_NOT_PRODUCTION,NO,NO,,,,True,True,partial,True
4,772,SE01 skincare sales event,2026-07-23,2026-07-29,7,2026-07-22,1,67693,Rim Wndr'Full Brow Gel Clr,BUY,RAW_MODEL_CONSERVATIVE,raw_model_order,1.0,1.0,4.286,1,4,5,1,1,2,2,0,3,3,3,0.4,0.4,2,2,5,5.286,0.0,2.0,0,0,0.143,4.286,1.143,1.0,50.0,1.0,0.01,3.45,63,MEDIUM,80.0,HIGH,REVIEW_LOW_CONFIDENCE,0,Promo-period demand uses same-discount historical average as evidence fallback; Pre-promo demand = baseline daily rate x days until start,Projected day-one SOH before order 0.0; promo cover required 1.0 units; base-stock required 4.3 units; current and on-order stock do not cover expected promo sales,Promo cover order gap 1 units; base-stock replenishment gap 4 units; raw model 2; commercial recommended promo 1 + base 1 = 2. Recommendation covers promo sales first; end-stock replenishment remains for review.,Unsafe or fallback promo demand source,,YES,risk_or_review_flag; promo_period_demand_fallback; projected_start_stock_floored_flag,SHADOW_NOT_PRODUCTION,NO,NO,,,,True,True,partial,True
5,772,SE01 skincare sales event,2026-07-23,2026-07-29,7,2026-07-22,1,15841,Npmu Lg Butter Angel Food Cke,BUY,RAW_MODEL_CONSERVATIVE,raw_model_order,0.824,0.824,3.529,1,4,5,1,1,2,2,0,3,3,3,0.4,0.4,2,2,5,4.353,0.0,2.0,0,0,0.118,3.529,0.942,1.176,50.0,0.824,0.0,4.78,62,MEDIUM,80.0,HIGH,REVIEW_LOW_CONFIDENCE,0,Promo-period demand uses same-discount historical average as evidence fallback; Pre-promo demand = baseline daily rate x days until start,Projected day-one SOH before order 0.0; promo cover required 0.8 units; base-stock required 3.5 units; current and on-order stock do not cover expected promo sales,Promo cover order gap 1 units; base-stock replenishment gap 4 units; raw model 2; commercial recommended promo 1 + base 1 = 2. Recommendation covers promo sales first; end-stock replenishment remains for review.,Unsafe or fallback promo demand source,,YES,risk_or_review_flag; promo_period_demand_fallback; projected_start_stock_floored_flag,SHADOW_NOT_PRODUCTION,NO,NO,,,,True,True,partial,True
6,772,SE01 skincare sales event,2026-07-23,2026-07-29,7,2026-07-22,1,483621,Antip Hos C/Plump W/Ser 30Ml,BUY,RAW_MODEL_CONSERVATIVE,raw_model_order,0.652,0.652,2.795,1,3,4,1,1,2,2,0,2,2,2,0.5,0.5,2,2,4,3.447,0.0,2.0,0,0,0.093,2.795,0.745,1.348,40.0,0.652,0.05,20.52,50,MEDIUM,80.0,HIGH,REVIEW_LOW_CONFIDENCE,0,Promo-period demand uses same-discount historical average as evidence fallback; Pre-promo demand = baseline daily rate x days until start,Projected day-one SOH before order 0.0; promo cover required 0.7 units; base-stock required 2.8 units; current and on-order stock do not cover expected promo sales,Promo cover order gap 1 units; base-stock replenishment gap 3 units; raw model 2; commercial recommended promo 1 + base 1 = 2. Recommendation covers promo sales first; end-stock replenishment remains for review.,Unsafe or fallback promo demand source,,YES,risk_or_review_flag; promo_period_demand_fallback; projected_start_stock_floored_flag,SHADOW_NOT_PRODUCTION,NO,NO,,,,True,True,partial,True
7,772,SE01 skincare sales event,2026-07-23,2026-07-29,7,2026-07-22,1,193457,Embryolisse Lcreme Fluid 75Ml,BUY,FULL_TARGET_ORDER,raw_model_order,0.25,0.25,2.0,0,2,2,0,2,2,2,0,0,0,0,1.0,1.0,2,2,2,2.25,0.0,2.0,0,0,0.036,2.0,0.286,1.75,20.0,0.25,0.0,10.7,59,MEDIUM,70.0,HIGH,REVIEW_LOW_CONFIDENCE,0,Promo-period demand uses same-discount historical average as evidence fallback; Pre-promo demand = baseline daily rate x days until start,Projected day-one SOH before order 0.0; promo cover required 0.2 units; base-stock required 2.0 units; current and on-order stock do not cover expected promo sales,Promo cover order gap 0 units; base-stock replenishment gap 2 units; raw model 2; commercial recommended promo 0 + base 2 = 2. Recommendation covers promo sales and end-stock target.,Unsafe or fallback promo demand source,,YES,risk_or_review_flag; missing_sku_specific_30_day_cover_used_floor_2; promo_period_demand_fallback; projected_start_stock_floored_flag,SHADOW_NOT_PRODUCTION,NO,NO,,,,True,True,full,True
8,772,SE01 skincare sales event,2026-07-23,2026-07-29,7,2026-07-22,1,193143,Npmu Bwm Calm Conclr Med Gold,BUY,RAW_MODEL_CONSERVATIVE,raw_model_order,0.214,0.214,15.0,0,14,14,0,4,4,4,0,10,10,10,0.286,0.286,4,4,14,15.214,1.5,5.5,2,0,0.5,15.0,0.714,5.286,50.0,0.214,9.16,11.37,68,MEDIUM,68.0,MEDIUM,REVIEW_LOW_CONFIDENCE,0,Promo-period demand uses same-discount historical average as evidence fallback; Pre-promo demand = baseline daily rate x days until start,Projected day-one SOH before order 1.5; promo cover required 0.2 units; base-stock required 15.0 units; stock covers expected promo sales before order,Promo cover order gap 0 units; base-stock replenishment gap 14 units; raw model 4; commercial recommended promo 0 + base 4 = 4. Recommendation covers promo sales first; end-stock replenishment remains for review.,Unsafe or fallback promo demand source,,YES,risk_or_review_flag; unsafe_pre_promo_source_rejected; promo_period_demand_fallback,SHADOW_NOT_PRODUCTION,NO,NO,,,,True,True,partial,True
9,772,SE01 skincare sales event,2026-07-23,2026-07-29,7,2026-07-22,1,193286,Rim Lastfin 35Hr Fndn True Iv,BUY,FULL_TARGET_ORDER,raw_model_order,0.214,0.214,2.0,0,2,2,0,2,2,2,0,0,0,0,1.0,1.0,2,2,2,2.214,0.0,2.0,0,0,0.031,2.0,0.245,1.786,50.0,0.214,0.01,6.4,62,MEDIUM,70.0,HIGH,REVIEW_LOW_CONFIDENCE,0,Promo-period demand uses same-discount historical average as evidence fallback; Pre-promo demand = baseline daily rate x days until start,Projected day-one SOH before order 0.0; promo cover required 0.2 units; base-stock required 2.0 units; current and on-order stock do not cover expected promo sales,Promo cover order gap 0 units; base-stock replenishment gap 2 units; raw model 2; commercial recommended promo 0 + base 2 = 2. Recommendation covers promo sales and end-stock target.,Unsafe or fallback promo demand source,,YES,risk_or_review_flag; missing_sku_specific_30_day_cover_used_floor_2; promo_period_demand_fallback; projected_start_stock_floored_flag,SHADOW_NOT_PRODUCTION,NO,NO,,,,True,True,full,True
10,772,SE01 skincare sales event,2026-07-23,2026-07-29,7,2026-07-22,1,194821,Dv Hair+Scalp Ex Hyd Cond500Ml,BUY,FULL_TARGET_ORDER,raw_model_order,0.2,0.2,2.0,0,2,2,0,2,2,2,0,0,0,0,1.0,1.0,2,2,2,2.2,0.0,2.0,0,0,0.029,2.0,0.229,1.8,40.0,0.2,0.0,9.39,54,MEDIUM,70.0,HIGH,REVIEW_LOW_CONFIDENCE,0,Promo-period demand uses same-discount historical average as evidence fallback; Pre-promo demand = baseline daily rate x days until start,Projected day-one SOH before order 0.0; promo cover required 0.2 units; base-stock required 2.0 units; current and on-order stock do not cover expected promo sales,Promo cover order gap 0 units; base-stock replenishment gap 2 units; raw model 2; commercial recommended promo 0 + base 2 = 2. Recommendation covers promo sales and end-stock target.,Unsafe or fallback promo demand source,,YES,risk_or_review_flag; missing_sku_specific_30_day_cover_used_floor_2; promo_period_demand_fallback; projected_start_stock_floored_flag,SHADOW_NOT_PRODUCTION,NO,NO,,,,True,True,full,True
