sku_number,promo_cover_order_units,base_stock_replenishment_units,full_target_order_units_after,raw_model_order_units,commercial_recommended_order_units_after,recommended_promo_cover_order_units,recommended_base_stock_order_units,remaining_promo_cover_gap_units,remaining_base_stock_gap_units,decision,commercial_recommended_order_units_before,full_target_order_units_before
15847,2,8,10,2,2,2,0,0,8,BUY,2,10
94063,0,14,14,4,4,0,4,0,10,BUY,4,14
69352,1,4,5,2,2,1,1,0,3,BUY,2,5
67693,1,4,5,2,2,1,1,0,3,BUY,2,5
15841,1,4,5,2,2,1,1,0,3,BUY,2,5
483621,1,3,4,2,2,1,1,0,2,BUY,2,4
193457,0,2,2,2,2,0,2,0,0,BUY,2,2
193143,0,14,14,4,4,0,4,0,10,BUY,4,14
193286,0,2,2,2,2,0,2,0,0,BUY,2,2
194821,0,2,2,2,2,0,2,0,0,BUY,2,2
192046,66,2,68,0,0,0,0,66,2,REVIEW,0,68
192083,32,150,182,0,0,0,0,32,150,REVIEW,0,182
188712,30,129,159,0,0,0,0,30,129,REVIEW,0,159
188711,27,116,143,0,0,0,0,27,116,REVIEW,0,143
188710,24,116,140,0,0,0,0,24,116,REVIEW,0,140
188721,27,116,143,0,0,0,0,27,116,REVIEW,0,143
188715,24,116,140,0,0,0,0,24,116,REVIEW,0,140
654921,16,2,18,0,0,0,0,16,2,REVIEW,0,18
189553,19,2,21,0,0,0,0,19,2,REVIEW,0,21
94902,26,111,137,0,0,0,0,26,111,REVIEW,0,137
92846,23,99,122,0,0,0,0,23,99,REVIEW,0,122
188713,22,94,116,2,2,2,0,20,94,REVIEW,2,116
16859,21,93,114,0,0,0,0,21,93,REVIEW,0,114
90912,20,90,110,0,0,0,0,20,90,REVIEW,0,110
91149,21,90,111,16,16,16,0,5,90,REVIEW,16,111
188699,17,86,103,0,0,0,0,17,86,REVIEW,0,103
92847,20,86,106,0,0,0,0,20,86,REVIEW,0,106
87550,19,81,100,0,0,0,0,19,81,REVIEW,0,100
