sku_number,sku_description,promo_units_expected_to_sell,stock_needed_to_finish_with_target_cover,target_day_one_soh_units,promo_demand_share_of_target_day_one,target_end_stock_share_of_target_day_one,full_target_order_units,recommended_order_units,remaining_day_one_shortfall_units,classification
15847,Npmu Lg Butter Ginger Snap,1.765,7.563,9.328,0.189,0.811,10,2,8,base_stock_gap
94063,Npmu Bmelt Brnz Butta'D Down,1.0,15.0,16.0,0.062,0.938,14,4,10,base_stock_gap
69352,Plunk Superfade D/P Moistr,1.0,4.286,5.286,0.189,0.811,5,2,3,base_stock_gap
67693,Rim Wndr'Full Brow Gel Clr,1.0,4.286,5.286,0.189,0.811,5,2,3,base_stock_gap
15841,Npmu Lg Butter Angel Food Cke,0.824,3.529,4.353,0.189,0.811,5,2,3,base_stock_gap
483621,Antip Hos C/Plump W/Ser 30Ml,0.652,2.795,3.447,0.189,0.811,4,2,2,covered_or_low
193457,Embryolisse Lcreme Fluid 75Ml,0.25,2.0,2.25,0.111,0.889,2,2,0,covered_or_low
193143,Npmu Bwm Calm Conclr Med Gold,0.214,15.0,15.214,0.014,0.986,14,4,10,base_stock_gap
193286,Rim Lastfin 35Hr Fndn True Iv,0.214,2.0,2.214,0.097,0.903,2,2,0,covered_or_low
194821,Dv Hair+Scalp Ex Hyd Cond500Ml,0.2,2.0,2.2,0.091,0.909,2,2,0,covered_or_low
192046,Lrp Cicaplast Baume B5+ 100Ml,73.0,2.0,75.0,0.973,0.027,68,0,68,promo_cover_gap
192083,Cerave Renew Peptide Crm 48G,35.0,150.0,185.0,0.189,0.811,182,0,182,promo_cover_gap
188712,Cerave Moist Cream 340G,30.0,128.571,158.571,0.189,0.811,159,0,159,promo_cover_gap
188711,Cerave Moist Cream 177Ml,27.0,115.714,142.714,0.189,0.811,143,0,143,promo_cover_gap
188710,Cerave Moist Lotion 473Ml,27.0,115.714,142.714,0.189,0.811,140,0,140,promo_cover_gap
188721,Cerave Sa Smooth Clns 473Ml,27.0,115.714,142.714,0.189,0.811,143,0,143,promo_cover_gap
188715,Cerave Moist Pm 52Ml,27.0,115.714,142.714,0.189,0.811,140,0,140,promo_cover_gap
654921,Lrp Anth Fluid Spf50 50Ml,27.0,2.0,29.0,0.931,0.069,18,0,18,promo_cover_gap
189553,Lrp Cicaplast Baume B5 40Ml,26.667,2.0,28.667,0.93,0.07,21,0,21,promo_cover_gap
94902,Lrp Hyaluron Serum 50Ml,26.0,111.429,137.429,0.189,0.811,137,0,137,promo_cover_gap
92846,Cerave Foaming Cleanser Refill,23.0,98.571,121.571,0.189,0.811,122,0,122,promo_cover_gap
188713,Cerave Eye Repair Cream 14Ml,22.0,94.286,116.286,0.189,0.811,116,2,114,promo_cover_gap
16859,Lrp Anth Xl Ult Crm Spf50 50Ml,21.667,92.857,114.524,0.189,0.811,114,0,114,promo_cover_gap
90912,Cerave Face Moist Lotion Spf50,21.0,90.0,111.0,0.189,0.811,110,0,110,promo_cover_gap
