sku_number,sku_description,model_promo_forecast_units,same_discount_promo_units,baseline_daily_rate_units,baseline_daily_source_days,baseline_period_demand_units,selected_promo_period_demand_units_before,selected_promo_period_demand_units_after,demand_evidence_strength,demand_conflict_flag,demand_selection_reason,best_seller_floor_applied_flag,best_seller_escalation_flag
15847,Npmu Lg Butter Ginger Snap,0.0,1.765,0.2521,56,1.765,1.765,1.765,MODERATE,NO,flat_model_placeholder_rejected,NO,NO
69352,Plunk Superfade D/P Moistr,0.0,1.0,0.142857,56,1.0,1.0,1.0,MODERATE,NO,flat_model_placeholder_rejected,NO,NO
67693,Rim Wndr'Full Brow Gel Clr,0.0,1.0,0.142857,56,1.0,1.0,1.0,MODERATE,NO,flat_model_placeholder_rejected,NO,NO
15841,Npmu Lg Butter Angel Food Cke,0.0,0.824,0.117643,56,0.824,0.824,0.824,MODERATE,NO,flat_model_placeholder_rejected,NO,NO
483621,Antip Hos C/Plump W/Ser 30Ml,0.0,0.652,0.093171,56,0.652,0.652,0.652,MODERATE,NO,flat_model_placeholder_rejected,NO,NO
193457,Embryolisse Lcreme Fluid 75Ml,0.0,0.25,0.035714,56,0.25,0.25,0.25,MODERATE,NO,flat_model_placeholder_rejected,NO,NO
193286,Rim Lastfin 35Hr Fndn True Iv,0.0,0.214,0.030614,56,0.214,0.214,0.214,MODERATE,NO,flat_model_placeholder_rejected,NO,NO
194821,Dv Hair+Scalp Ex Hyd Cond500Ml,0.0,0.2,0.028571,56,0.2,0.2,0.2,MODERATE,NO,flat_model_placeholder_rejected,NO,NO
192046,Lrp Cicaplast Baume B5+ 100Ml,0.0,73.0,0.035714,56,0.25,73.0,73.0,MODERATE,NO,flat_model_placeholder_rejected,NO,NO
192083,Cerave Renew Peptide Crm 48G,0.0,35.0,5.0,56,35.0,35.0,35.0,MODERATE,NO,flat_model_placeholder_rejected,NO,NO
92632,Avene Cica+ Mlt P&R Crm Spf50+,0.0,5.0,4.285714,56,30.0,30.0,30.0,CONFLICTING,YES,same_discount_suppressed_by_credible_baseline,NO,NO
188712,Cerave Moist Cream 340G,0.0,30.0,4.285714,56,30.0,30.0,30.0,MODERATE,NO,flat_model_placeholder_rejected,NO,NO
188711,Cerave Moist Cream 177Ml,0.0,27.0,3.857143,56,27.0,27.0,27.0,MODERATE,NO,flat_model_placeholder_rejected,NO,NO
188710,Cerave Moist Lotion 473Ml,0.0,27.0,3.857143,56,27.0,27.0,27.0,MODERATE,NO,flat_model_placeholder_rejected,NO,NO
188721,Cerave Sa Smooth Clns 473Ml,0.0,27.0,3.857143,56,27.0,27.0,27.0,MODERATE,NO,flat_model_placeholder_rejected,NO,NO
188715,Cerave Moist Pm 52Ml,0.0,27.0,3.857143,56,27.0,27.0,27.0,MODERATE,NO,flat_model_placeholder_rejected,NO,NO
654921,Lrp Anth Fluid Spf50 50Ml,0.0,27.0,0.017857,56,0.125,27.0,27.0,MODERATE,NO,flat_model_placeholder_rejected,NO,NO
189553,Lrp Cicaplast Baume B5 40Ml,0.0,26.667,0.017857,56,0.125,26.667,26.667,MODERATE,NO,flat_model_placeholder_rejected,NO,NO
94902,Lrp Hyaluron Serum 50Ml,0.0,26.0,3.714286,56,26.0,26.0,26.0,MODERATE,NO,flat_model_placeholder_rejected,NO,NO
52115,Rexona W Apd Adv Shwr/F 220Ml,0.0,2.091,3.5,56,24.5,24.5,24.5,CONFLICTING,YES,same_discount_suppressed_by_credible_baseline,NO,NO
92846,Cerave Foaming Cleanser Refill,0.0,23.0,3.285714,56,23.0,23.0,23.0,MODERATE,NO,flat_model_placeholder_rejected,NO,NO
188713,Cerave Eye Repair Cream 14Ml,0.0,22.0,3.142857,56,22.0,22.0,22.0,MODERATE,NO,flat_model_placeholder_rejected,NO,NO
16859,Lrp Anth Xl Ult Crm Spf50 50Ml,0.0,21.667,3.095243,56,21.667,21.667,21.667,MODERATE,NO,flat_model_placeholder_rejected,NO,NO
195412,Npmu Pro Fix Stick Cocoa,0.0,0.235,3.0,56,21.0,21.0,21.0,CONFLICTING,YES,same_discount_suppressed_by_credible_baseline,NO,NO
195518,Mf Fcefnty Cmpct 001,0.0,0.364,3.0,56,21.0,21.0,21.0,CONFLICTING,YES,same_discount_suppressed_by_credible_baseline,NO,NO
90912,Cerave Face Moist Lotion Spf50,0.0,21.0,3.0,56,21.0,21.0,21.0,MODERATE,NO,flat_model_placeholder_rejected,NO,NO
91149,Col Tp Adv Wht Baking Soda 180,0.0,0.0,3.0,56,21.0,21.0,21.0,MODERATE,NO,flat_model_placeholder_rejected,NO,NO
188699,Cerave Hydrating Clns 473Ml,0.0,20.0,2.857143,56,20.0,20.0,20.0,MODERATE,NO,flat_model_placeholder_rejected,NO,NO
92847,Cerave Hydrating Cleans Refill,0.0,20.0,2.857143,56,20.0,20.0,20.0,MODERATE,NO,flat_model_placeholder_rejected,NO,NO
87550,Lrp Xl Wet Skin Spf 50+ 200Ml,0.0,19.0,2.714286,56,19.0,19.0,19.0,MODERATE,NO,flat_model_placeholder_rejected,NO,NO
