value,count,snapshot,dimension
fallback_or_weak,2519,before_pack,promo_period_demand_source
prior_pack_selection,1012,before_pack,promo_period_demand_source
VERY_LOW,2519,before_pack,promo_period_demand_source_quality
MEDIUM,1012,before_pack,promo_period_demand_source_quality
WEAK,3531,before_pack,demand_evidence_strength
NO,3531,before_pack,demand_conflict_flag
same_discount_history,2055,after,promo_period_demand_source
missing_promo_period_demand,1177,after,promo_period_demand_source
baseline_period_demand,299,after,promo_period_demand_source
MEDIUM,2055,after,promo_period_demand_source_quality
VERY_LOW,1177,after,promo_period_demand_source_quality
HIGH,299,after,promo_period_demand_source_quality
MODERATE,2133,after,demand_evidence_strength
WEAK,1177,after,demand_evidence_strength
CONFLICTING,221,after,demand_evidence_strength
NO,3308,after,demand_conflict_flag
YES,223,after,demand_conflict_flag
