sku_number,sku_description,baseline_period_demand_units,same_discount_promo_units,selected_before,selected_after,decision_before,decision_after,recommended_order_before,recommended_order_after,reason
92632,Avene Cica+ Mlt P&R Crm Spf50+,30.0,5.0,30.0,30.0,REVIEW,REVIEW,24,26,same_discount_suppressed_by_credible_baseline
52115,Rexona W Apd Adv Shwr/F 220Ml,24.5,2.091,24.5,24.5,REVIEW,REVIEW,22,23,same_discount_suppressed_by_credible_baseline
195412,Npmu Pro Fix Stick Cocoa,21.0,0.235,21.0,21.0,REVIEW,REVIEW,18,21,same_discount_suppressed_by_credible_baseline
195518,Mf Fcefnty Cmpct 001,21.0,0.364,21.0,21.0,REVIEW,REVIEW,18,21,same_discount_suppressed_by_credible_baseline
799718,Rosehip By Essano Oil 45Ml,14.0,1.0,14.0,14.0,REVIEW,REVIEW,13,14,same_discount_suppressed_by_credible_baseline
199053,Npmu Wondr Stck Dual Medium,14.0,1.625,14.0,14.0,REVIEW,REVIEW,12,13,same_discount_suppressed_by_credible_baseline
67690,Rim Btw Pro Pncl Ash Brown,14.0,0.562,14.0,14.0,REVIEW,REVIEW,12,13,same_discount_suppressed_by_credible_baseline
192936,May Eye Makeup Remover 70Ml,14.0,8.318,14.0,14.0,REVIEW,REVIEW,12,13,same_discount_suppressed_by_credible_baseline
88458,Mf Divine Lashes Rich Blk,14.0,0.636,14.0,14.0,REVIEW,REVIEW,12,13,same_discount_suppressed_by_credible_baseline
55245,Garn Micellar Water Rose 400Ml,12.0,3.0,12.0,12.0,REVIEW,REVIEW,10,10,same_discount_suppressed_by_credible_baseline
323608,Cetaphil Eczema Bdy Mst 295Ml,12.0,0.4,12.0,12.0,REVIEW,REVIEW,9,9,same_discount_suppressed_by_credible_baseline
90934,Cetaphil Gen Ex Sa Lot 236M,12.0,1.5,12.0,12.0,REVIEW,REVIEW,9,9,same_discount_suppressed_by_credible_baseline
192118,Olay Hyaluron Cream 50G,10.5,0.423,10.5,10.5,REVIEW,REVIEW,10,10,same_discount_suppressed_by_credible_baseline
93993,May Face Lift Stix 65 Nu Int,10.5,0.909,10.5,10.5,REVIEW,REVIEW,10,10,same_discount_suppressed_by_credible_baseline
90432,Rim Wonder'Ink Liner Chestnut,10.5,0.429,10.5,10.5,REVIEW,REVIEW,10,10,same_discount_suppressed_by_credible_baseline
90462,Mf Mp Wow Liner Emerald Green,10.5,0.667,10.5,10.5,REVIEW,REVIEW,9,10,same_discount_suppressed_by_credible_baseline
16527,Loreal R/Lift Eye/Fl Tub 15Ml,10.0,1.25,10.0,10.0,REVIEW,REVIEW,8,8,same_discount_suppressed_by_credible_baseline
73263,Thayers Rose Petal Toner 355Ml,10.0,1.0,10.0,10.0,REVIEW,REVIEW,8,8,same_discount_suppressed_by_credible_baseline
94071,Npmu Smushy Mte Lb Swipe 2 Sm,9.25,1.143,9.25,9.25,REVIEW,REVIEW,9,9,same_discount_suppressed_by_credible_baseline
