sku_number,sku_description,promotion_name,promotion_start_date,promotion_end_date,promo_demand_baseline_daily_units,promo_days,promo_demand_uplift_multiplier,discount_percent,promo_demand_stock_availability_adjustment,promo_demand_recent_momentum_adjustment,model_expected_units_total_promo,historical_proxy_expected_units_total_promo,baseline_expected_units_total_promo,selected_promo_period_demand,promo_demand_source_quality,promo_demand_release_ready_flag,promo_demand_blocker_reason,historical_promo_units_per_day
188713,Cerave Eye Repair Cream 14Ml,SE01 skincare sales event,2026-07-23,2026-07-29,3.142857,7,1.0311,40.0,0.85,1.0,17.778,22.0,22.0,22.0,LOW,NO,using_governed_proxy,0.7143
948829,Lrp Soothing Lotion 200Ml,SE01 skincare sales event,2026-07-23,2026-07-29,2.333329,7,1.0311,40.0,1.0,1.0,14.972,16.333,16.333,16.333,LOW,NO,using_governed_proxy,0.2987
698571,Bioderma Sensibio H20 500Ml,SE01 skincare sales event,2026-07-23,2026-07-29,2.4026,7,1.0311,40.0,1.0,1.0,15.599,16.818,16.818,16.818,LOW,NO,using_governed_proxy,0.052
192083,Cerave Renew Peptide Crm 48G,SE01 skincare sales event,2026-07-23,2026-07-29,5.0,7,1.0311,40.0,1.0,1.0,32.57,35.0,35.0,35.0,LOW,NO,using_governed_proxy,0.0336
188715,Cerave Moist Pm 52Ml,SE01 skincare sales event,2026-07-23,2026-07-29,3.857143,7,1.0311,40.0,1.0,1.0,25.126,27.0,27.0,27.0,LOW,NO,using_governed_proxy,0.1714
188710,Cerave Moist Lotion 473Ml,SE01 skincare sales event,2026-07-23,2026-07-29,3.857143,7,1.0311,40.0,1.0,1.0,25.46,27.0,27.0,27.0,LOW,NO,using_governed_proxy,0.0
188721,Cerave Sa Smooth Clns 473Ml,SE01 skincare sales event,2026-07-23,2026-07-29,3.857143,7,1.0311,40.0,1.0,1.0,25.167,27.0,27.0,27.0,LOW,NO,using_governed_proxy,0.1429
16859,Lrp Anth Xl Ult Crm Spf50 50Ml,SE01 skincare sales event,2026-07-23,2026-07-29,3.095243,7,1.0311,40.0,1.0,1.0,20.397,21.667,21.667,21.667,LOW,NO,using_governed_proxy,0.0909
92849,Cerave Moist Lotion Refill,SE01 skincare sales event,2026-07-23,2026-07-29,2.285714,7,1.0311,40.0,1.0,1.0,14.642,16.0,16.0,16.0,LOW,NO,using_governed_proxy,0.0
87550,Lrp Xl Wet Skin Spf 50+ 200Ml,SE01 skincare sales event,2026-07-23,2026-07-29,2.714286,7,1.0311,40.0,1.0,1.0,17.828,19.0,19.0,19.0,LOW,NO,using_governed_proxy,0.2321
92846,Cerave Foaming Cleanser Refill,SE01 skincare sales event,2026-07-23,2026-07-29,3.285714,7,1.0311,40.0,1.0,1.0,21.048,23.0,23.0,23.0,LOW,NO,using_governed_proxy,0.0
94902,Lrp Hyaluron Serum 50Ml,SE01 skincare sales event,2026-07-23,2026-07-29,3.714286,7,1.0311,40.0,1.0,1.0,24.316,26.0,26.0,26.0,LOW,NO,using_governed_proxy,0.0803
92847,Cerave Hydrating Cleans Refill,SE01 skincare sales event,2026-07-23,2026-07-29,2.857143,7,1.0311,40.0,1.0,1.0,18.302,20.0,20.0,20.0,LOW,NO,using_governed_proxy,0.0
188712,Cerave Moist Cream 340G,SE01 skincare sales event,2026-07-23,2026-07-29,4.285714,7,1.0311,40.0,1.0,1.0,28.521,30.0,30.0,30.0,LOW,NO,using_governed_proxy,1.1883
367011,Lanolips 101 O/Ment Balm 15G,SE01 skincare sales event,2026-07-23,2026-07-29,2.214286,7,1.0311,40.0,1.0,1.0,14.76,15.5,15.5,15.5,LOW,NO,using_governed_proxy,0.0571
188699,Cerave Hydrating Clns 473Ml,SE01 skincare sales event,2026-07-23,2026-07-29,2.857143,7,1.0311,40.0,1.0,1.0,19.014,20.0,20.0,20.0,LOW,NO,using_governed_proxy,0.2143
90912,Cerave Face Moist Lotion Spf50,SE01 skincare sales event,2026-07-23,2026-07-29,3.0,7,1.0311,40.0,1.0,1.0,20.029,21.0,21.0,21.0,LOW,NO,using_governed_proxy,0.4286
90914,Cerave Int Moist Lotion 473,SE01 skincare sales event,2026-07-23,2026-07-29,2.285714,7,1.0311,40.0,1.0,1.0,15.236,16.0,16.0,16.0,LOW,NO,using_governed_proxy,0.0
188704,Cerave Foaming Cleanser 473Ml,SE01 skincare sales event,2026-07-23,2026-07-29,2.571429,7,1.0311,40.0,1.0,1.0,17.14,18.0,18.0,18.0,LOW,NO,using_governed_proxy,0.1786
188711,Cerave Moist Cream 177Ml,SE01 skincare sales event,2026-07-23,2026-07-29,3.857143,7,1.0311,40.0,1.0,1.0,25.71,27.0,27.0,27.0,LOW,NO,using_governed_proxy,0.0604
