field,value,count
promo_demand_model_source,historical_proxy_expected_units_total_promo,2287
promo_demand_model_source,missing_promo_period_demand,936
promo_demand_model_source,model_expected_units_total_promo,307
promo_demand_model_source,baseline_expected_units_total_promo,1
promo_demand_source_quality,UNSAFE,1999
promo_demand_source_quality,LOW,1225
promo_demand_source_quality,HIGH,237
promo_demand_source_quality,MEDIUM,70
promo_demand_release_ready_flag,NO,3224
promo_demand_release_ready_flag,YES,307
promo_demand_selection_method,historical_proxy_fallback,2287
promo_demand_selection_method,unsafe_missing_promo_demand,936
promo_demand_selection_method,model_release_ready_forecast,307
promo_demand_selection_method,baseline_period_fallback,1
