segment,row_count,actual_units_total,forecast_units_total,forecast_bias_units,forecast_bias_pct,wape,mae,rmse,model_beats_baseline_pct,model_beats_historical_proxy_pct,median_actual_units,median_forecast_units,p75_abs_error,p95_abs_error,baseline_wape,historical_proxy_wape,segment_row_share_pct
total,52285,48855.0,24266.737,-24588.263,-50.32906150854569,0.6729103469450415,0.628766089700679,3.3908448924721455,61.62570526919766,61.62570526919766,0.0,0.053,0.44399999999999995,2.6,1.0825491556647222,1.0825491761334562,100.0
department=ACHE PAIN SUPPORT,147,64.0,62.873000000000005,-1.1270000000000013,-1.760937500000002,0.613984375,0.26731292517006805,0.7055062591023931,57.14285714285714,57.14285714285714,0.0,0.053,0.06699999999999995,1.1316999999999988,1.2142187500000001,1.2142187500000001,0.28115138184947885
department=ALLERGY,107,97.0,79.63700000000001,-17.363000000000003,-17.900000000000002,0.4647525773195876,0.42131775700934576,0.9387238653230793,60.747663551401864,60.747663551401864,0.0,0.053,0.3999999999999999,1.9904999999999973,1.193824742268041,1.193824742268041,0.20464760447547098
department=ANALGESICS,99,87.0,80.405,-6.595000000000002,-7.580459770114946,0.5619885057471263,0.4938686868686868,0.882013633967781,54.54545454545454,54.54545454545454,1.0,0.053,0.7999999999999998,1.6404999999999978,1.0430229885057472,1.0430229885057472,0.1893468490006694
department=ANTI FUNGAL VIRAL,23,10.0,8.992999999999999,-1.0070000000000001,-10.07,0.37770000000000004,0.16421739130434784,0.30009628889524054,65.21739130434783,65.21739130434783,0.0,0.053,0.06699999999999995,0.5993,0.8927000000000002,0.8927000000000002,0.04398967199005451
department=BABY CARE,213,61.0,53.20599999999999,-7.794000000000003,-12.777049180327873,0.6032786885245901,0.17276995305164317,0.39557574371298915,58.21596244131455,58.21596244131455,0.0,0.053,0.062,0.998,2.1900983606557376,2.1900983606557376,0.40738261451659175
department=BATH TOILETRIES,550,778.0,415.09999999999997,-362.9,-46.645244215938305,0.6980154241645243,0.9873745454545453,5.180307478764697,63.45454545454545,63.45454545454545,0.0,0.053,0.667,3.217699999999993,1.1617583547557842,1.1617583547557842,1.0519269388926078
department=BEAUTY ACCESSORIES,2557,1999.0,1427.205,-571.7950000000001,-28.60405202601301,0.5599724862431216,0.43777278060226826,0.8883489114215958,66.99256941728589,66.99256941728589,0.0,0.053,0.5169999999999999,2.0421999999999954,1.242023511755878,1.242023511755878,4.8905039686334515
department=BEAUTY ELECTRICAL,92,89.0,56.67899999999999,-32.32100000000001,-36.31573033707867,0.5622808988764044,0.543945652173913,0.9258694562409974,64.13043478260869,64.13043478260869,1.0,0.389,0.97425,2.0290500000000002,0.748370786516854,0.748370786516854,0.17595868796021805
department=COLOUR COSMETICS,22702,10740.0,6939.32,-3800.6800000000003,-35.38808193668529,0.609430540037244,0.2883131001673861,0.7809732955387394,64.72116994097436,64.72116994097436,0.0,0.053,0.06699999999999995,1.5118500000000021,1.3346148975791434,1.334614990689013,43.419718848618146
