segment_key,segment_level,row_count,actual_units_total,forecast_units_total,raw_factor,shrunk_factor,factor_applied,sample_size_ok_flag,bias_before_pct,estimated_bias_after_pct,notes
total,total,5672,14638.0,9873.315,1.482582,1.482582,1.4825820912226542,YES,-32.5501,0.0,
ACHE PAIN SUPPORT|0-10|long,department+discount+promo_duration,4,11.0,5.467,2.012072,1.553181,1.5531808036739863,NO,-50.3,-22.8069,insufficient_sample_or_zero_totals
ACHE PAIN SUPPORT|0-10|standard,department+discount+promo_duration,9,12.0,14.194999999999999,0.845368,1.291418,1.2914178900622686,NO,18.2917,52.764,insufficient_sample_or_zero_totals
ALLERGY|0-10|long,department+discount+promo_duration,2,6.0,4.5440000000000005,1.320423,1.471771,1.4717714541552285,NO,-24.2667,11.4622,insufficient_sample_or_zero_totals
ALLERGY|0-10|standard,department+discount+promo_duration,12,39.0,31.585999999999995,1.234724,1.383439,1.3834389527010464,NO,-19.0103,12.0444,insufficient_sample_or_zero_totals
ANALGESICS|0-10|long,department+discount+promo_duration,5,6.0,9.247,0.648859,1.343628,1.3436282575912804,NO,54.1167,107.0755,insufficient_sample_or_zero_totals
ANALGESICS|0-10|standard,department+discount+promo_duration,13,27.0,24.854,1.086344,1.310879,1.3108790268759065,NO,-7.9481,20.6688,insufficient_sample_or_zero_totals
ANALGESICS|0-10|week,department+discount+promo_duration,2,3.0,8.176,0.366928,1.408205,1.4082051246714766,NO,172.5333,283.7828,insufficient_sample_or_zero_totals
ANTI FUNGAL VIRAL|0-10|standard,department+discount+promo_duration,4,6.0,5.606999999999999,1.070091,1.427583,1.4275832734238212,NO,-6.55,33.4077,insufficient_sample_or_zero_totals
BABY CARE|0-10|long,department+discount+promo_duration,5,10.0,8.519,1.173847,1.431126,1.4311261919558038,NO,-14.81,21.9176,insufficient_sample_or_zero_totals
BABY CARE|0-10|standard,department+discount+promo_duration,8,10.0,12.36,0.809061,1.302977,1.3029765972094502,NO,23.6,61.0479,insufficient_sample_or_zero_totals
BABY CARE|0-10|week,department+discount+promo_duration,1,1.0,1.4,0.714286,1.456972,1.4569722119914228,NO,40.0,103.9761,insufficient_sample_or_zero_totals
BATH TOILETRIES|0-10|long,department+discount+promo_duration,14,31.0,22.851,1.356615,1.423797,1.4237972573985995,NO,-26.2871,4.9522,insufficient_sample_or_zero_totals
BATH TOILETRIES|0-10|standard,department+discount+promo_duration,57,140.0,123.00200000000001,1.138193,1.138193,1.138192874912603,YES,-12.1414,0.0,
BATH TOILETRIES|0-10|week,department+discount+promo_duration,1,1.0,1.394,0.71736,1.457075,1.4570746920078197,NO,39.4,103.1162,insufficient_sample_or_zero_totals
BEAUTY ACCESSORIES|0-10|long,department+discount+promo_duration,86,205.0,154.34500000000003,1.328193,1.328193,1.3281933331173668,YES,-24.7098,0.0,
BEAUTY ACCESSORIES|0-10|standard,department+discount+promo_duration,320,605.0,545.777,1.108511,1.108511,1.1085113517059164,YES,-9.7889,0.0,
BEAUTY ACCESSORIES|0-10|week,department+discount+promo_duration,37,78.0,53.989999999999995,1.444712,1.444712,1.4447119837006854,YES,-30.7821,0.0,
BEAUTY ELECTRICAL|0-10|long,department+discount+promo_duration,5,7.0,7.4,0.945946,1.393143,1.393142733676536,NO,5.7143,47.2751,insufficient_sample_or_zero_totals
BEAUTY ELECTRICAL|0-10|standard,department+discount+promo_duration,15,23.0,22.003999999999994,1.045264,1.263923,1.263923294293385,NO,-4.3304,20.919,insufficient_sample_or_zero_totals
