segment,unsafe_primary_reason,row_count,pct_of_unsafe_rows,pct_of_all_rows
total,actuals_censored_by_stockout,955,2.1143,1.8265
total,legacy_placeholder_detected,42861,94.8924,81.9757
total,missing_baseline_daily_units,1352,2.9933,2.5858
department=ACHE PAIN SUPPORT,actuals_censored_by_stockout,2,0.0044,0.0038
department=ACHE PAIN SUPPORT,legacy_placeholder_detected,122,0.2701,0.2333
department=ACHE PAIN SUPPORT,missing_baseline_daily_units,5,0.0111,0.0096
department=ALLERGY,legacy_placeholder_detected,78,0.1727,0.1492
department=ALLERGY,missing_baseline_daily_units,10,0.0221,0.0191
department=ANALGESICS,actuals_censored_by_stockout,5,0.0111,0.0096
department=ANALGESICS,legacy_placeholder_detected,65,0.1439,0.1243
department=ANALGESICS,missing_baseline_daily_units,9,0.0199,0.0172
department=ANTI FUNGAL VIRAL,legacy_placeholder_detected,19,0.0421,0.0363
department=BABY CARE,actuals_censored_by_stockout,2,0.0044,0.0038
department=BABY CARE,legacy_placeholder_detected,191,0.4229,0.3653
department=BABY CARE,missing_baseline_daily_units,4,0.0089,0.0077
department=BATH TOILETRIES,actuals_censored_by_stockout,15,0.0332,0.0287
department=BATH TOILETRIES,legacy_placeholder_detected,407,0.9011,0.7784
department=BATH TOILETRIES,missing_baseline_daily_units,28,0.062,0.0536
department=BEAUTY ACCESSORIES,actuals_censored_by_stockout,13,0.0288,0.0249
department=BEAUTY ACCESSORIES,legacy_placeholder_detected,1976,4.3748,3.7793
department=BEAUTY ACCESSORIES,missing_baseline_daily_units,60,0.1328,0.1148
department=BEAUTY ELECTRICAL,actuals_censored_by_stockout,8,0.0177,0.0153
department=BEAUTY ELECTRICAL,legacy_placeholder_detected,61,0.1351,0.1167
department=COLOUR COSMETICS,actuals_censored_by_stockout,84,0.186,0.1607
department=COLOUR COSMETICS,legacy_placeholder_detected,20341,45.0341,38.9041
department=COLOUR COSMETICS,missing_baseline_daily_units,321,0.7107,0.6139
