segment,row_count,actual_units_total,forecast_units_total,bias_units,bias_pct,wape,mae,rmse,p75_abs_error,p95_abs_error,model_beats_baseline_pct,estimated_missed_sales_units,estimated_leftover_units
total,52285,48855.0,36454.641061999995,-12400.358938000001,-25.381964871558697,0.6705042144304575,0.6265178042650856,3.33592833793783,0.56561,2.380572199999992,60.795639284689685,34766.0,15725.0
department=ACHE PAIN SUPPORT,147,64.0,93.214385,29.214385,45.6474765625,0.840114703125,0.36576422448979595,0.9317682310816136,0.27427599999999996,1.6830287999999995,48.29931972789115,56.0,40.0
department=ALLERGY,107,97.0,118.06839000000001,21.068389999999997,21.719989690721647,0.5653452164948453,0.512509214953271,1.061544295761745,0.7575959999999997,1.6681281999999993,55.140186915887845,72.0,37.0
department=ANALGESICS,99,87.0,119.207013,32.207012999999996,37.01955517241379,0.732813183908046,0.6439873434343434,1.223426113702987,0.9955525000000001,2.2370696999999993,49.494949494949495,61.0,18.0
department=ANTI FUNGAL VIRAL,23,10.0,13.332860999999998,3.3328610000000003,33.328610000000005,0.5326931,0.23160569565217393,0.40797095790376187,0.23758449999999998,1.0677569999999998,52.17391304347826,9.0,1.0
department=BABY CARE,213,61.0,78.88228,17.88228,29.3152131147541,0.807023475409836,0.23111939906103285,0.5005022149641768,0.09192,1.075615,55.39906103286385,40.0,107.0
department=BATH TOILETRIES,550,778.0,473.89160100000004,-304.10839899999996,-39.088483161953725,0.6908959678663239,0.9773037509090909,5.197742767831624,0.8041177500000001,2.9696255499999973,64.9090909090909,517.0,232.0
department=BEAUTY ACCESSORIES,2557,1999.0,1704.601588,-294.398412,-14.72728424212106,0.5502805252626313,0.43019584278451306,0.8507208033706404,0.5519149999999999,1.9891879999999995,67.89206100899492,1694.0,532.0
department=BEAUTY ELECTRICAL,92,89.0,84.03127099999998,-4.968729,-5.582841573033708,0.6335536966292135,0.6128943369565217,0.9121735851975441,1.061155,1.9924392499999999,58.69565217391305,65.0,17.0
department=COLOUR COSMETICS,22702,10740.0,8280.663154000002,-2459.336846,-22.898853314711364,0.6047812629422719,0.2861135919302264,0.7489667048408847,0.08183000000000007,1.345376,64.81807770240508,8845.0,3532.0
department=COUGH COLD,276,207.0,203.429769,-3.570230999999999,-1.7247492753623184,0.5807459855072463,0.43555948913043474,0.8330255344601375,0.779371,1.5682520000000002,58.333333333333336,175.0,99.0
department=DEODORANTS,626,931.0,896.77109,-34.22891000000002,-3.676574650912999,0.547569402792696,0.8143564121405751,1.3387995954407894,1.1938849999999999,2.9916525,64.85623003194888,578.0,454.0
department=DIGESTIVE CARE,448,346.0,274.87158,-71.12841999999999,-20.557346820809247,0.566677647398844,0.43765729017857147,0.9310185685936696,0.541555,1.9861374999999994,62.27678571428571,260.0,145.0
department=DISEASE STATE MGMT,10,2.0,3.151968,1.1519679999999997,57.598399999999984,0.5759839999999998,0.11519679999999996,0.178039256120104,0.078577,0.38324899999999995,10.0,1.0,2.0
department=EYES EARS,424,147.0,141.419036,-5.580964000000002,-3.7965741496598646,0.7004892925170068,0.24285831603773583,0.6090345766249802,0.078577,1.2265061999999995,23.349056603773587,104.0,45.0
department=FAMILY PLANNING,73,46.0,63.150586999999994,17.150587,37.2838847826087,0.7414528478260871,0.46721686301369875,0.7420237133844784,0.997035,1.3214241999999992,45.20547945205479,39.0,7.0
department=FEMININE CARE,392,929.0,768.453238,-160.546762,-17.281675134553286,0.572743931108719,1.3573446734693877,2.1791681730994164,1.925979,4.571179849999998,68.36734693877551,488.0,733.0
department=FIRSTAID WOUNDCARE,198,260.0,225.43595399999998,-34.564046000000005,-13.293863846153847,0.5193688923076922,0.6819995555555554,1.3894856212309634,0.815572,3.0333345499999957,51.010101010101,153.0,180.0
department=FOOTCARE,193,142.0,111.149987,-30.850013,-21.725361267605635,0.49757644366197185,0.36609251295336787,0.642004182795903,0.6006849999999999,1.5120683999999995,71.50259067357513,116.0,37.0
department=FRAGRANCE,2002,437.0,453.750159,16.750159,3.832988329519451,0.7505779931350114,0.163837454045954,0.4717119849764431,0.078577,0.997035,24.425574425574425,383.0,225.0
department=GENERAL MERCHANDIS,2,2.0,1.36101,-0.63899,-31.949499999999997,0.319495,0.319495,0.319495,0.319495,0.319495,100.0,2.0,0.0
department=GIFTING,355,111.0,101.948268,-9.051731999999998,-8.154713513513512,0.6170006846846847,0.19292134084507043,0.5141592339110302,0.078577,1.0735394999999999,32.95774647887324,102.0,122.0
department=HAIR ACC BRUSHES,781,1051.0,883.1153360000001,-167.884664,-15.973802473834443,0.5281605042816365,0.7107512035851472,1.261251219590072,0.9316390000000001,2.68021,66.45326504481433,769.0,553.0
department=HAIR REMOVAL,488,391.0,359.807213,-31.192786999999996,-7.977694884910484,0.5917958439897698,0.4741642930327869,0.8069758819999368,0.8316602500000001,1.7555130499999996,62.295081967213115,296.0,227.0
department=HAIRCARE,4705,4773.0,3565.80922,-1207.19078,-25.292075843285144,0.6551538365807669,0.6646225849096706,1.952139360195677,0.5845130000000001,2.56561,63.12433581296493,3468.0,1937.0
department=HOME HEALTH,1,0.0,0.026686,0.026686,0.0,0.0,0.026686,0.026686,0.026686,0.026686,0.0,0.0,3.0
department=INCONTINENCE,184,173.0,154.741627,-18.258373000000006,-10.553972832369945,0.7107516242774566,0.6682610380434783,1.6449624242099743,0.95794675,2.4098205499999987,59.78260869565217,153.0,73.0
department=INSOMNIA,2,1.0,3.4647940000000004,2.4647940000000004,246.47940000000003,2.4647940000000004,1.2323970000000002,1.7241059657486255,1.8352525000000002,2.3175369,0.0,0.0,1.0
department=MENS GROOMING,583,252.0,204.993005,-47.006995,-18.653569444444447,0.5263289404761905,0.22750410463121784,0.5189560834291191,0.062087,1.048013,60.720411663807894,223.0,145.0
department=NUTRITION WELLBEIN,111,83.0,56.862955,-26.137045000000004,-31.490415662650605,0.7858838674698793,0.5876428918918917,2.117152628997421,0.42179599999999995,1.9940699999999998,40.54054054054054,55.0,29.0
department=ORAL HEALTH,1225,2325.0,2387.7055170000003,62.70551699999993,2.6970114838709645,0.7742583221505376,1.4695106930612243,9.722156305659627,1.6675,3.722,54.61224489795919,1653.0,785.0
department=PAPER COTTON,58,261.0,244.35323699999998,-16.646763000000007,-6.378070114942531,0.507261183908046,2.2826753275862073,3.6623694738648958,2.822442,7.968558399999996,72.41379310344827,103.0,100.0
department=SKINCARE,8527,17870.0,11332.078794,-6537.921206000001,-36.586016821488535,0.736208431337437,1.5428690826785503,6.721120590520016,1.380927,5.295492199999998,61.97959423009265,11352.0,3651.0
department=SMOKING CESSATION,130,21.0,30.532301999999994,9.532302,45.391914285714286,1.02683,0.16587253846153843,0.40740531213205283,0.078577,1.075615,39.23076923076923,20.0,6.0
department=SNACKS BEVERAGES,16,33.0,55.592380000000006,22.59238,68.46175757575757,0.8386258181818182,1.7296657500000001,2.6312166510955297,2.0769085,5.7985685,50.0,33.0,0.0
department=SUNCARE,878,1917.0,1356.890566,-560.1094340000001,-29.2180195096505,0.720317661971831,1.572720908883827,4.466195013313336,1.3484250000000002,5.6247002499999965,53.18906605922551,1191.0,802.0
department=TANNING,771,569.0,426.727285,-142.272715,-25.0039920913884,0.6194074885764499,0.4571243333333333,1.0865098318429864,0.49941500000000005,1.983766,63.42412451361867,412.0,197.0
department=VITAMIN SUPPLEMENT,2336,1650.0,1181.1549559999999,-468.84504400000003,-28.41485115151515,0.6873497587878787,0.48549961558219173,1.622346647082088,0.29680799999999996,1.96207975,51.755136986301366,1278.0,651.0
category=ACNE,353,669.0,471.878698,-197.12130200000001,-29.465067563527654,0.6878460209267564,1.3035948668555242,3.3113596593520467,1.380927,4.889442799999997,57.79036827195468,509.0,170.0
