segment_key,segment_level,row_count,actual_units_total,forecast_units_total,raw_factor,shrunk_factor,factor_applied,sample_size_ok_flag,bias_before_pct,estimated_bias_after_pct,notes
total,total,3614,9793.0,9830.927291,0.99865,0.99865,0.9986497151838207,YES,0.3873,0.2517,
ACHE PAIN SUPPORT|0-10,department+discount,7,9.0,16.894022999999997,0.836456,0.960805,0.9608046261232056,NO,87.7114,80.3539,insufficient_sample
ALLERGY|0-10,department+discount,7,16.0,19.190542,0.94181,0.985387,0.9853872115024724,NO,19.9409,18.1882,insufficient_sample
ANALGESICS|0-10,department+discount,9,15.0,23.315086,0.875176,0.961608,0.9616076288704403,NO,55.4339,49.4664,insufficient_sample
ANTI FUNGAL VIRAL|0-10,department+discount,1,1.0,2.075615,0.818625,0.992649,0.9926488820398889,NO,107.5615,106.0357,insufficient_sample
BABY CARE|0-10,department+discount,2,2.0,5.055605,0.78846,0.984637,0.9846370797909331,NO,152.7802,148.8968,insufficient_sample
BATH TOILETRIES|0-10,department+discount,45,120.0,122.02461299999997,0.994193,0.994193,0.9941928555839797,YES,1.6872,1.0967,
BEAUTY ACCESSORIES|0-10,department+discount,271,561.0,567.3447269999999,0.996086,0.996086,0.9960858815737262,YES,1.131,0.7351,
BEAUTY ELECTRICAL|0-10,department+discount,14,18.0,30.126067999999997,0.859121,0.933536,0.9335364159758416,NO,67.367,56.2432,insufficient_sample
COLOUR COSMETICS|0-10,department+discount,990,2075.0,1908.370917,1.087315,1.087315,1.0873148304219311,YES,-8.0303,0.0,
COUGH COLD|0-10,department+discount,17,39.0,39.783338,0.993108,0.99551,0.9955096729321722,NO,2.0086,1.5505,insufficient_sample
DEODORANTS|0-10,department+discount,86,281.0,250.62086299999996,1.121216,1.121216,1.1212155150866272,YES,-10.8111,0.0,
DIGESTIVE CARE|0-10,department+discount,40,74.0,69.558276,1.063856,1.063856,1.063856154226709,YES,-6.0023,0.0,
EYES EARS|0-10,department+discount,11,18.0,26.883661,0.884343,0.956737,0.9567372833685355,NO,49.3537,42.8922,insufficient_sample
FAMILY PLANNING|0-10,department+discount,3,4.0,7.739078,0.8309,0.981875,0.9818747538707888,NO,93.477,89.9701,insufficient_sample
FEMININE CARE|0-10,department+discount,94,319.0,323.959855,0.994641,0.994641,0.9946414679991754,YES,1.5548,1.0106,
FIRSTAID WOUNDCARE|0-10,department+discount,29,94.0,85.527842,1.099057,1.09571,1.095710390640429,NO,-9.0129,-0.3045,insufficient_sample
FOOTCARE|0-10,department+discount,13,23.0,21.706974999999996,1.059567,1.025047,1.0250473174656063,NO,-5.6218,-3.2579,insufficient_sample
FRAGRANCE|0-10,department+discount,16,41.0,37.626448,1.089659,1.047188,1.047188033002835,NO,-8.2282,-3.8976,insufficient_sample
GIFTING|0-10,department+discount,4,11.0,7.957018,1.382427,1.04982,1.0498200780942724,NO,-27.6635,-24.0597,insufficient_sample
HAIR ACC BRUSHES|0-10,department+discount,119,295.0,286.9314490000001,1.02812,1.02812,1.028120134715522,YES,-2.7351,0.0,
HAIR REMOVAL|0-10,department+discount,37,73.0,74.70000999999999,0.992035,0.992035,0.9920347601024417,YES,2.3288,1.5137,
HAIRCARE|0-10,department+discount,362,964.0,885.130256,1.089105,1.089105,1.0891052401218562,YES,-8.1815,0.0,
INCONTINENCE|0-10,department+discount,22,55.0,66.741105,0.938428,0.954487,0.9544870863287964,NO,21.3475,15.8246,insufficient_sample
MENS GROOMING|0-10,department+discount,17,22.0,26.353202000000003,0.942185,0.966653,0.9666528212008317,NO,19.7873,15.7927,insufficient_sample
NUTRITION WELLBEIN|0-10,department+discount,8,44.0,16.014852,2.74745,1.464996,1.4649963724240536,NO,-63.6026,-46.678,insufficient_sample
ORAL HEALTH|0-10,department+discount,175,546.0,688.3014479999999,0.92764,0.92764,0.927639979627066,YES,26.0625,16.9406,
PAPER COTTON|0-10,department+discount,11,79.0,57.32403399999999,1.378131,1.137793,1.1377926719291165,NO,-27.4379,-17.4394,insufficient_sample
SKINCARE|0-10,department+discount,928,3226.0,3371.3830689999995,0.984907,0.984907,0.9849070624403732,YES,4.5066,2.9293,
SMOKING CESSATION|0-10,department+discount,1,1.0,2.767981,0.776446,0.991243,0.9912429231660501,NO,176.7981,174.3742,insufficient_sample
SNACKS BEVERAGES|0-10,department+discount,4,8.0,8.533743000000001,0.978109,0.995911,0.9959109862516757,NO,6.6718,6.2356,insufficient_sample
SUNCARE|0-10,department+discount,122,405.0,440.48390399999994,0.971805,0.971805,0.9718051754281583,YES,8.7615,5.6949,
TANNING|0-10,department+discount,56,127.0,123.786032,1.025964,1.025964,1.0259638987377833,YES,-2.5307,0.0,
VITAMIN SUPPLEMENT|0-10,department+discount,93,227.0,216.715656,1.047455,1.047455,1.0474554731754129,YES,-4.5305,0.0,
