segment,row_count,start_soh_compliance_rate,end_stock_success_rate,missed_demand_risk_count,overstocked_count,clean_exit_count,controlled_residual_count,unobservable_demand_count,cash_tied_up_units,cash_tied_up_cost_proxy,days_cover_p95,supplier_99999_success_rate,long_lead_supplier_success_rate,estimated_missed_sales_units,estimated_leftover_units,economic_value_proxy
total,52285,23.157693411112174,5.433680787988907,8144,1873,1089,1752,39427,156670.36000000002,755151.11,167.665,,5.433680787988907,132.51999999999998,156670.36000000002,-516410.732
supplier_replenishment_class=LONG_LEAD_TIME,52285,23.157693411112174,5.433680787988907,8144,1873,1089,1752,39427,156670.36000000002,755151.11,167.665,,5.433680787988907,132.51999999999998,156670.36000000002,-516410.732
department=ACHE PAIN SUPPORT,147,12.244897959183673,3.4013605442176873,11,4,1,4,127,387.0,1865.34,168.0,,3.4013605442176873,0.04,387.0,-1613.35
department=ALLERGY,107,27.102803738317753,8.411214953271028,18,3,5,4,77,336.9,1623.858,126.0,,8.411214953271028,0.0,336.9,-950.348
department=ANALGESICS,99,30.303030303030305,10.1010101010101,18,2,6,4,69,242.94,1170.9710000000002,158.51649999999995,,10.1010101010101,0.0,242.94,-959.6410000000002
department=ANTI FUNGAL VIRAL,23,13.043478260869565,0.0,2,1,0,0,20,60.0,289.19999999999993,195.804,,0.0,0.0,60.0,-214.97000000000003
department=BABY CARE,213,12.206572769953052,7.511737089201878,6,15,7,9,176,585.0,2819.7000000000007,167.665,,7.511737089201878,0.0,585.0,-2616.58
department=BATH TOILETRIES,550,31.272727272727273,8.363636363636363,118,19,16,30,367,1723.24,8306.016,124.0298999999998,,8.363636363636363,4.540000000000001,1723.24,-6851.891000000001
department=BEAUTY ACCESSORIES,2557,21.900664841611263,3.7935080172076656,417,57,35,62,1986,8154.22,39303.340000000004,125.78659999999996,,3.7935080172076656,0.4,8154.22,-28954.054000000004
department=BEAUTY ELECTRICAL,92,21.73913043478261,4.3478260869565215,19,7,1,3,62,250.92000000000002,1209.434,156.21840000000006,,4.3478260869565215,0.22,250.92000000000002,-400.32000000000005
department=COLOUR COSMETICS,22702,14.558188705840895,3.043784688573694,2011,615,294,397,19385,62243.0,300011.25800000003,173.077,,3.043784688573694,6.960000000000001,62243.0,-256571.09100000001
department=COUGH COLD,276,25.0,5.434782608695652,46,12,5,10,203,718.9200000000001,3465.1940000000004,152.056,,5.434782608695652,0.2,718.9200000000001,-2805.758
department=DEODORANTS,626,45.68690095846645,11.980830670926517,176,43,18,57,332,2228.4,10740.885000000002,75.38925,,11.980830670926517,0.8600000000000001,2228.4,-9267.337
department=DIGESTIVE CARE,448,23.660714285714285,8.035714285714286,65,19,20,16,328,1180.88,5691.841,140.0,,8.035714285714286,0.3,1180.88,-4327.639999999999
department=DISEASE STATE MGMT,10,10.0,10.0,0,0,1,0,9,21.0,101.22,30.79999999999994,,10.0,0.0,21.0,-90.05000000000001
department=EYES EARS,424,8.49056603773585,3.0660377358490565,22,4,5,8,385,891.86,4298.765,56.0,,3.0660377358490565,0.28,891.86,-3555.1240000000003
department=FAMILY PLANNING,73,16.43835616438356,1.36986301369863,10,3,1,0,59,192.92000000000002,929.8740000000001,92.39999999999982,,1.36986301369863,0.04,192.92000000000002,-797.241
