segment,row_count,start_soh_compliance_rate,end_stock_success_rate,missed_demand_risk_count,overstocked_count,clean_exit_count,controlled_residual_count,unobservable_demand_count,cash_tied_up_units,cash_tied_up_cost_proxy,days_cover_p95,supplier_99999_success_rate,long_lead_supplier_success_rate,estimated_missed_sales_units,estimated_leftover_units,economic_value_proxy
total,52285,9.997131108348475,5.605814287080425,1429,1783,1089,1842,46142,128748.0,620565.36,168.0,,4.317901434971755,7609.0,128748.0,-412659.19000000006
supplier_replenishment_class=LONG_LEAD_TIME,15401,7.817674177001494,4.317901434971755,279,537,304,361,13920,37321.0,179887.22000000003,168.0,,4.317901434971755,594.0,37321.0,-127693.09999999999
supplier_replenishment_class=UNKNOWN_SUPPLIER,36884,10.907168419911073,6.143585294436612,1150,1246,785,1481,32222,91427.0,440678.14,168.0,,,7015.0,91427.0,-284966.09
department=ACHE PAIN SUPPORT,147,5.442176870748299,3.4013605442176873,1,4,1,4,137,376.0,1812.3200000000002,168.0,,,0.0,376.0,-1560.2400000000002
department=ALLERGY,107,12.149532710280374,9.345794392523365,2,2,5,5,93,282.0,1359.2400000000002,126.0882,,,2.0,282.0,-698.5500000000001
department=ANALGESICS,99,16.161616161616163,10.1010101010101,4,2,6,4,83,244.0,1176.0800000000002,167.6985,,,0.0,244.0,-964.7500000000001
department=ANTI FUNGAL VIRAL,23,4.3478260869565215,0.0,0,1,0,0,22,58.0,279.55999999999995,195.804,,,0.0,58.0,-205.33000000000007
department=BABY CARE,213,9.859154929577464,7.511737089201878,1,15,7,9,181,546.0,2631.7200000000003,167.79899999999998,,0.0,0.0,546.0,-2428.6000000000004
department=BATH TOILETRIES,550,14.545454545454545,8.545454545454545,29,18,16,31,456,1310.0,6314.200000000001,126.126,,6.521739130434782,174.0,1310.0,-5033.700000000001
department=BEAUTY ACCESSORIES,2557,6.609307782557685,3.9499413375048884,27,53,35,66,2376,5993.0,28886.260000000002,126.126,,0.7462686567164178,73.0,5993.0,-18851.760000000002
department=BEAUTY ELECTRICAL,92,6.521739130434782,4.3478260869565215,6,7,1,3,75,226.0,1089.3200000000002,156.21840000000006,,,2.0,226.0,-297.28000000000003
department=COLOUR COSMETICS,22702,6.6381816580037,3.0966434675359,214,603,294,409,21182,54225.0,261364.50000000003,189.189,,2.735940306756943,488.0,54225.0,-219727.58000000002
department=COUGH COLD,276,9.782608695652174,5.434782608695652,6,12,5,10,243,644.0,3104.0800000000004,153.916,,,8.0,644.0,-2465.1800000000003
department=DEODORANTS,626,22.843450479233226,12.140575079872203,39,42,18,58,469,1815.0,8748.3,83.98949999999999,,4.583333333333333,42.0,1815.0,-7327.52
department=DIGESTIVE CARE,448,11.160714285714286,8.035714285714286,9,19,20,16,384,1020.0,4916.400000000001,167.88275,,,19.0,1020.0,-3598.4
department=DISEASE STATE MGMT,10,10.0,10.0,0,0,1,0,9,19.0,91.58000000000001,15.39999999999997,,,0.0,19.0,-80.41000000000001
department=EYES EARS,424,4.481132075471698,3.0660377358490565,7,4,5,8,400,877.0,4227.14,42.009350000000005,,,9.0,877.0,-3500.6800000000003
department=FAMILY PLANNING,73,5.47945205479452,2.73972602739726,2,2,1,1,67,184.0,886.8800000000001,113.39999999999982,,,1.0,184.0,-756.44
