sku_number,sku_description,department,promotion_name,decision_triage_class,buyer_review_priority_score,buyer_review_queue_rank,brain_action_label,final_governed_action_label,final_governed_order_units,optimal_stock_position_order_units,regime_adjusted_decision_value,expected_promo_uplift_units,leftover_units_above_optimal,missed_demand_penalty,calibrated_regime_conviction_score,conviction_downgrade_reason,decision_triage_reason,human_interpretation_summary
199848,0.0,SKINCARE,unknown,HIGH_PRIORITY_BUY_REVIEW,43.0,1,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,4.0,4.0,56.189,2.327,0.0,35.88,35.0,high_wape_regime_cap,high_opportunity_controlled_risk_buy,"Brain proposes TOP_UP_TO_OPTIMAL for 4 units; top drivers: promo, demand, cash; constraints: none"
61549,0.0,SKINCARE,unknown,HIGH_PRIORITY_BUY_REVIEW,40.2,2,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,5.0,5.0,53.932,2.669,0.0,0.0,35.0,high_wape_regime_cap,high_opportunity_controlled_risk_buy,"Brain proposes TOP_UP_TO_OPTIMAL for 5 units; top drivers: promo, demand, cash; constraints: none"
90543,0.0,SKINCARE,unknown,HIGH_PRIORITY_BUY_REVIEW,39.8,3,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,4.0,4.0,61.173,1.856,1.0,0.0,35.0,high_wape_regime_cap,high_opportunity_controlled_risk_buy,"Brain proposes TOP_UP_TO_OPTIMAL for 4 units; top drivers: promo, demand, cash; constraints: none"
65610,0.0,SKINCARE,unknown,HIGH_PRIORITY_BUY_REVIEW,39.8,4,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,4.0,4.0,60.59,2.029,1.0,0.0,35.0,high_wape_regime_cap,high_opportunity_controlled_risk_buy,"Brain proposes TOP_UP_TO_OPTIMAL for 4 units; top drivers: promo, demand, cash; constraints: none"
94668,0.0,SKINCARE,unknown,HIGH_PRIORITY_BUY_REVIEW,39.8,5,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,4.0,4.0,50.64,1.929,1.0,0.0,35.0,high_wape_regime_cap,high_opportunity_controlled_risk_buy,"Brain proposes TOP_UP_TO_OPTIMAL for 4 units; top drivers: promo, demand, cash; constraints: none"
70978,0.0,SKINCARE,unknown,HIGH_PRIORITY_BUY_REVIEW,39.7,6,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,4.0,4.0,51.066,1.629,1.0,0.0,35.0,high_wape_regime_cap,high_opportunity_controlled_risk_buy,"Brain proposes TOP_UP_TO_OPTIMAL for 4 units; top drivers: promo, demand, cash; constraints: none"
65586,0.0,SKINCARE,unknown,HIGH_PRIORITY_BUY_REVIEW,39.5,7,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,5.0,5.0,48.957,2.907,2.0,0.0,35.0,high_wape_regime_cap,high_opportunity_controlled_risk_buy,"Brain proposes TOP_UP_TO_OPTIMAL for 5 units; top drivers: promo, demand, cash; constraints: none"
195087,0.0,SKINCARE,unknown,HIGH_PRIORITY_BUY_REVIEW,39.3,8,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,4.0,4.0,46.211,1.858,0.0,0.0,35.0,high_wape_regime_cap,high_opportunity_controlled_risk_buy,"Brain proposes TOP_UP_TO_OPTIMAL for 4 units; top drivers: promo, demand, cash; constraints: none"
40357,0.0,SKINCARE,unknown,HIGH_PRIORITY_BUY_REVIEW,39.2,9,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,4.0,4.0,47.288,1.804,1.0,0.0,35.0,high_wape_regime_cap,high_opportunity_controlled_risk_buy,"Brain proposes TOP_UP_TO_OPTIMAL for 4 units; top drivers: promo, demand, cash; constraints: none"
195049,0.0,SKINCARE,unknown,HIGH_PRIORITY_BUY_REVIEW,38.3,10,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,5.0,5.0,40.586,2.573,0.0,0.0,35.0,high_wape_regime_cap,high_opportunity_controlled_risk_buy,"Brain proposes TOP_UP_TO_OPTIMAL for 5 units; top drivers: promo, demand, cash; constraints: none"
