sku_number,sku_description,department,promotion_name,decision_triage_class,buyer_review_priority_score,triage_priority_score_v2,economic_priority_rank,economic_net_value_score,review_roi_score,review_roi_label,expected_gp_capture_value,missed_sales_avoidance_value,overstock_cash_release_value,brain_action_label,final_governed_action_label,priority_rank_change,priority_rank_change_reason
91441,0.0,HAIRCARE,unknown,STANDARD_BUY_REVIEW,0.0,47.1,1,487.509,30.469,HIGH,3.16,500.0,0.0,CONTROLLED_BUY,CONTROLLED_BUY,4798,economic_roi_major_uplift
188698,0.0,SKINCARE,unknown,STANDARD_BUY_REVIEW,0.0,21.1,1200,5.805,0.363,VERY_LOW,51.178,0.0,4.906,CONTROLLED_BUY,HOLD_FOR_REPLENISHMENT,3604,economic_roi_major_uplift
611053,0.0,HAIRCARE,unknown,STANDARD_BUY_REVIEW,0.5,21.7,1040,40.598,2.537,LOW,15.77,0.0,0.947,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,3456,economic_roi_major_uplift
23268,0.0,BABY CARE,unknown,STANDARD_RUN_DOWN_REVIEW,0.0,19.7,1653,-58.954,-3.685,VERY_LOW,8.06,0.0,1.875,NO_BUY_RUN_DOWN,NO_BUY_RUN_DOWN,3362,economic_roi_major_uplift
192083,0.0,SKINCARE,unknown,STANDARD_BUY_REVIEW,0.0,19.1,1904,-7.898,-0.494,VERY_LOW,51.971,0.0,0.0,CONTROLLED_BUY,HOLD_FOR_REPLENISHMENT,2906,economic_roi_major_uplift
61423,0.0,HAIRCARE,unknown,STANDARD_BUY_REVIEW,0.0,18.5,2229,-8.545,-0.534,VERY_LOW,4.825,0.0,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,2866,economic_roi_major_uplift
92899,0.0,HAIRCARE,unknown,STANDARD_BUY_REVIEW,4.0,23.1,727,47.048,2.94,LOW,14.788,0.0,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,2843,economic_roi_major_uplift
72934,0.0,FRAGRANCE,unknown,STANDARD_BUY_REVIEW,0.0,18.9,2005,29.691,1.856,LOW,0.0,0.0,0.0,CONTROLLED_BUY,CONTROLLED_BUY,2789,economic_roi_major_uplift
61424,0.0,HAIRCARE,unknown,STANDARD_BUY_REVIEW,0.0,18.3,2356,-8.904,-0.556,VERY_LOW,4.466,0.0,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,2740,economic_roi_major_uplift
187118,0.0,HAIRCARE,unknown,STANDARD_BUY_REVIEW,1.4,20.3,1440,62.674,3.917,LOW,10.76,50.0,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,2693,economic_roi_major_uplift
68202,0.0,HAIR REMOVAL,unknown,STANDARD_RUN_DOWN_REVIEW,0.0,18.3,2352,-42.579,-2.661,VERY_LOW,1.519,0.0,1.033,NO_BUY_RUN_DOWN,NO_BUY_RUN_DOWN,2692,economic_roi_major_uplift
