sku_number,sku_description,department,promotion_name,decision_triage_class,buyer_review_priority_score,triage_priority_score_v2,economic_priority_rank,economic_net_value_score,review_roi_score,review_roi_label,expected_gp_capture_value,missed_sales_avoidance_value,overstock_cash_release_value,brain_action_label,final_governed_action_label,priority_rank_change,priority_rank_change_reason
91441,0.0,HAIRCARE,unknown,STANDARD_BUY_REVIEW,0.0,47.1,1,487.509,30.469,HIGH,3.16,500.0,0.0,CONTROLLED_BUY,CONTROLLED_BUY,4798,economic_roi_major_uplift
91438,0.0,HAIRCARE,unknown,STANDARD_BUY_REVIEW,10.8,39.9,2,339.497,21.219,HIGH,0.0,344.769,0.0,CONTROLLED_BUY,CONTROLLED_BUY,1916,economic_roi_major_uplift
94902,0.0,SKINCARE,unknown,STANDARD_RUN_DOWN_REVIEW,18.6,38.4,3,214.792,13.424,MEDIUM,261.471,0.0,1.893,NO_BUY_RUN_DOWN,NO_BUY_RUN_DOWN,875,economic_roi_major_uplift
93339,0.0,SKINCARE,unknown,STANDARD_BUY_REVIEW,26.9,38.3,4,262.046,16.378,HIGH,21.812,317.138,0.0,CONTROLLED_BUY,CONTROLLED_BUY,227,economic_roi_major_uplift
94903,0.0,SKINCARE,unknown,STANDARD_BUY_REVIEW,15.9,37.5,5,253.28,15.83,HIGH,55.782,151.176,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,1185,economic_roi_major_uplift
87550,0.0,SUNCARE,unknown,STANDARD_RUN_DOWN_REVIEW,25.2,37.1,6,174.195,10.887,MEDIUM,218.293,0.0,1.033,NO_BUY_RUN_DOWN,NO_BUY_RUN_DOWN,308,economic_roi_major_uplift
94902,0.0,SKINCARE,unknown,HIGH_PRIORITY_BUY_REVIEW,19.1,35.1,7,186.055,7.752,MEDIUM,294.206,0.0,5.016,AGGRESSIVE_BUY,AGGRESSIVE_BUY,832,economic_roi_major_uplift
91439,0.0,HAIRCARE,unknown,STANDARD_BUY_REVIEW,13.8,34.3,8,234.655,14.666,MEDIUM,0.0,243.715,0.0,CONTROLLED_BUY,CONTROLLED_BUY,1455,economic_roi_major_uplift
199848,0.0,SKINCARE,unknown,HIGH_PRIORITY_BUY_REVIEW,43.0,33.5,9,67.697,2.821,LOW,27.831,71.76,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,-8,not_in_review_queue
65589,0.0,SKINCARE,unknown,HIGH_PRIORITY_BUY_REVIEW,37.3,33.1,10,76.203,3.175,LOW,116.799,0.0,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,4,not_in_review_queue
