sku_number,sku_description,department,promotion_name,promo_demand_source_quality_repaired,long_tail_sku_flag,basket_completion_sku_flag,basket_3plus_attachment_rate,long_tail_stockout_risk_score,long_tail_protection_value,data_fix_required
192356,0.0,BEAUTY ELECTRICAL,unknown,UNSAFE,YES,NO,UNKNOWN,90.0,0.0,Need basket attachment evidence
192577,0.0,ORAL HEALTH,unknown,UNSAFE,YES,NO,UNKNOWN,90.0,0.0,Need basket attachment evidence
606952,0.0,VITAMIN SUPPLEMENT,unknown,UNSAFE,YES,NO,UNKNOWN,90.0,0.0,Need basket attachment evidence
88080,0.0,SKINCARE,unknown,UNSAFE,YES,NO,UNKNOWN,90.0,0.0,Need basket attachment evidence
277908,0.0,HAIRCARE,unknown,HIGH,YES,NO,UNKNOWN,90.0,125.235,Need basket attachment evidence
192124,0.0,SKINCARE,unknown,UNSAFE,YES,NO,UNKNOWN,90.0,0.0,Need basket attachment evidence
199947,0.0,SKINCARE,unknown,UNSAFE,YES,NO,UNKNOWN,90.0,0.0,Need basket attachment evidence
27160,0.0,SKINCARE,unknown,UNSAFE,YES,NO,UNKNOWN,90.0,0.0,Need basket attachment evidence
90766,0.0,SKINCARE,unknown,UNSAFE,YES,NO,UNKNOWN,90.0,0.0,Need basket attachment evidence
91438,0.0,HAIRCARE,unknown,HIGH,YES,NO,UNKNOWN,90.0,100.68,Need basket attachment evidence
91439,0.0,HAIRCARE,unknown,HIGH,YES,NO,UNKNOWN,90.0,75.495,Need basket attachment evidence
93902,0.0,HAIR ACC BRUSHES,unknown,UNSAFE,YES,NO,UNKNOWN,90.0,0.0,Need basket attachment evidence
95278,0.0,VITAMIN SUPPLEMENT,unknown,UNSAFE,YES,NO,UNKNOWN,90.0,0.0,Need basket attachment evidence
185558,0.0,VITAMIN SUPPLEMENT,unknown,UNSAFE,YES,NO,UNKNOWN,90.0,0.0,Need basket attachment evidence
16527,0.0,SKINCARE,unknown,UNSAFE,YES,NO,UNKNOWN,90.0,0.0,Need basket attachment evidence
192844,0.0,TANNING,unknown,UNSAFE,YES,NO,UNKNOWN,90.0,0.0,Need basket attachment evidence
199948,0.0,SKINCARE,unknown,UNSAFE,YES,NO,UNKNOWN,90.0,0.0,Need basket attachment evidence
90348,0.0,SKINCARE,unknown,UNSAFE,YES,NO,UNKNOWN,90.0,0.0,Need basket attachment evidence
92900,0.0,HAIRCARE,unknown,UNSAFE,YES,NO,UNKNOWN,90.0,0.0,Need basket attachment evidence
94507,0.0,SKINCARE,unknown,HIGH,YES,NO,UNKNOWN,90.0,38.49,Need basket attachment evidence
184677,0.0,SKINCARE,unknown,HIGH,YES,NO,UNKNOWN,86.5,7.41,Need basket attachment evidence
73950,0.0,SKINCARE,unknown,HIGH,YES,NO,UNKNOWN,82.3,2.625,Need basket attachment evidence
12004,0.0,SKINCARE,unknown,UNSAFE,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
16857,0.0,SUNCARE,unknown,UNSAFE,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
18535,0.0,HAIR REMOVAL,unknown,UNSAFE,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
185454,0.0,COLOUR COSMETICS,unknown,UNSAFE,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
187996,0.0,VITAMIN SUPPLEMENT,unknown,UNSAFE,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
192105,0.0,SKINCARE,unknown,UNSAFE,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
192205,0.0,SKINCARE,unknown,UNSAFE,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
192806,0.0,ORAL HEALTH,unknown,UNSAFE,YES,NO,UNKNOWN,70.0,0.0,Need basket attachment evidence
193713,0.0,SKINCARE,unknown,UNSAFE,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
