sku_number,sku_description,department,promotion_name,decision_triage_class,economic_priority_rank,economic_net_value_score,missed_sales_avoidance_value,brain_action_label,final_governed_action_label,current_soh,expected_soh_at_promo_start_before_order,long_tail_sku_flag,basket_completion_sku_flag,basket_attachment_score,basket_mission_importance_score,long_tail_stockout_risk_score,basket_loss_multiplier,long_tail_protection_value,basket_trust_convexity_value,long_tail_basket_protection_reason
91441,0.0,HAIRCARE,unknown,STANDARD_BUY_REVIEW,1,487.509,500.0,CONTROLLED_BUY,CONTROLLED_BUY,11.0,11.0,NO,NO,0.0,0.0,40.0,1.0,0.0,0.0,standard_volume_protection
91438,0.0,HAIRCARE,unknown,STANDARD_BUY_REVIEW,2,339.497,344.769,CONTROLLED_BUY,CONTROLLED_BUY,6.0,6.0,NO,NO,0.0,0.0,20.0,1.0,0.0,0.0,standard_volume_protection
94902,0.0,SKINCARE,unknown,STANDARD_RUN_DOWN_REVIEW,3,214.792,0.0,NO_BUY_RUN_DOWN,NO_BUY_RUN_DOWN,9.0,9.0,NO,NO,0.0,0.0,0.0,1.0,0.0,0.0,standard_volume_protection
93339,0.0,SKINCARE,unknown,STANDARD_BUY_REVIEW,4,262.046,317.138,CONTROLLED_BUY,CONTROLLED_BUY,0.0,0.0,NO,NO,0.0,0.0,70.0,1.0,0.0,0.0,standard_volume_protection
87550,0.0,SUNCARE,unknown,STANDARD_RUN_DOWN_REVIEW,5,174.195,0.0,NO_BUY_RUN_DOWN,NO_BUY_RUN_DOWN,6.0,6.0,NO,NO,0.0,0.0,0.0,1.0,0.0,0.0,standard_volume_protection
94903,0.0,SKINCARE,unknown,STANDARD_BUY_REVIEW,6,253.28,151.176,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,3.0,3.0,NO,NO,0.0,0.0,40.0,1.0,0.0,0.0,standard_volume_protection
91441,0.0,HAIRCARE,unknown,STANDARD_BUY_REVIEW,7,243.027,92.475,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,2.0,2.0,YES,NO,0.0,0.0,60.0,1.5,138.435,0.0,long_tail_mission_relevance_review
94902,0.0,SKINCARE,unknown,HIGH_PRIORITY_BUY_REVIEW,8,186.055,0.0,AGGRESSIVE_BUY,AGGRESSIVE_BUY,3.0,3.0,NO,NO,0.0,0.0,0.0,1.0,0.0,0.0,standard_volume_protection
199848,0.0,SKINCARE,unknown,HIGH_PRIORITY_BUY_REVIEW,9,67.697,71.76,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,0.0,0.0,NO,NO,0.0,0.0,70.0,1.0,0.0,0.0,standard_volume_protection
65589,0.0,SKINCARE,unknown,HIGH_PRIORITY_BUY_REVIEW,10,76.203,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,0.0,0.0,NO,NO,0.0,0.0,30.0,1.0,0.0,0.0,standard_volume_protection
91439,0.0,HAIRCARE,unknown,STANDARD_BUY_REVIEW,11,234.655,243.715,CONTROLLED_BUY,CONTROLLED_BUY,5.0,5.0,NO,NO,0.0,0.0,20.0,1.0,0.0,0.0,standard_volume_protection
65586,0.0,SKINCARE,unknown,HIGH_PRIORITY_BUY_REVIEW,12,45.015,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,0.0,0.0,NO,NO,0.0,0.0,30.0,1.0,0.0,0.0,standard_volume_protection
65610,0.0,SKINCARE,unknown,HIGH_PRIORITY_BUY_REVIEW,13,40.246,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,0.0,0.0,NO,NO,0.0,0.0,30.0,1.0,0.0,0.0,standard_volume_protection
186282,0.0,SKINCARE,unknown,STANDARD_BUY_REVIEW,14,151.237,108.245,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,2.0,2.0,NO,NO,0.0,0.0,40.0,1.0,0.0,0.0,standard_volume_protection
90543,0.0,SKINCARE,unknown,HIGH_PRIORITY_BUY_REVIEW,15,35.714,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,0.0,0.0,NO,NO,0.0,0.0,30.0,1.0,0.0,0.0,standard_volume_protection
65559,0.0,SKINCARE,unknown,HIGH_PRIORITY_BUY_REVIEW,16,45.392,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,0.0,0.0,NO,NO,0.0,0.0,30.0,1.0,0.0,0.0,standard_volume_protection
94668,0.0,SKINCARE,unknown,HIGH_PRIORITY_BUY_REVIEW,17,27.461,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,0.0,0.0,NO,NO,0.0,0.0,30.0,1.0,0.0,0.0,standard_volume_protection
93339,0.0,SKINCARE,unknown,HIGH_PRIORITY_BUY_REVIEW,18,53.927,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,0.0,0.0,NO,NO,0.0,0.0,30.0,1.0,0.0,0.0,standard_volume_protection
606650,0.0,VITAMIN SUPPLEMENT,unknown,STANDARD_BUY_REVIEW,19,53.185,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,2.0,2.0,YES,NO,0.0,0.0,40.0,1.5,0.0,0.0,long_tail_mission_relevance_review
70978,0.0,SKINCARE,unknown,HIGH_PRIORITY_BUY_REVIEW,20,19.8,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,0.0,0.0,NO,NO,0.0,0.0,30.0,1.0,0.0,0.0,standard_volume_protection
40357,0.0,SKINCARE,unknown,HIGH_PRIORITY_BUY_REVIEW,21,21.088,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,0.0,0.0,NO,NO,0.0,0.0,30.0,1.0,0.0,0.0,standard_volume_protection
91438,0.0,HAIRCARE,unknown,STANDARD_RUN_DOWN_REVIEW,22,62.488,0.0,NO_BUY_RUN_DOWN,NO_BUY_RUN_DOWN,11.0,11.0,NO,NO,0.0,0.0,0.0,1.0,0.0,0.0,standard_volume_protection
65560,0.0,SKINCARE,unknown,HIGH_PRIORITY_BUY_REVIEW,23,19.973,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,0.0,0.0,NO,NO,0.0,0.0,30.0,1.0,0.0,0.0,standard_volume_protection
61549,0.0,SKINCARE,unknown,HIGH_PRIORITY_BUY_REVIEW,24,7.488,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,0.0,0.0,NO,NO,0.0,0.0,30.0,1.0,0.0,0.0,standard_volume_protection
199901,0.0,SKINCARE,unknown,HIGH_PRIORITY_BUY_REVIEW,25,13.81,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,0.0,0.0,NO,NO,0.0,0.0,30.0,1.0,0.0,0.0,standard_volume_protection
