department,row_count,real_basket_evidence_rows,unknown_quality_rows,median_sample_size,avg_mission_sku_score
COLOUR COSMETICS,22702,14649,8053,2.0,7.014245440930314
SKINCARE,8527,6102,2425,7.0,9.266436026738594
HAIRCARE,4705,3428,1277,5.0,7.648204038257174
BEAUTY ACCESSORIES,2557,1803,754,6.0,6.284747751271021
VITAMIN SUPPLEMENT,2336,1419,917,2.0,8.960402397260275
FRAGRANCE,2002,872,1130,0.0,8.216233766233767
ORAL HEALTH,1225,821,404,7.0,5.887183673469388
SUNCARE,878,653,225,9.0,9.063097949886105
HAIR ACC BRUSHES,781,601,180,10.0,5.581946222791293
TANNING,771,591,180,5.0,9.77016861219196
DEODORANTS,626,483,143,13.0,5.241533546325878
MENS GROOMING,583,353,230,1.0,6.424356775300172
BATH TOILETRIES,550,333,217,4.0,5.073818181818182
HAIR REMOVAL,488,330,158,3.0,6.762295081967213
DIGESTIVE CARE,448,274,174,1.0,6.613169642857143
EYES EARS,424,121,303,0.0,3.9535377358490567
FEMININE CARE,392,271,121,19.0,3.6607142857142856
GIFTING,355,100,255,0.0,3.100845070422535
COUGH COLD,276,182,94,3.0,7.335869565217392
BABY CARE,213,163,50,2.0,8.967605633802817
FIRSTAID WOUNDCARE,198,103,95,1.0,3.1585858585858584
FOOTCARE,193,139,54,5.0,8.583937823834198
INCONTINENCE,184,125,59,3.0,6.828804347826087
ACHE PAIN SUPPORT,147,84,63,1.0,7.033333333333334
SMOKING CESSATION,130,58,72,0.0,7.454615384615384
NUTRITION WELLBEIN,111,60,51,1.0,7.772072072072072
ALLERGY,107,76,31,5.0,11.411214953271028
ANALGESICS,99,56,43,1.0,6.445454545454545
BEAUTY ELECTRICAL,92,64,28,2.5,11.05
FAMILY PLANNING,73,48,25,3.0,6.884931506849315
PAPER COTTON,58,47,11,31.5,4.2620689655172415
ANTI FUNGAL VIRAL,23,18,5,3.0,10.295652173913044
SNACKS BEVERAGES,16,10,6,1.0,2.4375
DISEASE STATE MGMT,10,2,8,0.0,2.6100000000000003
INSOMNIA,2,0,2,0.0,0.0
GENERAL MERCHANDIS,2,0,2,0.0,0.0
HOME HEALTH,1,0,1,0.0,0.0
