sku_number,sku_description,department,feature_basket_3plus_attach_rate,feature_basket_5plus_attach_rate,feature_avg_basket_gp_when_present,feature_sister_club_attach_rate,mission_sku_score,basket_completion_sku_score,range_trust_sku_score,long_tail_mission_sku_flag,mission_sku_reason
70978,0.0,SKINCARE,0.0,0.0,13.87,0.4,32.0,0.0,17.6,NO,standard_mission_profile
35193,0.0,VITAMIN SUPPLEMENT,0.0,0.0,12.965,0.3966,32.0,0.0,17.6,NO,standard_mission_profile
72934,0.0,FRAGRANCE,0.0,0.0,17.455,0.4035,32.0,0.0,17.6,NO,standard_mission_profile
185219,0.0,FRAGRANCE,0.0,0.0,27.284,0.375,31.9,0.0,17.5,NO,standard_mission_profile
185219,0.0,FRAGRANCE,0.0,0.0,27.284,0.375,31.9,0.0,17.5,NO,standard_mission_profile
62855,0.0,SKINCARE,0.0,0.0,10.044,0.3714,31.9,0.0,17.5,NO,standard_mission_profile
72934,0.0,FRAGRANCE,0.0,0.0,17.299,0.3673,31.8,0.0,17.5,NO,standard_mission_profile
72934,0.0,FRAGRANCE,0.0,0.0,17.299,0.3673,31.8,0.0,17.5,NO,standard_mission_profile
192083,0.0,SKINCARE,0.0,0.0,10.642,0.3467,31.7,0.0,17.4,NO,standard_mission_profile
185220,0.0,FRAGRANCE,0.0,0.0,20.122,0.3333,31.7,0.0,17.4,NO,standard_mission_profile
185220,0.0,FRAGRANCE,0.0,0.0,20.122,0.3333,31.7,0.0,17.4,NO,standard_mission_profile
185220,0.0,FRAGRANCE,0.0,0.0,20.122,0.3333,31.7,0.0,17.4,NO,standard_mission_profile
606421,0.0,VITAMIN SUPPLEMENT,0.0,0.0,17.315,0.3165,31.6,0.0,17.4,NO,standard_mission_profile
57314,0.0,SKINCARE,0.0,0.0,9.817,0.3125,31.6,0.0,17.4,NO,standard_mission_profile
655159,0.0,SKINCARE,0.0,0.0,9.34,0.3415,31.5,0.0,17.3,NO,standard_mission_profile
655159,0.0,SKINCARE,0.0,0.0,9.34,0.3415,31.5,0.0,17.3,NO,standard_mission_profile
195098,0.0,SKINCARE,0.0,0.0,10.793,0.2941,31.5,0.0,17.3,NO,standard_mission_profile
57315,0.0,SKINCARE,0.0,0.0,10.442,0.2903,31.5,0.0,17.3,NO,standard_mission_profile
70977,0.0,SKINCARE,0.0,0.0,12.724,0.303,31.5,0.0,17.3,NO,standard_mission_profile
190839,0.0,SKINCARE,0.0,0.0,14.077,0.2778,31.4,0.0,17.3,NO,standard_mission_profile
24924,0.0,SKINCARE,0.0,0.0,10.153,0.2667,31.3,0.0,17.2,NO,standard_mission_profile
65589,0.0,SKINCARE,0.0,0.0,14.571,0.2683,31.3,0.0,17.2,NO,standard_mission_profile
11895,0.0,SKINCARE,0.0,0.0,9.027,0.3793,31.2,0.0,17.2,NO,standard_mission_profile
188719,0.0,SKINCARE,0.0,0.0,10.048,0.2333,31.2,0.0,17.2,NO,standard_mission_profile
188857,0.0,SKINCARE,0.0,0.0,9.423,0.2667,31.2,0.0,17.2,NO,standard_mission_profile
190840,0.0,SKINCARE,0.0,0.0,10.481,0.2105,31.1,0.0,17.1,NO,standard_mission_profile
