sku_number,sku_description,final_governed_action_label,brain_learned_action_label,brain_value_gap_vs_current,economic_net_value_score,brain_expected_economic_value,brain_expected_stock_exit_distance,long_tail_protection_value,basket_trust_convexity_value,stock_exit_gap,missed_demand_risk_gap,basket_trust_gap
508241,0.0,NO_BUY_RUN_DOWN,BUYER_REVIEW_REQUIRED,119.735,65.029,184.764,24.324,0.196,0.0,24.324,0.0,0.196
606421,0.0,CONTROLLED_BUY,BUYER_REVIEW_REQUIRED,119.512,78.127,197.639,21.323,1.027,0.0,21.323,0.0,1.027
199841,0.0,CONTROLLED_BUY,BUYER_REVIEW_REQUIRED,94.554,109.054,203.608,14.77,0.401,0.0,14.77,0.0,0.401
94457,0.0,TOP_UP_TO_OPTIMAL,BUYER_REVIEW_REQUIRED,91.927,56.194,148.121,6.664,0.554,0.0,6.664,0.0,0.554
91438,0.0,TOP_UP_TO_OPTIMAL,BUYER_REVIEW_REQUIRED,70.414,203.362,273.776,1.962,120.216,10.074,1.962,0.0,130.29
63361,0.0,BLOCKED_UNSAFE,BLOCKED_UNSAFE,69.405,-155.14,-85.735,12.147,0.0,0.0,12.147,0.0,0.0
35193,0.0,BLOCKED_UNSAFE,BLOCKED_UNSAFE,68.624,-154.359,-85.735,16.376,0.0,0.0,16.376,0.0,0.0
192033,0.0,BLOCKED_UNSAFE,BLOCKED_UNSAFE,67.162,-153.246,-86.084,16.1,0.0,0.0,16.1,0.0,0.0
185219,0.0,TOP_UP_TO_OPTIMAL,BUYER_REVIEW_REQUIRED,62.238,45.493,107.731,1.943,6.702,0.0,1.943,0.0,6.702
91536,0.0,TOP_UP_TO_OPTIMAL,BUYER_REVIEW_REQUIRED,60.753,31.091,91.844,4.151,0.0,0.0,4.151,0.0,0.0
186282,0.0,TOP_UP_TO_OPTIMAL,BUYER_REVIEW_REQUIRED,58.404,152.132,210.536,2.087,0.895,0.0,2.087,0.0,0.895
94563,0.0,NO_BUY_RUN_DOWN,HOLD_FOR_REPLENISHMENT,57.834,65.716,123.55,2.841,0.305,0.0,2.841,0.0,0.305
42784,0.0,TOP_UP_TO_OPTIMAL,BUYER_REVIEW_REQUIRED,55.298,43.522,98.82,1.944,1.862,0.0,1.944,0.0,1.862
92849,0.0,TOP_UP_TO_OPTIMAL,BUYER_REVIEW_REQUIRED,52.906,64.75,117.656,12.563,0.135,0.0,12.563,0.0,0.135
192046,0.0,HOLD_FOR_REPLENISHMENT,HOLD_FOR_REPLENISHMENT,47.634,-122.724,-75.09,6.103,0.0,0.0,6.103,0.0,0.0
194048,0.0,HOLD_FOR_REPLENISHMENT,HOLD_FOR_REPLENISHMENT,47.199,-122.289,-75.09,3.678,0.0,0.0,3.678,0.0,0.0
87547,0.0,TOP_UP_TO_OPTIMAL,BUYER_REVIEW_REQUIRED,46.783,54.676,101.459,1.962,1.751,0.0,1.962,0.0,1.751
93914,0.0,NO_BUY_RUN_DOWN,BUYER_REVIEW_REQUIRED,46.136,82.705,128.841,2.183,32.665,2.032,2.183,0.0,34.697
195051,0.0,BLOCKED_UNSAFE,BLOCKED_UNSAFE,44.922,-119.802,-74.88,9.302,0.0,0.0,9.302,0.0,0.0
643181,0.0,HOLD_FOR_REPLENISHMENT,BUYER_REVIEW_REQUIRED,43.914,127.001,170.915,4.149,0.59,0.0,4.149,0.0,0.59
4759,0.0,TOP_UP_TO_OPTIMAL,BUYER_REVIEW_REQUIRED,43.739,48.105,91.844,2.077,0.0,0.0,2.077,0.0,0.0
91533,0.0,TOP_UP_TO_OPTIMAL,BUYER_REVIEW_REQUIRED,40.994,54.615,95.609,5.166,0.0,0.0,5.166,0.0,0.0
92848,0.0,CONTROLLED_BUY,BUYER_REVIEW_REQUIRED,40.648,114.086,154.734,12.066,0.207,0.0,12.066,0.0,0.207
192046,0.0,HOLD_FOR_REPLENISHMENT,HOLD_FOR_REPLENISHMENT,39.379,-122.837,-83.458,25.801,0.0,0.0,25.801,0.0,0.0
93336,0.0,NO_BUY_RUN_DOWN,BUYER_REVIEW_REQUIRED,38.605,112.65,151.255,2.183,8.634,14.39,2.183,0.0,23.024
32861,0.0,NO_BUY_RUN_DOWN,HOLD_FOR_REPLENISHMENT,37.105,-125.844,-88.739,16.355,0.0,0.0,16.355,0.0,0.0
69756,0.0,BLOCKED_UNSAFE,BLOCKED_UNSAFE,36.882,-124.948,-88.066,16.418,0.0,0.0,16.418,0.0,0.0
698520,0.0,HOLD_FOR_REPLENISHMENT,BUYER_REVIEW_REQUIRED,36.254,32.539,68.793,26.405,0.0,0.0,26.405,0.0,0.0
90155,0.0,HOLD_FOR_REPLENISHMENT,HOLD_FOR_REPLENISHMENT,36.24,31.02,67.26,2.775,0.087,0.0,2.775,0.0,0.087
91534,0.0,TOP_UP_TO_OPTIMAL,BUYER_REVIEW_REQUIRED,35.841,59.768,95.609,3.564,0.318,0.0,3.564,0.0,0.318
23268,0.0,BLOCKED_UNSAFE,BLOCKED_UNSAFE,35.365,-120.947,-85.582,18.271,0.0,0.0,18.271,0.0,0.0
91438,0.0,NO_BUY_RUN_DOWN,BUYER_REVIEW_REQUIRED,35.333,62.488,97.821,1.621,0.0,0.0,1.621,0.0,0.0
199848,0.0,TOP_UP_TO_OPTIMAL,BUYER_REVIEW_REQUIRED,35.066,68.393,103.459,1.962,0.696,0.0,1.962,0.0,0.696
189553,0.0,HOLD_FOR_REPLENISHMENT,HOLD_FOR_REPLENISHMENT,34.913,-110.003,-75.09,4.982,0.0,0.0,4.982,0.0,0.0
93951,0.0,NO_BUY_RUN_DOWN,BUYER_REVIEW_REQUIRED,32.447,80.455,112.902,2.183,33.078,1.479,2.183,0.0,34.557
197473,0.0,NO_BUY_RUN_DOWN,BUYER_REVIEW_REQUIRED,31.74,66.19,97.93,2.121,0.497,0.0,2.121,0.0,0.497
193713,0.0,BLOCKED_UNSAFE,BLOCKED_UNSAFE,29.552,-117.269,-87.717,18.924,0.0,0.0,18.924,0.0,0.0
48513,0.0,NO_BUY_RUN_DOWN,HOLD_FOR_REPLENISHMENT,28.909,36.773,65.682,1.988,2.698,4.495,1.988,0.0,7.193
58669,0.0,NO_BUY_RUN_DOWN,BUYER_REVIEW_REQUIRED,28.865,25.256,54.121,1.988,2.165,3.609,1.988,0.0,5.774
18512,0.0,CONTROLLED_BUY,BUYER_REVIEW_REQUIRED,28.775,66.774,95.549,20.54,0.569,0.0,20.54,0.0,0.569
94663,0.0,NO_BUY_RUN_DOWN,BUYER_REVIEW_REQUIRED,27.438,44.684,72.122,2.188,30.695,1.952,2.188,0.0,32.647
87753,0.0,CONTROLLED_BUY,BUYER_REVIEW_REQUIRED,26.686,90.238,116.924,3.378,0.51,0.0,3.378,0.0,0.51
91442,0.0,TOP_UP_TO_OPTIMAL,BUYER_REVIEW_REQUIRED,26.553,172.413,198.966,9.325,0.186,0.0,9.325,0.0,0.186
340014,0.0,HOLD_FOR_REPLENISHMENT,HOLD_FOR_REPLENISHMENT,26.508,46.783,73.291,21.267,0.0,0.0,21.267,0.0,0.0
91441,0.0,BLOCKED_UNSAFE,BLOCKED_UNSAFE,26.381,20.772,47.153,0.976,0.0,0.0,0.976,0.0,0.0
193125,0.0,HOLD_FOR_REPLENISHMENT,HOLD_FOR_REPLENISHMENT,26.193,45.075,71.268,2.775,0.762,0.0,2.775,0.0,0.762
