model_name,feature_name,feature_family,importance_score,rank,direction_if_available
uplift_model,current_soh,stock_optimal,0.33334751558270354,1,positive
uplift_model,promo_start_soh_resolved,stock_optimal,0.33334751558270354,2,positive
uplift_model,expected_soh_at_promo_start_before_order,stock_optimal,0.33334751558270354,3,positive
uplift_model,distance_to_optimal_end_soh,stock_optimal,0.32791552517397704,4,positive
uplift_model,missed_sales_avoidance_value,economic_triage,0.1728528662414981,5,positive
uplift_model,expected_promo_uplift_units,demand_uplift,0.1677933902750988,6,positive
uplift_model,overstock_cash_release_value,economic_triage,0.15503073341700238,7,positive
uplift_model,overall_regime_risk_score,regime_brain,0.1357616543845489,8,positive
uplift_model,expected_total_promo_demand_units,demand_uplift,0.11300456872763566,9,positive
uplift_model,target_day_one_promo_soh,stock_optimal,0.10212123379827373,10,positive
uplift_model,long_tail_protection_value,basket_trust,0.09938585256890528,11,positive
uplift_model,basket_trust_convexity_value,basket_trust,0.08982820485341347,12,positive
uplift_model,overall_regime_opportunity_score,regime_brain,0.07963577092673568,13,positive
uplift_model,optimal_base_soh_units,stock_optimal,0.07770633205395437,14,positive
uplift_model,target_end_promo_soh,stock_optimal,0.07770633205395437,15,positive
economic_value_model,economic_net_value_score,economic_triage,1.0,1,positive
economic_value_model,supplier_risk_cost,supplier_replenishment,0.7428321696014091,2,negative
economic_value_model,supplier_economic_risk_cost,supplier_replenishment,0.7428321696014091,3,negative
economic_value_model,review_roi_score,economic_triage,0.6943953610351465,4,positive
economic_value_model,overall_regime_risk_score,regime_brain,0.5446438541702621,5,negative
economic_value_model,missed_sales_avoidance_value,economic_triage,0.37648231328136145,6,positive
economic_value_model,long_tail_protection_value,basket_trust,0.2986513534235945,7,positive
economic_value_model,basket_trust_protection_value,economic_triage,0.28906820535412203,8,positive
economic_value_model,expected_gp_capture_value,economic_triage,0.2574556509033077,9,positive
economic_value_model,basket_trust_convexity_value,basket_trust,0.24675467353418784,10,positive
economic_value_model,expected_normal_units_during_promo,demand_uplift,0.19432046435724634,11,negative
economic_value_model,optimal_base_soh_units,stock_optimal,0.18602228559585193,12,negative
economic_value_model,target_end_promo_soh,stock_optimal,0.18602228559585193,13,negative
economic_value_model,average_daily_units,demand_uplift,0.18452087693903746,14,negative
economic_value_model,target_day_one_promo_soh,stock_optimal,0.1696887028373274,15,negative
stock_exit_model,distance_to_optimal_end_soh,stock_optimal,0.9999999999999999,1,positive
stock_exit_model,expected_total_promo_demand_units,demand_uplift,0.6497975255162627,2,positive
stock_exit_model,expected_normal_units_during_promo,demand_uplift,0.631262270083989,3,positive
stock_exit_model,average_daily_units,demand_uplift,0.6219812547027261,4,positive
stock_exit_model,target_day_one_promo_soh,stock_optimal,0.6183860720362114,5,positive
stock_exit_model,optimal_base_soh_units,stock_optimal,0.5986313847682135,6,positive
stock_exit_model,target_end_promo_soh,stock_optimal,0.5986313847682135,7,positive
stock_exit_model,current_soh,stock_optimal,0.44201695514462197,8,positive
stock_exit_model,promo_start_soh_resolved,stock_optimal,0.44201695514462197,9,positive
stock_exit_model,expected_soh_at_promo_start_before_order,stock_optimal,0.44201695514462197,10,positive
stock_exit_model,cash_tied_above_optimal_cost,stock_optimal,0.32856840188938213,11,positive
stock_exit_model,overstock_cash_release_value,economic_triage,0.27622396316423553,12,positive
stock_exit_model,overall_regime_risk_score,regime_brain,0.20628252604184555,13,positive
stock_exit_model,expected_promo_uplift_units,demand_uplift,0.1447526825910442,14,positive
stock_exit_model,basket_trust_protection_value,economic_triage,0.14148141166829437,15,positive
action_classifier,average_daily_units,demand_uplift,0.0,1,
action_classifier,expected_normal_units_during_promo,demand_uplift,0.0,2,
action_classifier,expected_promo_uplift_units,demand_uplift,0.0,3,
action_classifier,expected_total_promo_demand_units,demand_uplift,0.0,4,
action_classifier,promo_uplift_multiplier,demand_uplift,0.0,5,
action_classifier,promo_convexity_score,demand_uplift,0.0,6,
action_classifier,recent_momentum_regime__cat,demand_uplift,0.0,7,
action_classifier,sku_demand_regime__cat,demand_uplift,0.0,8,
action_classifier,current_soh,stock_optimal,0.0,9,
action_classifier,promo_start_soh_resolved,stock_optimal,0.0,10,
action_classifier,expected_soh_at_promo_start_before_order,stock_optimal,0.0,11,
action_classifier,optimal_base_soh_units,stock_optimal,0.0,12,
action_classifier,target_day_one_promo_soh,stock_optimal,0.0,13,
action_classifier,target_end_promo_soh,stock_optimal,0.0,14,
action_classifier,distance_to_optimal_end_soh,stock_optimal,0.0,15,
