SKU,description,department,decision_triage_class,brain_learned_action_label,brain_expected_economic_value,economic_net_value_score,brain_value_gap_vs_current,brain_top_feature_1,brain_top_feature_2,constraint_block_flag,promo_demand_source_quality,buyer_check,governance_block_reason
508241,0.0,SKINCARE,WATCHLIST_ONLY,BUYER_REVIEW_REQUIRED,184.764,65.029,119.735,current_soh,promo_start_soh_resolved,YES,LOW,Review brain vs economic queue gap,constraint_blocked
606421,0.0,VITAMIN SUPPLEMENT,STANDARD_BUY_REVIEW,BUYER_REVIEW_REQUIRED,197.639,78.127,119.512,current_soh,promo_start_soh_resolved,NO,LOW,Review brain vs economic queue gap,
199841,0.0,SKINCARE,STANDARD_BUY_REVIEW,BUYER_REVIEW_REQUIRED,203.608,109.054,94.554,current_soh,promo_start_soh_resolved,NO,LOW,Review brain vs economic queue gap,
94457,0.0,SKINCARE,STANDARD_BUY_REVIEW,BUYER_REVIEW_REQUIRED,148.121,56.194,91.927,current_soh,promo_start_soh_resolved,NO,LOW,Review brain vs economic queue gap,
91438,0.0,HAIRCARE,STANDARD_BUY_REVIEW,BUYER_REVIEW_REQUIRED,273.776,203.362,70.414,current_soh,promo_start_soh_resolved,NO,UNSAFE,Review brain vs economic queue gap,UNSAFE_blocked
63361,0.0,SKINCARE,AUTO_BLOCK_UNSAFE,BLOCKED_UNSAFE,-85.735,-155.14,69.405,current_soh,promo_start_soh_resolved,YES,UNSAFE,Review brain vs economic queue gap,UNSAFE_blocked
35193,0.0,VITAMIN SUPPLEMENT,AUTO_BLOCK_UNSAFE,BLOCKED_UNSAFE,-85.735,-154.359,68.624,current_soh,promo_start_soh_resolved,YES,UNSAFE,Review brain vs economic queue gap,UNSAFE_blocked
192033,0.0,SKINCARE,AUTO_BLOCK_UNSAFE,BLOCKED_UNSAFE,-86.084,-153.246,67.162,current_soh,promo_start_soh_resolved,YES,UNSAFE,Review brain vs economic queue gap,UNSAFE_blocked
185219,0.0,FRAGRANCE,STANDARD_BUY_REVIEW,BUYER_REVIEW_REQUIRED,107.731,45.493,62.238,current_soh,promo_start_soh_resolved,NO,UNSAFE,Review brain vs economic queue gap,UNSAFE_blocked
91536,0.0,HAIRCARE,STANDARD_BUY_REVIEW,BUYER_REVIEW_REQUIRED,91.844,31.091,60.753,current_soh,promo_start_soh_resolved,NO,LOW,Review brain vs economic queue gap,
186282,0.0,SKINCARE,STANDARD_BUY_REVIEW,BUYER_REVIEW_REQUIRED,210.536,152.132,58.404,current_soh,promo_start_soh_resolved,NO,LOW,Review brain vs economic queue gap,
94563,0.0,SKINCARE,WATCHLIST_ONLY,HOLD_FOR_REPLENISHMENT,123.55,65.716,57.834,current_soh,promo_start_soh_resolved,YES,LOW,Review brain vs economic queue gap,constraint_blocked
42784,0.0,SKINCARE,HIGH_PRIORITY_BUY_REVIEW,BUYER_REVIEW_REQUIRED,98.82,43.522,55.298,current_soh,promo_start_soh_resolved,NO,LOW,Review brain vs economic queue gap,
92849,0.0,SKINCARE,STANDARD_BUY_REVIEW,BUYER_REVIEW_REQUIRED,117.656,64.75,52.906,current_soh,promo_start_soh_resolved,NO,LOW,Review brain vs economic queue gap,
192046,0.0,SKINCARE,STANDARD_BUY_REVIEW,HOLD_FOR_REPLENISHMENT,-75.09,-122.724,47.634,current_soh,promo_start_soh_resolved,YES,LOW,Review brain vs economic queue gap,constraint_blocked
194048,0.0,SKINCARE,STANDARD_BUY_REVIEW,HOLD_FOR_REPLENISHMENT,-75.09,-122.289,47.199,current_soh,promo_start_soh_resolved,YES,LOW,Review brain vs economic queue gap,constraint_blocked
87547,0.0,VITAMIN SUPPLEMENT,STANDARD_BUY_REVIEW,BUYER_REVIEW_REQUIRED,101.459,54.676,46.783,current_soh,promo_start_soh_resolved,NO,UNSAFE,Review brain vs economic queue gap,UNSAFE_blocked
93914,0.0,HAIR ACC BRUSHES,WATCHLIST_ONLY,BUYER_REVIEW_REQUIRED,128.841,82.705,46.136,current_soh,promo_start_soh_resolved,YES,UNSAFE,Review brain vs economic queue gap,UNSAFE_blocked
195051,0.0,SKINCARE,AUTO_BLOCK_UNSAFE,BLOCKED_UNSAFE,-74.88,-119.802,44.922,current_soh,promo_start_soh_resolved,YES,UNSAFE,Review brain vs economic queue gap,UNSAFE_blocked
643181,0.0,SKINCARE,WATCHLIST_ONLY,BUYER_REVIEW_REQUIRED,170.915,127.001,43.914,current_soh,promo_start_soh_resolved,NO,LOW,Review brain vs economic queue gap,
4759,0.0,FRAGRANCE,HIGH_PRIORITY_BUY_REVIEW,BUYER_REVIEW_REQUIRED,91.844,48.105,43.739,current_soh,promo_start_soh_resolved,NO,LOW,Review brain vs economic queue gap,
91533,0.0,HAIRCARE,STANDARD_BUY_REVIEW,BUYER_REVIEW_REQUIRED,95.609,54.615,40.994,current_soh,promo_start_soh_resolved,NO,LOW,Review brain vs economic queue gap,
92848,0.0,SKINCARE,STANDARD_BUY_REVIEW,BUYER_REVIEW_REQUIRED,154.734,114.086,40.648,current_soh,promo_start_soh_resolved,NO,LOW,Review brain vs economic queue gap,
192046,0.0,SKINCARE,STANDARD_BUY_REVIEW,HOLD_FOR_REPLENISHMENT,-83.458,-122.837,39.379,current_soh,promo_start_soh_resolved,YES,LOW,Review brain vs economic queue gap,constraint_blocked
93336,0.0,SUNCARE,WATCHLIST_ONLY,BUYER_REVIEW_REQUIRED,151.255,112.65,38.605,current_soh,promo_start_soh_resolved,YES,UNSAFE,Review brain vs economic queue gap,UNSAFE_blocked
32861,0.0,SKINCARE,STANDARD_RUN_DOWN_REVIEW,HOLD_FOR_REPLENISHMENT,-88.739,-125.844,37.105,current_soh,promo_start_soh_resolved,YES,UNSAFE,Review brain vs economic queue gap,UNSAFE_blocked
69756,0.0,SKINCARE,AUTO_BLOCK_UNSAFE,BLOCKED_UNSAFE,-88.066,-124.948,36.882,current_soh,promo_start_soh_resolved,YES,UNSAFE,Review brain vs economic queue gap,UNSAFE_blocked
698520,0.0,SKINCARE,AUTO_BLOCK_CAPITAL_RISK,BUYER_REVIEW_REQUIRED,68.793,32.539,36.254,current_soh,promo_start_soh_resolved,YES,LOW,Review brain vs economic queue gap,constraint_blocked
90155,0.0,COLOUR COSMETICS,WATCHLIST_ONLY,HOLD_FOR_REPLENISHMENT,67.26,31.02,36.24,current_soh,promo_start_soh_resolved,NO,LOW,Review brain vs economic queue gap,
91534,0.0,HAIRCARE,STANDARD_BUY_REVIEW,BUYER_REVIEW_REQUIRED,95.609,59.768,35.841,current_soh,promo_start_soh_resolved,NO,LOW,Review brain vs economic queue gap,
23268,0.0,BABY CARE,AUTO_BLOCK_UNSAFE,BLOCKED_UNSAFE,-85.582,-120.947,35.365,current_soh,promo_start_soh_resolved,YES,UNSAFE,Review brain vs economic queue gap,UNSAFE_blocked
91438,0.0,HAIRCARE,STANDARD_RUN_DOWN_REVIEW,BUYER_REVIEW_REQUIRED,97.821,62.488,35.333,current_soh,promo_start_soh_resolved,YES,LOW,Review brain vs economic queue gap,constraint_blocked
199848,0.0,SKINCARE,HIGH_PRIORITY_BUY_REVIEW,BUYER_REVIEW_REQUIRED,103.459,68.393,35.066,current_soh,promo_start_soh_resolved,NO,LOW,Review brain vs economic queue gap,
189553,0.0,SKINCARE,STANDARD_BUY_REVIEW,HOLD_FOR_REPLENISHMENT,-75.09,-110.003,34.913,current_soh,promo_start_soh_resolved,YES,LOW,Review brain vs economic queue gap,constraint_blocked
93951,0.0,HAIR ACC BRUSHES,WATCHLIST_ONLY,BUYER_REVIEW_REQUIRED,112.902,80.455,32.447,current_soh,promo_start_soh_resolved,YES,UNSAFE,Review brain vs economic queue gap,UNSAFE_blocked
197473,0.0,SKINCARE,WATCHLIST_ONLY,BUYER_REVIEW_REQUIRED,97.93,66.19,31.74,current_soh,promo_start_soh_resolved,YES,LOW,Review brain vs economic queue gap,constraint_blocked
193713,0.0,SKINCARE,AUTO_BLOCK_UNSAFE,BLOCKED_UNSAFE,-87.717,-117.269,29.552,current_soh,promo_start_soh_resolved,YES,UNSAFE,Review brain vs economic queue gap,UNSAFE_blocked
48513,0.0,HAIRCARE,WATCHLIST_ONLY,HOLD_FOR_REPLENISHMENT,65.682,36.773,28.909,current_soh,promo_start_soh_resolved,YES,LOW,Review brain vs economic queue gap,constraint_blocked
58669,0.0,COLOUR COSMETICS,WATCHLIST_ONLY,BUYER_REVIEW_REQUIRED,54.121,25.256,28.865,current_soh,promo_start_soh_resolved,YES,LOW,Review brain vs economic queue gap,constraint_blocked
18512,0.0,SUNCARE,STANDARD_BUY_REVIEW,BUYER_REVIEW_REQUIRED,95.549,66.774,28.775,current_soh,promo_start_soh_resolved,NO,LOW,Review brain vs economic queue gap,
