regime_error_profile_key,stock_position_regime,sku_demand_regime,supplier_replenishment_regime,promo_convexity_regime,cash_efficiency_regime,customer_basket_trust_regime,release_ready_flag,promo_demand_source_quality,promo_start_soh_source_quality,row_count,actual_units_total,forecast_units_total,WAPE,bias_pct,MAE,RMSE,missed_demand_units,leftover_units,cash_tied_above_optimal,average_distance_to_optimal_before,average_distance_to_optimal_after,distance_to_optimal_improvement,release_ready_count,unsafe_count,constraint_block_count,unknown_soh_count,recommended_confidence_cap,candidate_count,segment_bias_control_status
UNDERSTOCKED|INTERMITTENT_LOW_VOLUME|LONG_LEAD_COSMETICS|LOW_CONVEXITY|CAPITAL_EFFICIENT|BASKET_TRUST_STRONG|NO|UNSAFE|LOW,UNDERSTOCKED,INTERMITTENT_LOW_VOLUME,LONG_LEAD_COSMETICS,LOW_CONVEXITY,CAPITAL_EFFICIENT,BASKET_TRUST_STRONG,NO,UNSAFE,LOW,14239,3491.0,1950.637812,0.9437654906903467,-44.12380945287883,0.231384600603975,1.696371214051227,701.0,219.20999999999998,1056.592,1.9872863262869584,0.3972281059063137,1.5900582203806446,0,14239,14239,0,5.0,0,BIAS_DANGEROUS_BLOCK
UNDERSTOCKED|INTERMITTENT_LOW_VOLUME|LONG_LEAD_COSMETICS|LOW_CONVEXITY|CAPITAL_EFFICIENT|BASKET_TRUST_RISK|NO|UNSAFE|LOW,UNDERSTOCKED,INTERMITTENT_LOW_VOLUME,LONG_LEAD_COSMETICS,LOW_CONVEXITY,CAPITAL_EFFICIENT,BASKET_TRUST_RISK,NO,UNSAFE,LOW,5832,1486.0,1314.689641,0.687755228129206,-11.528287954239573,0.17524078686556926,0.5125221167526347,79.0,202.757,977.289,1.9897119341563787,0.14797119341563786,1.8417407407407407,0,5832,5832,0,23.0,0,BIAS_CONTROLLED
UNDERSTOCKED|STABLE_BASE_DEMAND|LONG_LEAD_COSMETICS|LOW_CONVEXITY|CAPITAL_EFFICIENT|BASKET_TRUST_STRONG|NO|UNSAFE|LOW,UNDERSTOCKED,STABLE_BASE_DEMAND,LONG_LEAD_COSMETICS,LOW_CONVEXITY,CAPITAL_EFFICIENT,BASKET_TRUST_STRONG,NO,UNSAFE,LOW,5515,2021.0,1934.0829559999997,0.5874054616526471,-4.300694903513126,0.21525774034451492,0.4023635999019983,0.0,0.0,0.0,3.949525475974615,1.1251479601087944,2.824377515865821,0,5515,5515,0,23.0,0,BIAS_CONTROLLED
UNDERSTOCKED|INTERMITTENT_LOW_VOLUME|UNKNOWN_REPLENISHMENT|LOW_CONVEXITY|CAPITAL_EFFICIENT|BASKET_TRUST_STRONG|NO|UNSAFE|LOW,UNDERSTOCKED,INTERMITTENT_LOW_VOLUME,UNKNOWN_REPLENISHMENT,LOW_CONVEXITY,CAPITAL_EFFICIENT,BASKET_TRUST_STRONG,NO,UNSAFE,LOW,4668,1391.0,1050.373594,0.8354905909417685,-24.487879654924523,0.2489647412167952,0.6139588552707894,98.0,150.49,725.361,1.9591683804627251,0.4082872750642674,1.5508811053984575,0,4668,4668,0,8.0,0,BIAS_MODERATE_REVIEW
UNDERSTOCKED|STABLE_BASE_DEMAND|UNKNOWN_REPLENISHMENT|LOW_CONVEXITY|CAPITAL_EFFICIENT|BASKET_TRUST_STRONG|NO|UNSAFE|LOW,UNDERSTOCKED,STABLE_BASE_DEMAND,UNKNOWN_REPLENISHMENT,LOW_CONVEXITY,CAPITAL_EFFICIENT,BASKET_TRUST_STRONG,NO,UNSAFE,LOW,2717,1307.0,1399.191615,0.584386819433818,7.053681331293034,0.2811165156422525,0.5227690002873878,0.0,0.0,0.0,4.343739418476261,1.1900522635259478,3.1536871549503127,0,2717,2717,0,23.0,0,BIAS_CONTROLLED
UNDERSTOCKED|INTERMITTENT_LOW_VOLUME|UNKNOWN_REPLENISHMENT|LOW_CONVEXITY|CAPITAL_EFFICIENT|BASKET_TRUST_RISK|NO|UNSAFE|LOW,UNDERSTOCKED,INTERMITTENT_LOW_VOLUME,UNKNOWN_REPLENISHMENT,LOW_CONVEXITY,CAPITAL_EFFICIENT,BASKET_TRUST_RISK,NO,UNSAFE,LOW,2113,871.0,646.162934,0.6852471986222733,-25.813670034443177,0.2824658353052532,1.0469498885129311,126.0,96.684,466.01700000000005,1.9782300047326076,0.20160861334595362,1.7766213913866542,0,2113,2113,0,8.0,0,BIAS_DANGEROUS_BLOCK
UNDERSTOCKED|STABLE_BASE_DEMAND|LONG_LEAD_COSMETICS|LOW_CONVEXITY|CASH_TIE_UP_RISK|BASKET_TRUST_STRONG|NO|UNSAFE|LOW,UNDERSTOCKED,STABLE_BASE_DEMAND,LONG_LEAD_COSMETICS,LOW_CONVEXITY,CASH_TIE_UP_RISK,BASKET_TRUST_STRONG,NO,UNSAFE,LOW,1907,5304.0,1868.12039,0.7075293446455506,-64.77902733785822,1.9678739611955953,5.718498298319075,531.0,0.0,0.0,8.437848453067646,3.831262191924489,4.606586261143157,0,1907,1907,0,5.0,0,BIAS_DANGEROUS_BLOCK
UNDERSTOCKED|INTERMITTENT_LOW_VOLUME|LONG_LEAD_COSMETICS|HIGH_CONVEXITY|CAPITAL_EFFICIENT|BASKET_TRUST_STRONG|NO|UNSAFE|LOW,UNDERSTOCKED,INTERMITTENT_LOW_VOLUME,LONG_LEAD_COSMETICS,HIGH_CONVEXITY,CAPITAL_EFFICIENT,BASKET_TRUST_STRONG,NO,UNSAFE,LOW,1559,2079.0,2217.218491,0.42856913083213083,6.648316065416069,0.5715171411161001,0.8667680006100827,59.0,120.382,580.2410000000001,1.9847126363053238,0.3936921103271328,1.591020525978191,0,1559,1559,0,35.0,0,BIAS_CONTROLLED
UNDERSTOCKED|STABLE_BASE_DEMAND|UNKNOWN_REPLENISHMENT|LOW_CONVEXITY|CASH_TIE_UP_RISK|BASKET_TRUST_STRONG|NO|UNSAFE|LOW,UNDERSTOCKED,STABLE_BASE_DEMAND,UNKNOWN_REPLENISHMENT,LOW_CONVEXITY,CASH_TIE_UP_RISK,BASKET_TRUST_STRONG,NO,UNSAFE,LOW,1430,3451.0,1257.56926,0.7071160388293248,-63.55927962909301,1.7064737412587414,9.613134033014914,644.0,0.0,0.0,8.008167832167832,3.5106496503496505,4.497518181818182,0,1430,1430,0,5.0,0,BIAS_DANGEROUS_BLOCK
UNDERSTOCKED|INTERMITTENT_LOW_VOLUME|OVERNIGHT_REPLENISHMENT|LOW_CONVEXITY|CAPITAL_EFFICIENT|BASKET_TRUST_STRONG|NO|UNSAFE|LOW,UNDERSTOCKED,INTERMITTENT_LOW_VOLUME,OVERNIGHT_REPLENISHMENT,LOW_CONVEXITY,CAPITAL_EFFICIENT,BASKET_TRUST_STRONG,NO,UNSAFE,LOW,693,244.0,167.93542000000002,0.864485655737705,-31.174008196721303,0.3043787878787879,0.7066517506555422,19.0,25.0,120.5,1.9611298701298703,0.5017676767676768,1.4593621933621934,0,693,693,0,5.0,0,BIAS_DANGEROUS_BLOCK
UNDERSTOCKED|STABLE_BASE_DEMAND|OVERNIGHT_REPLENISHMENT|LOW_CONVEXITY|CAPITAL_EFFICIENT|BASKET_TRUST_STRONG|NO|UNSAFE|LOW,UNDERSTOCKED,STABLE_BASE_DEMAND,OVERNIGHT_REPLENISHMENT,LOW_CONVEXITY,CAPITAL_EFFICIENT,BASKET_TRUST_STRONG,NO,UNSAFE,LOW,586,281.0,323.67393100000004,0.6005486298932383,15.186452313167273,0.2879763907849829,0.5223470792391367,0.0,0.333,1.605,4.003088737201365,1.2001228668941981,2.802965870307167,0,586,586,0,8.0,0,BIAS_CONTROLLED
UNDERSTOCKED|INTERMITTENT_LOW_VOLUME|UNKNOWN_REPLENISHMENT|HIGH_CONVEXITY|CAPITAL_EFFICIENT|BASKET_TRUST_STRONG|NO|UNSAFE|LOW,UNDERSTOCKED,INTERMITTENT_LOW_VOLUME,UNKNOWN_REPLENISHMENT,HIGH_CONVEXITY,CAPITAL_EFFICIENT,BASKET_TRUST_STRONG,NO,UNSAFE,LOW,582,897.0,934.799336,0.5099249141583054,4.213972798216281,0.7859152027491408,1.1861875355513543,56.0,96.031,462.869,1.9794209621993129,0.5680738831615121,1.4113470790378007,0,582,582,0,23.0,0,BIAS_CONTROLLED
UNDERSTOCKED|STABLE_BASE_DEMAND|LONG_LEAD_COSMETICS|LOW_CONVEXITY|CASH_TIE_UP_RISK|BASKET_TRUST_STRONG|YES|HIGH|LOW,UNDERSTOCKED,STABLE_BASE_DEMAND,LONG_LEAD_COSMETICS,LOW_CONVEXITY,CASH_TIE_UP_RISK,BASKET_TRUST_STRONG,YES,HIGH,LOW,521,2530.0,1755.2310089999999,0.5027469656126482,-30.62328027667985,2.441362424184261,3.899937360213752,80.0,0.0,0.0,14.418238003838772,4.860796545105566,9.557441458733205,521,0,98,0,32.0,0,BIAS_DANGEROUS_BLOCK
UNDERSTOCKED|STABLE_BASE_DEMAND|UNKNOWN_REPLENISHMENT|LOW_CONVEXITY|CASH_TIE_UP_RISK|BASKET_TRUST_STRONG|YES|HIGH|LOW,UNDERSTOCKED,STABLE_BASE_DEMAND,UNKNOWN_REPLENISHMENT,LOW_CONVEXITY,CASH_TIE_UP_RISK,BASKET_TRUST_STRONG,YES,HIGH,LOW,435,2037.0,1438.610594,0.5084384300441825,-29.376014040255278,2.38089444137931,5.267833121102018,136.0,0.0,0.0,10.592512643678162,4.593365517241379,5.999147126436782,435,0,41,0,45.0,0,BIAS_DANGEROUS_BLOCK
UNDERSTOCKED|INTERMITTENT_LOW_VOLUME|LONG_LEAD_COSMETICS|NORMAL|CAPITAL_EFFICIENT|BASKET_TRUST_STRONG|NO|UNSAFE|LOW,UNDERSTOCKED,INTERMITTENT_LOW_VOLUME,LONG_LEAD_COSMETICS,NORMAL,CAPITAL_EFFICIENT,BASKET_TRUST_STRONG,NO,UNSAFE,LOW,427,609.0,475.43293500000004,0.3722565566502463,-21.932194581280783,0.5309232857142857,0.9862961941580617,44.0,0.0,0.0,1.9843887587822016,1.08707962529274,0.8973091334894614,0,427,427,0,20.0,0,BIAS_MODERATE_REVIEW
UNDERSTOCKED|STABLE_BASE_DEMAND|LONG_LEAD_COSMETICS|LOW_CONVEXITY|CAPITAL_EFFICIENT|BASKET_TRUST_STRONG|YES|HIGH|LOW,UNDERSTOCKED,STABLE_BASE_DEMAND,LONG_LEAD_COSMETICS,LOW_CONVEXITY,CAPITAL_EFFICIENT,BASKET_TRUST_STRONG,YES,HIGH,LOW,427,553.0,1003.0088400000002,0.8705854104882459,81.37592043399641,1.1274794660421545,1.4392906997390522,0.0,0.715,3.4459999999999997,6.8936697892271654,1.1562740046838407,5.737395784543326,427,0,9,0,32.0,0,BIAS_DANGEROUS_BLOCK
UNDERSTOCKED|STABLE_BASE_DEMAND|UNKNOWN_REPLENISHMENT|LOW_CONVEXITY|CAPITAL_EFFICIENT|BASKET_TRUST_STRONG|YES|HIGH|LOW,UNDERSTOCKED,STABLE_BASE_DEMAND,UNKNOWN_REPLENISHMENT,LOW_CONVEXITY,CAPITAL_EFFICIENT,BASKET_TRUST_STRONG,YES,HIGH,LOW,391,512.0,958.5092709999999,0.907574173828125,87.20884199218747,1.1884347237851662,1.6672971457787717,0.0,1.3940000000000001,6.718999999999999,7.169823529411764,1.1255575447570332,6.044265984654731,391,0,14,0,32.0,0,BIAS_DANGEROUS_BLOCK
UNDERSTOCKED|STABLE_BASE_DEMAND|LONG_LEAD_COSMETICS|NORMAL|CAPITAL_EFFICIENT|BASKET_TRUST_STRONG|NO|UNSAFE|LOW,UNDERSTOCKED,STABLE_BASE_DEMAND,LONG_LEAD_COSMETICS,NORMAL,CAPITAL_EFFICIENT,BASKET_TRUST_STRONG,NO,UNSAFE,LOW,391,493.0,626.1530069999999,0.48711397768762676,27.008723529411743,0.614187189258312,0.7981820686111253,0.0,6.933,33.416,2.8878184143222505,0.6832173913043478,2.204601023017903,0,391,391,0,20.0,0,BIAS_MODERATE_REVIEW
UNDERSTOCKED|INTERMITTENT_LOW_VOLUME|LONG_LEAD_COSMETICS|HIGH_CONVEXITY|CAPITAL_EFFICIENT|BASKET_TRUST_STRONG|YES|HIGH|LOW,UNDERSTOCKED,INTERMITTENT_LOW_VOLUME,LONG_LEAD_COSMETICS,HIGH_CONVEXITY,CAPITAL_EFFICIENT,BASKET_TRUST_STRONG,YES,HIGH,LOW,326,501.0,647.8828940000001,0.5918982834331338,29.317942914171674,0.90963509202454,1.1871758050661183,20.0,65.993,318.086,2.000757668711657,0.5726257668711656,1.4281319018404908,326,0,0,0,45.0,0,BIAS_MODERATE_REVIEW
SEVERELY_OVERSTOCKED|INTERMITTENT_LOW_VOLUME|LONG_LEAD_COSMETICS|LOW_CONVEXITY|CAPITAL_EFFICIENT|BASKET_TRUST_STRONG|NO|UNSAFE|LOW,SEVERELY_OVERSTOCKED,INTERMITTENT_LOW_VOLUME,LONG_LEAD_COSMETICS,LOW_CONVEXITY,CAPITAL_EFFICIENT,BASKET_TRUST_STRONG,NO,UNSAFE,LOW,294,1303.0,80.37471099999999,0.9549947237145048,-93.8315647735994,4.2325106292517,19.693081555207154,770.0,117.257,565.177,2.1802721088435373,0.7602312925170068,1.4200408163265308,0,294,294,0,5.0,0,BIAS_DANGEROUS_BLOCK
UNDERSTOCKED|STABLE_BASE_DEMAND|OVERNIGHT_REPLENISHMENT|LOW_CONVEXITY|CASH_TIE_UP_RISK|BASKET_TRUST_STRONG|NO|UNSAFE|LOW,UNDERSTOCKED,STABLE_BASE_DEMAND,OVERNIGHT_REPLENISHMENT,LOW_CONVEXITY,CASH_TIE_UP_RISK,BASKET_TRUST_STRONG,NO,UNSAFE,LOW,268,426.0,198.18905600000002,0.6135899107981221,-53.47674741784038,0.9753332164179104,1.6364661350130918,31.0,0.0,0.0,5.894134328358209,2.842044776119403,3.0520895522388063,0,268,268,0,5.0,0,BIAS_DANGEROUS_BLOCK
UNDERSTOCKED|STABLE_BASE_DEMAND|LONG_LEAD_COSMETICS|NORMAL|CAPITAL_EFFICIENT|BASKET_TRUST_STRONG|YES|HIGH|LOW,UNDERSTOCKED,STABLE_BASE_DEMAND,LONG_LEAD_COSMETICS,NORMAL,CAPITAL_EFFICIENT,BASKET_TRUST_STRONG,YES,HIGH,LOW,228,345.0,581.7623059999999,0.7559490202898551,68.6267553623188,1.1438702280701754,1.4409927539878875,0.0,13.667,65.874,3.577986842105263,0.6957719298245615,2.8822149122807015,228,0,0,0,32.0,0,BIAS_DANGEROUS_BLOCK
UNDERSTOCKED|STABLE_BASE_DEMAND|UNKNOWN_REPLENISHMENT|NORMAL|CAPITAL_EFFICIENT|BASKET_TRUST_STRONG|NO|UNSAFE|LOW,UNDERSTOCKED,STABLE_BASE_DEMAND,UNKNOWN_REPLENISHMENT,NORMAL,CAPITAL_EFFICIENT,BASKET_TRUST_STRONG,NO,UNSAFE,LOW,219,296.0,428.468478,0.5921723648648649,44.75286418918919,0.800379086757991,1.1078752169907458,0.0,12.995000000000001,62.632000000000005,2.8012146118721457,0.6413515981735161,2.15986301369863,0,219,219,0,5.0,0,BIAS_DANGEROUS_BLOCK
OPTIMAL|STABLE_BASE_DEMAND|LONG_LEAD_COSMETICS|LOW_CONVEXITY|CAPITAL_EFFICIENT|BASKET_TRUST_STRONG|NO|UNSAFE|LOW,OPTIMAL,STABLE_BASE_DEMAND,LONG_LEAD_COSMETICS,LOW_CONVEXITY,CAPITAL_EFFICIENT,BASKET_TRUST_STRONG,NO,UNSAFE,LOW,216,91.0,77.353353,0.5615319230769231,-14.996315384615386,0.23657131944444446,0.4635739168234073,0.0,0.0,0.0,0.42408333333333337,1.1601944444444445,-0.7361111111111112,0,216,216,0,23.0,0,BIAS_CONTROLLED
UNDERSTOCKED|STABLE_BASE_DEMAND|LONG_LEAD_COSMETICS|LOW_CONVEXITY|CASH_TIE_UP_RISK|BASKET_TRUST_STRONG|NO|HIGH|LOW,UNDERSTOCKED,STABLE_BASE_DEMAND,LONG_LEAD_COSMETICS,LOW_CONVEXITY,CASH_TIE_UP_RISK,BASKET_TRUST_STRONG,NO,HIGH,LOW,189,1388.0,726.9056230000001,0.5341088623919308,-47.629277881844374,3.9224502698412693,5.791895984693108,58.0,0.0,0.0,15.81973015873016,6.983751322751323,8.835978835978835,0,0,29,0,32.0,0,BIAS_DANGEROUS_BLOCK
UNDERSTOCKED|INTERMITTENT_LOW_VOLUME|UNKNOWN_REPLENISHMENT|HIGH_CONVEXITY|CAPITAL_EFFICIENT|BASKET_TRUST_STRONG|YES|HIGH|LOW,UNDERSTOCKED,INTERMITTENT_LOW_VOLUME,UNKNOWN_REPLENISHMENT,HIGH_CONVEXITY,CAPITAL_EFFICIENT,BASKET_TRUST_STRONG,YES,HIGH,LOW,179,304.0,389.168092,0.593131927631579,28.015819736842108,1.0073302011173184,1.2415300465010524,19.0,49.0,236.18,2.00008938547486,0.6143184357541899,1.3857709497206703,179,0,0,0,45.0,0,BIAS_MODERATE_REVIEW
