store_number,promotion_id,promotion_name,promotion_start_date,promotion_end_date,sku_number,sku_description,department,shadow_candidate_class,shadow_candidate_score,shadow_candidate_rank,current_governed_action,current_governed_order_units,brain_validated_action_label,brain_validated_expected_value,action_difference_type,segment_historical_bias_pct,segment_historical_wape,economic_net_value_score,shadow_expected_learning_value,mission_sku_score,long_tail_sku_flag,basket_attachment_source_quality,stock_truth_quality,supplier_replenishment_regime,expected_shadow_learning_question,shadow_observation_plan
772,772|95116|2026-02-19|2026-03-04|772-95116-20260219|Allocation Report - WK34&35 AUTUMN PART 1,unknown,2026-02-19,2026-03-04,95116,0.0,VITAMIN SUPPLEMENT,SHADOW_TOP_50_CANDIDATE,64.9,1,TOP_UP_TO_OPTIMAL,2.0,BUYER_REVIEW_REQUIRED,95.242,ACTION_MISMATCH,17.9,0.358,29.49,59.4,17.5,YES,LOW,LOW,UNKNOWN_REPLENISHMENT,Does basket attachment predict trust-sensitive demand?,Internal shadow observation only; compare brain vs buyer; no auto-order.
772,772|94457|2026-03-05|2026-03-18|772-94457-20260305|Allocation Report - OP21 FEMALE FOUNDERS,unknown,2026-03-05,2026-03-18,94457,0.0,SKINCARE,SHADOW_TOP_50_CANDIDATE,62.9,2,TOP_UP_TO_OPTIMAL,3.0,BUYER_REVIEW_REQUIRED,104.602,ACTION_MISMATCH,-24.5,0.483,30.989,59.7,26.7,YES,MEDIUM,LOW,LONG_LEAD_COSMETICS,Does basket attachment predict trust-sensitive demand?,Internal shadow observation only; compare brain vs buyer; no auto-order.
772,772|92331|2025-11-25|2025-12-01|772-92331-20251125|Allocation Report - SE4 BLACK (PINK) FRIDAY,unknown,2025-11-25,2025-12-01,92331,0.0,SKINCARE,SHADOW_TOP_50_CANDIDATE,54.1,3,TOP_UP_TO_OPTIMAL,4.0,BUYER_REVIEW_REQUIRED,72.006,ACTION_MISMATCH,-24.5,0.483,137.719,55.4,9.8,YES,LOW,LOW,LONG_LEAD_COSMETICS,Does basket attachment predict trust-sensitive demand?,Internal shadow observation only; compare brain vs buyer; no auto-order.
772,772|92334|2026-02-19|2026-03-04|772-92334-20260219|Allocation Report - WK34&35 AUTUMN PART 1,unknown,2026-02-19,2026-03-04,92334,0.0,SKINCARE,SHADOW_TOP_50_CANDIDATE,52.9,4,TOP_UP_TO_OPTIMAL,3.0,BUYER_REVIEW_REQUIRED,59.951,ACTION_MISMATCH,-24.5,0.483,52.251,59.5,25.9,YES,MEDIUM,LOW,LONG_LEAD_COSMETICS,Does basket attachment predict trust-sensitive demand?,Internal shadow observation only; compare brain vs buyer; no auto-order.
772,772|67282|2026-04-23|2026-05-06|772-67282-20260423|Allocation Report - WK43&44 HEALTH & BEAUTY OFFERS,unknown,2026-04-23,2026-05-06,67282,0.0,NUTRITION WELLBEIN,SHADOW_TOP_50_CANDIDATE,50.2,5,TOP_UP_TO_OPTIMAL,3.0,HOLD_FOR_REPLENISHMENT,38.124,ACTION_MISMATCH,17.9,0.358,1.678,58.6,14.2,YES,LOW,LOW,UNKNOWN_REPLENISHMENT,Does basket attachment predict trust-sensitive demand?,Internal shadow observation only; compare brain vs buyer; no auto-order.
772,772|90851|2026-04-09|2026-04-22|772-90851-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,unknown,2026-04-09,2026-04-22,90851,0.0,SKINCARE,SHADOW_TOP_50_CANDIDATE,48.4,6,TOP_UP_TO_OPTIMAL,4.0,HOLD_FOR_REPLENISHMENT,45.885,ACTION_MISMATCH,-24.5,0.483,38.251,57.3,17.3,YES,LOW,LOW,LONG_LEAD_COSMETICS,Does basket attachment predict trust-sensitive demand?,Internal shadow observation only; compare brain vs buyer; no auto-order.
772,772|4995|2026-01-22|2026-02-04|772-4995-20260122|Allocation Report - WK30&31 HAIRCARE GOODY BAG,unknown,2026-01-22,2026-02-04,4995,0.0,HAIRCARE,SHADOW_TOP_50_CANDIDATE,48.1,7,TOP_UP_TO_OPTIMAL,3.0,HOLD_FOR_REPLENISHMENT,29.874,ACTION_MISMATCH,17.9,0.358,2.782,58.4,13.8,YES,MEDIUM,LOW,UNKNOWN_REPLENISHMENT,Does basket attachment predict trust-sensitive demand?,Internal shadow observation only; compare brain vs buyer; no auto-order.
772,772|184677|2026-04-09|2026-04-22|772-184677-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,unknown,2026-04-09,2026-04-22,184677,0.0,SKINCARE,SHADOW_TOP_50_CANDIDATE,42.0,8,TOP_UP_TO_OPTIMAL,3.0,BUYER_REVIEW_REQUIRED,22.003,ACTION_MISMATCH,-24.5,0.483,2.36,56.4,13.8,YES,LOW,LOW,LONG_LEAD_COSMETICS,Does basket attachment predict trust-sensitive demand?,Internal shadow observation only; compare brain vs buyer; no auto-order.
772,772|713775|2026-04-09|2026-04-22|772-713775-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,unknown,2026-04-09,2026-04-22,713775,0.0,HAIR REMOVAL,SHADOW_TOP_50_CANDIDATE,38.3,9,TOP_UP_TO_OPTIMAL,3.0,HOLD_FOR_REPLENISHMENT,-21.753,ACTION_MISMATCH,17.9,0.358,-24.31,58.8,15.4,YES,MEDIUM,LOW,UNKNOWN_REPLENISHMENT,Does basket attachment predict trust-sensitive demand?,Internal shadow observation only; compare brain vs buyer; no auto-order.
772,772|185567|2026-02-19|2026-03-04|772-185567-20260219|Allocation Report - WK34&35 AUTUMN PART 1,unknown,2026-02-19,2026-03-04,185567,0.0,DIGESTIVE CARE,SHADOW_TOP_50_CANDIDATE,38.0,10,TOP_UP_TO_OPTIMAL,2.0,HOLD_FOR_REPLENISHMENT,-9.15,ACTION_MISMATCH,17.9,0.358,-19.139,58.3,13.1,YES,MEDIUM,LOW,UNKNOWN_REPLENISHMENT,Does basket attachment predict trust-sensitive demand?,Internal shadow observation only; compare brain vs buyer; no auto-order.
772,772|195641|2026-02-19|2026-03-04|772-195641-20260219|Allocation Report - WK34&35 AUTUMN PART 1,unknown,2026-02-19,2026-03-04,195641,0.0,ORAL HEALTH,SHADOW_TOP_50_CANDIDATE,38.0,11,TOP_UP_TO_OPTIMAL,4.0,BUYER_REVIEW_REQUIRED,-1.924,ACTION_MISMATCH,17.9,0.358,-11.243,58.2,13.0,YES,MEDIUM,LOW,UNKNOWN_REPLENISHMENT,Does basket attachment predict trust-sensitive demand?,Internal shadow observation only; compare brain vs buyer; no auto-order.
