shadow_candidate_class,department,row_count,avg_shadow_score,avg_learning_value,avg_brain_value
SHADOW_TOP_100_CANDIDATE,COLOUR COSMETICS,19,25.78421052631579,32.705263157894734,-22.828684210526315
SHADOW_TOP_50_CANDIDATE,SKINCARE,12,39.891666666666666,51.56666666666666,19.41325
SHADOW_TOP_100_CANDIDATE,BEAUTY ACCESSORIES,10,25.76,32.42,-13.1234
SHADOW_TOP_100_CANDIDATE,HAIRCARE,8,25.7125,32.875,-3.701125
SHADOW_TOP_50_CANDIDATE,BEAUTY ACCESSORIES,6,28.21666666666667,37.18333333333333,-14.545499999999999
SHADOW_TOP_50_CANDIDATE,HAIRCARE,5,33.06,43.58,-0.38540000000000046
SHADOW_TOP_50_CANDIDATE,COLOUR COSMETICS,5,26.139999999999997,33.5,-27.3072
SHADOW_TOP_50_CANDIDATE,DIGESTIVE CARE,4,32.1,45.225,-19.23675
SHADOW_TOP_50_CANDIDATE,VITAMIN SUPPLEMENT,3,39.26666666666667,42.03333333333333,15.551000000000002
SHADOW_TOP_100_CANDIDATE,INCONTINENCE,3,25.733333333333334,32.93333333333333,-4.667
SHADOW_TOP_50_CANDIDATE,SUNCARE,3,26.133333333333336,33.73333333333333,-4.490666666666667
SHADOW_TOP_100_CANDIDATE,SUNCARE,3,25.866666666666664,33.1,-10.515
SHADOW_TOP_50_CANDIDATE,NUTRITION WELLBEIN,2,38.1,45.8,6.435500000000001
SHADOW_TOP_50_CANDIDATE,BATH TOILETRIES,2,28.200000000000003,33.0,2.608
SHADOW_TOP_100_CANDIDATE,ORAL HEALTH,2,25.75,33.05,-8.155
SHADOW_TOP_100_CANDIDATE,HAIR ACC BRUSHES,2,25.65,32.3,-25.317999999999998
SHADOW_TOP_50_CANDIDATE,ORAL HEALTH,2,34.5,46.0,7.566000000000001
SHADOW_TOP_50_CANDIDATE,HAIR REMOVAL,2,32.15,45.9,-23.954
SHADOW_TOP_50_CANDIDATE,TANNING,1,26.1,33.8,-2.346
SHADOW_TOP_100_CANDIDATE,BATH TOILETRIES,1,25.7,32.9,-2.618
SHADOW_TOP_50_CANDIDATE,HAIR ACC BRUSHES,1,26.1,31.8,-26.056
SHADOW_TOP_50_CANDIDATE,FAMILY PLANNING,1,26.1,31.8,-27.244
SHADOW_TOP_100_CANDIDATE,HAIR REMOVAL,1,25.8,32.6,-24.983
SHADOW_TOP_100_CANDIDATE,DIGESTIVE CARE,1,25.6,32.1,-25.933
SHADOW_TOP_50_CANDIDATE,BEAUTY ELECTRICAL,1,26.8,34.8,-24.58
